regions,season_name,time_of_day_name,tech,cf_tech,cf_tech_notes
TO,W,D,RESBDGAPAOldSCRO___STDELC_EX,5.682790492060325e-06,ResidentialBuildingApartmentsOldFloorSpace CoolingRoomStandard EfficiencyElectricity
TO,W,D,RESBDGSDEOldSCRO___STDELC_EX,5.682790492060325e-06,ResidentialBuildingSingle DetachedOldFloorSpace CoolingRoomStandard EfficiencyElectricity
TO,W,D,RESBDGSATOldSCRO___STDELC_EX,5.682790492060325e-06,ResidentialBuildingSingle AttachedOldFloorSpace CoolingRoomStandard EfficiencyElectricity
TO,W,D,RESBDGAPAOldSCCE___STDELC_EX,5.682790492060325e-06,ResidentialBuildingApartmentsOldFloorSpace CoolingCentralStandard EfficiencyElectricity
TO,W,D,RESBDGSDEOldSCCE___STDELC_EX,5.682790492060325e-06,ResidentialBuildingSingle DetachedOldFloorSpace CoolingCentralStandard EfficiencyElectricity
TO,W,D,RESBDGSATOldSCCE___STDELC_EX,5.682790492060325e-06,ResidentialBuildingSingle AttachedOldFloorSpace CoolingCentralStandard EfficiencyElectricity
TO,W,D,RESBDGAPAOldSC_________DCO_EX,5.766495621154035e-06,ResidentialBuildingApartmentsOldFloorSpace CoolingDistrict Cooling
TO,W,D,RESBDGSDEOldSC_________DCO_EX,5.766495621154035e-06,ResidentialBuildingSingle DetachedOldFloorSpace CoolingDistrict Cooling
TO,W,D,RESBDGSATOldSC_________DCO_EX,5.766495621154035e-06,ResidentialBuildingSingle AttachedOldFloorSpace CoolingDistrict Cooling
TO,W,D,RESBDGAPAOldSH_________DHE_EX,0.6030128730727515,ResidentialBuildingApartmentsOldFloorSpace HeatingDistrict Heating
TO,W,D,RESBDGSDEOldSH_________DHE_EX,0.6030128730727515,ResidentialBuildingSingle DetachedOldFloorSpace HeatingDistrict Heating
TO,W,D,RESBDGSATOldSH_________DHE_EX,0.6030128730727515,ResidentialBuildingSingle AttachedOldFloorSpace HeatingDistrict Heating
TO,W,D,RESBDGAPAOldSHFUR___STDLFO_EX,0.6030128730727515,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,W,D,RESBDGSDEOldSHFUR___STDLFO_EX,0.6030128730727515,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,W,D,RESBDGSATOldSHFUR___STDLFO_EX,0.6030128730727515,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,W,D,RESBDGAPAOldSHFUR___MEDNGA_EX,0.6030128730727515,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,W,D,RESBDGSDEOldSHFUR___MEDNGA_EX,0.6030128730727515,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,W,D,RESBDGSATOldSHFUR___MEDNGA_EX,0.6030128730727515,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,W,D,RESBDGAPAOldSHFUR___HIGNGA_EX,0.6030128730727515,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,W,D,RESBDGSDEOldSHFUR___HIGNGA_EX,0.6030128730727515,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,W,D,RESBDGSATOldSHFUR___HIGNGA_EX,0.6030128730727515,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,W,D,RESBDGAPAOldSHPLT___STDELC_EX,0.6030128730727515,ResidentialBuildingApartmentsOldFloorSpace HeatingPlintheStandard EfficiencyElectricity
TO,W,D,RESBDGSDEOldSHPLT___STDELC_EX,0.6030128730727515,ResidentialBuildingSingle DetachedOldFloorSpace HeatingPlintheStandard EfficiencyElectricity
TO,W,D,RESBDGSATOldSHPLT___STDELC_EX,0.6030128730727515,ResidentialBuildingSingle AttachedOldFloorSpace HeatingPlintheStandard EfficiencyElectricity
TO,W,D,RESBDGAPAOldSHHEP___STDELC_EX,0.10359352591290935,ResidentialBuildingApartmentsOldFloorSpace HeatingHeat PumpStandard EfficiencyElectricity
TO,W,D,RESBDGSDEOldSHHEP___STDELC_EX,0.10359352591290935,ResidentialBuildingSingle DetachedOldFloorSpace HeatingHeat PumpStandard EfficiencyElectricity
TO,W,D,RESBDGSATOldSHHEP___STDELC_EX,0.10359352591290935,ResidentialBuildingSingle AttachedOldFloorSpace HeatingHeat PumpStandard EfficiencyElectricity
TO,W,D,RESBDGAPAOldREF______STDELC_EX,0.8072633354922085,ResidentialBuildingApartmentsOldUnitRefrigeratorStandard EfficiencyElectricity
TO,W,D,RESBDGSDEOldREF______STDELC_EX,0.8072633354922085,ResidentialBuildingSingle DetachedOldUnitRefrigeratorStandard EfficiencyElectricity
TO,W,D,RESBDGSATOldREF______STDELC_EX,0.8072633354922085,ResidentialBuildingSingle AttachedOldUnitRefrigeratorStandard EfficiencyElectricity
TO,W,D,RESBDGAPAOldFRZ______STDELC_EX,0.8072633354922121,ResidentialBuildingApartmentsOldUnitFreezerStandard EfficiencyElectricity
TO,W,D,RESBDGSDEOldFRZ______STDELC_EX,0.8072633354922121,ResidentialBuildingSingle DetachedOldUnitFreezerStandard EfficiencyElectricity
TO,W,D,RESBDGSATOldFRZ______STDELC_EX,0.8072633354922121,ResidentialBuildingSingle AttachedOldUnitFreezerStandard EfficiencyElectricity
TO,W,D,RESBDGAPAOldDWA______STDELC_EX,0.8811211451943477,ResidentialBuildingApartmentsOldUnitDish WasherStandard EfficiencyElectricity
TO,W,D,RESBDGSDEOldDWA______STDELC_EX,0.8811211451943477,ResidentialBuildingSingle DetachedOldUnitDish WasherStandard EfficiencyElectricity
TO,W,D,RESBDGSATOldDWA______STDELC_EX,0.8811211451943477,ResidentialBuildingSingle AttachedOldUnitDish WasherStandard EfficiencyElectricity
TO,W,D,RESBDGAPAOldCWA______STDELC_EX,1.0,ResidentialBuildingApartmentsOldUnitClothe WasherStandard EfficiencyElectricity
TO,W,D,RESBDGSDEOldCWA______STDELC_EX,1.0,ResidentialBuildingSingle DetachedOldUnitClothe WasherStandard EfficiencyElectricity
TO,W,D,RESBDGSATOldCWA______STDELC_EX,1.0,ResidentialBuildingSingle AttachedOldUnitClothe WasherStandard EfficiencyElectricity
TO,W,D,RESBDGAPAOldCDY______STDELC_EX,1.0,ResidentialBuildingApartmentsOldUnitClothe DryerStandard EfficiencyElectricity
TO,W,D,RESBDGSDEOldCDY______STDELC_EX,1.0,ResidentialBuildingSingle DetachedOldUnitClothe DryerStandard EfficiencyElectricity
TO,W,D,RESBDGSATOldCDY______STDELC_EX,1.0,ResidentialBuildingSingle AttachedOldUnitClothe DryerStandard EfficiencyElectricity
