regions,tech,c2a,c2a_notes
TO,RESBDGAPAOldSCRO___STDELC_EX,31.536,ResidentialBuildingApartmentsOldFloorSpace CoolingRoomStandard EfficiencyElectricity
TO,RESBDGSDEOldSCRO___STDELC_EX,31.536,ResidentialBuildingSingle DetachedOldFloorSpace CoolingRoomStandard EfficiencyElectricity
TO,RESBDGSATOldSCRO___STDELC_EX,31.536,ResidentialBuildingSingle AttachedOldFloorSpace CoolingRoomStandard EfficiencyElectricity
TO,RESBDGAPAOldSCCE___STDELC_EX,31.536,ResidentialBuildingApartmentsOldFloorSpace CoolingCentralStandard EfficiencyElectricity
TO,RESBDGSDEOldSCCE___STDELC_EX,31.536,ResidentialBuildingSingle DetachedOldFloorSpace CoolingCentralStandard EfficiencyElectricity
TO,RESBDGSATOldSCCE___STDELC_EX,31.536,ResidentialBuildingSingle AttachedOldFloorSpace CoolingCentralStandard EfficiencyElectricity
TO,RESBDGAPAOldSC_________DCO_EX,31.536,ResidentialBuildingApartmentsOldFloorSpace CoolingDistrict Cooling
TO,RESBDGSDEOldSC_________DCO_EX,31.536,ResidentialBuildingSingle DetachedOldFloorSpace CoolingDistrict Cooling
TO,RESBDGSATOldSC_________DCO_EX,31.536,ResidentialBuildingSingle AttachedOldFloorSpace CoolingDistrict Cooling
TO,RESBDGAPAOldSH_________DHE_EX,31.536,ResidentialBuildingApartmentsOldFloorSpace HeatingDistrict Heating
TO,RESBDGSDEOldSH_________DHE_EX,31.536,ResidentialBuildingSingle DetachedOldFloorSpace HeatingDistrict Heating
TO,RESBDGSATOldSH_________DHE_EX,31.536,ResidentialBuildingSingle AttachedOldFloorSpace HeatingDistrict Heating
TO,RESBDGAPAOldSHFUR___STDLFO_EX,31.536,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,RESBDGSDEOldSHFUR___STDLFO_EX,31.536,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,RESBDGSATOldSHFUR___STDLFO_EX,31.536,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,RESBDGAPAOldSHFUR___MEDNGA_EX,31.536,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,RESBDGSDEOldSHFUR___MEDNGA_EX,31.536,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,RESBDGSATOldSHFUR___MEDNGA_EX,31.536,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,RESBDGAPAOldSHFUR___HIGNGA_EX,31.536,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,RESBDGSDEOldSHFUR___HIGNGA_EX,31.536,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,RESBDGSATOldSHFUR___HIGNGA_EX,31.536,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,RESBDGAPAOldSHPLT___STDELC_EX,31.536,ResidentialBuildingApartmentsOldFloorSpace HeatingPlintheStandard EfficiencyElectricity
TO,RESBDGSDEOldSHPLT___STDELC_EX,31.536,ResidentialBuildingSingle DetachedOldFloorSpace HeatingPlintheStandard EfficiencyElectricity
TO,RESBDGSATOldSHPLT___STDELC_EX,31.536,ResidentialBuildingSingle AttachedOldFloorSpace HeatingPlintheStandard EfficiencyElectricity
TO,RESBDGAPAOldSHHEP___STDELC_EX,31.536,ResidentialBuildingApartmentsOldFloorSpace HeatingHeat PumpStandard EfficiencyElectricity
TO,RESBDGSDEOldSHHEP___STDELC_EX,31.536,ResidentialBuildingSingle DetachedOldFloorSpace HeatingHeat PumpStandard EfficiencyElectricity
