regions,periods,input_comm,tech,TIS,ti_split_notes
TO,2016,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2016,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2016,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2016,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2016,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2016,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2017,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2017,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2017,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2017,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2017,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2017,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2018,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2018,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2018,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2018,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2018,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2018,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2019,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
