regions,season_name,time_of_day_name,tech,cf_tech,cf_tech_notes
TO,W,D,RESBDGAPAOldCDY______HIGELC_23,1,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,W,N,RESBDGAPAOldCDY______HIGELC_23,0.33,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,W,P1,RESBDGAPAOldCDY______HIGELC_23,0.58,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,W,P2,RESBDGAPAOldCDY______HIGELC_23,0.89,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,S,D,RESBDGAPAOldCDY______HIGELC_23,0.8,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,S,N,RESBDGAPAOldCDY______HIGELC_23,0.3,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,S,P1,RESBDGAPAOldCDY______HIGELC_23,0.53,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,S,P2,RESBDGAPAOldCDY______HIGELC_23,0.68,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,R,D,RESBDGAPAOldCDY______HIGELC_23,0.88,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,R,N,RESBDGAPAOldCDY______HIGELC_23,0.31,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,R,P1,RESBDGAPAOldCDY______HIGELC_23,0.55,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,R,P2,RESBDGAPAOldCDY______HIGELC_23,0.77,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,F,D,RESBDGAPAOldCDY______HIGELC_23,0.95,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,F,N,RESBDGAPAOldCDY______HIGELC_23,0.32,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,F,P1,RESBDGAPAOldCDY______HIGELC_23,0.58,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,F,P2,RESBDGAPAOldCDY______HIGELC_23,0.86,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,W,D,RESBDGAPAOldCDY______ESRELC_23,1,ResidentialBuildingApartmentsOldClothe DryerEnergy StarElectricity2023
TO,W,N,RESBDGAPAOldCDY______ESRELC_23,0.33,ResidentialBuildingApartmentsOldClothe DryerEnergy StarElectricity2023
TO,W,P1,RESBDGAPAOldCDY______ESRELC_23,0.58,ResidentialBuildingApartmentsOldClothe DryerEnergy StarElectricity2023
TO,W,P2,RESBDGAPAOldCDY______ESRELC_23,0.89,ResidentialBuildingApartmentsOldClothe DryerEnergy StarElectricity2023
TO,S,D,RESBDGAPAOldCDY______ESRELC_23,0.8,ResidentialBuildingApartmentsOldClothe DryerEnergy StarElectricity2023
TO,S,N,RESBDGAPAOldCDY______ESRELC_23,0.3,ResidentialBuildingApartmentsOldClothe DryerEnergy StarElectricity2023
TO,S,P1,RESBDGAPAOldCDY______ESRELC_23,0.53,ResidentialBuildingApartmentsOldClothe DryerEnergy StarElectricity2023
TO,S,P2,RESBDGAPAOldCDY______ESRELC_23,0.68,ResidentialBuildingApartmentsOldClothe DryerEnergy StarElectricity2023
TO,R,D,RESBDGAPAOldCDY______ESRELC_23,0.88,ResidentialBuildingApartmentsOldClothe DryerEnergy StarElectricity2023
TO,R,N,RESBDGAPAOldCDY______ESRELC_23,0.31,ResidentialBuildingApartmentsOldClothe DryerEnergy StarElectricity2023
TO,R,P1,RESBDGAPAOldCDY______ESRELC_23,0.55,ResidentialBuildingApartmentsOldClothe DryerEnergy StarElectricity2023
TO,R,P2,RESBDGAPAOldCDY______ESRELC_23,0.77,ResidentialBuildingApartmentsOldClothe DryerEnergy StarElectricity2023
TO,F,D,RESBDGAPAOldCDY______ESRELC_23,0.95,ResidentialBuildingApartmentsOldClothe DryerEnergy StarElectricity2023
TO,F,N,RESBDGAPAOldCDY______ESRELC_23,0.32,ResidentialBuildingApartmentsOldClothe DryerEnergy StarElectricity2023
TO,F,P1,RESBDGAPAOldCDY______ESRELC_23,0.58,ResidentialBuildingApartmentsOldClothe DryerEnergy StarElectricity2023
TO,F,P2,RESBDGAPAOldCDY______ESRELC_23,0.86,ResidentialBuildingApartmentsOldClothe DryerEnergy StarElectricity2023
TO,W,D,RESBDGAPAOldCDY______STDELC_23,1,ResidentialBuildingApartmentsOldClothe DryerStandard EfficiencyElectricity2023
TO,W,N,RESBDGAPAOldCDY______STDELC_23,0.33,ResidentialBuildingApartmentsOldClothe DryerStandard EfficiencyElectricity2023
TO,W,P1,RESBDGAPAOldCDY______STDELC_23,0.58,ResidentialBuildingApartmentsOldClothe DryerStandard EfficiencyElectricity2023
TO,W,P2,RESBDGAPAOldCDY______STDELC_23,0.89,ResidentialBuildingApartmentsOldClothe DryerStandard EfficiencyElectricity2023
TO,S,D,RESBDGAPAOldCDY______STDELC_23,0.8,ResidentialBuildingApartmentsOldClothe DryerStandard EfficiencyElectricity2023
TO,S,N,RESBDGAPAOldCDY______STDELC_23,0.3,ResidentialBuildingApartmentsOldClothe DryerStandard EfficiencyElectricity2023
TO,S,P1,RESBDGAPAOldCDY______STDELC_23,0.53,ResidentialBuildingApartmentsOldClothe DryerStandard EfficiencyElectricity2023
TO,S,P2,RESBDGAPAOldCDY______STDELC_23,0.68,ResidentialBuildingApartmentsOldClothe DryerStandard EfficiencyElectricity2023
TO,R,D,RESBDGAPAOldCDY______STDELC_23,0.88,ResidentialBuildingApartmentsOldClothe DryerStandard EfficiencyElectricity2023
TO,R,N,RESBDGAPAOldCDY______STDELC_23,0.31,ResidentialBuildingApartmentsOldClothe DryerStandard EfficiencyElectricity2023
TO,R,P1,RESBDGAPAOldCDY______STDELC_23,0.55,ResidentialBuildingApartmentsOldClothe DryerStandard EfficiencyElectricity2023
TO,R,P2,RESBDGAPAOldCDY______STDELC_23,0.77,ResidentialBuildingApartmentsOldClothe DryerStandard EfficiencyElectricity2023
TO,F,D,RESBDGAPAOldCDY______STDELC_23,0.95,ResidentialBuildingApartmentsOldClothe DryerStandard EfficiencyElectricity2023
TO,F,N,RESBDGAPAOldCDY______STDELC_23,0.32,ResidentialBuildingApartmentsOldClothe DryerStandard EfficiencyElectricity2023
TO,F,P1,RESBDGAPAOldCDY______STDELC_23,0.58,ResidentialBuildingApartmentsOldClothe DryerStandard EfficiencyElectricity2023
TO,F,P2,RESBDGAPAOldCDY______STDELC_23,0.86,ResidentialBuildingApartmentsOldClothe DryerStandard EfficiencyElectricity2023
TO,W,D,RESBDGAPAOldRAG______HIGELC_23,0.76,ResidentialBuildingApartmentsOldRangeHigh EfficiencyElectricity2023
TO,W,N,RESBDGAPAOldRAG______HIGELC_23,0.34,ResidentialBuildingApartmentsOldRangeHigh EfficiencyElectricity2023
TO,W,P1,RESBDGAPAOldRAG______HIGELC_23,0.71,ResidentialBuildingApartmentsOldRangeHigh EfficiencyElectricity2023
TO,W,P2,RESBDGAPAOldRAG______HIGELC_23,1,ResidentialBuildingApartmentsOldRangeHigh EfficiencyElectricity2023
TO,S,D,RESBDGAPAOldRAG______HIGELC_23,0.64,ResidentialBuildingApartmentsOldRangeHigh EfficiencyElectricity2023
TO,S,N,RESBDGAPAOldRAG______HIGELC_23,0.29,ResidentialBuildingApartmentsOldRangeHigh EfficiencyElectricity2023
TO,S,P1,RESBDGAPAOldRAG______HIGELC_23,0.67,ResidentialBuildingApartmentsOldRangeHigh EfficiencyElectricity2023
TO,S,P2,RESBDGAPAOldRAG______HIGELC_23,0.87,ResidentialBuildingApartmentsOldRangeHigh EfficiencyElectricity2023
TO,R,D,RESBDGAPAOldRAG______HIGELC_23,0.68,ResidentialBuildingApartmentsOldRangeHigh EfficiencyElectricity2023
TO,R,N,RESBDGAPAOldRAG______HIGELC_23,0.32,ResidentialBuildingApartmentsOldRangeHigh EfficiencyElectricity2023
TO,R,P1,RESBDGAPAOldRAG______HIGELC_23,0.69,ResidentialBuildingApartmentsOldRangeHigh EfficiencyElectricity2023
TO,R,P2,RESBDGAPAOldRAG______HIGELC_23,0.92,ResidentialBuildingApartmentsOldRangeHigh EfficiencyElectricity2023
TO,F,D,RESBDGAPAOldRAG______HIGELC_23,0.73,ResidentialBuildingApartmentsOldRangeHigh EfficiencyElectricity2023
TO,F,N,RESBDGAPAOldRAG______HIGELC_23,0.34,ResidentialBuildingApartmentsOldRangeHigh EfficiencyElectricity2023
TO,F,P1,RESBDGAPAOldRAG______HIGELC_23,0.7,ResidentialBuildingApartmentsOldRangeHigh EfficiencyElectricity2023
TO,F,P2,RESBDGAPAOldRAG______HIGELC_23,0.98,ResidentialBuildingApartmentsOldRangeHigh EfficiencyElectricity2023
TO,W,D,RESBDGAPAOldRAG______STDELC_23,0.76,ResidentialBuildingApartmentsOldRangeStandard EfficiencyElectricity2023
TO,W,N,RESBDGAPAOldRAG______STDELC_23,0.34,ResidentialBuildingApartmentsOldRangeStandard EfficiencyElectricity2023
TO,W,P1,RESBDGAPAOldRAG______STDELC_23,0.71,ResidentialBuildingApartmentsOldRangeStandard EfficiencyElectricity2023
TO,W,P2,RESBDGAPAOldRAG______STDELC_23,1,ResidentialBuildingApartmentsOldRangeStandard EfficiencyElectricity2023
TO,S,D,RESBDGAPAOldRAG______STDELC_23,0.64,ResidentialBuildingApartmentsOldRangeStandard EfficiencyElectricity2023
TO,S,N,RESBDGAPAOldRAG______STDELC_23,0.29,ResidentialBuildingApartmentsOldRangeStandard EfficiencyElectricity2023
TO,S,P1,RESBDGAPAOldRAG______STDELC_23,0.67,ResidentialBuildingApartmentsOldRangeStandard EfficiencyElectricity2023
TO,S,P2,RESBDGAPAOldRAG______STDELC_23,0.87,ResidentialBuildingApartmentsOldRangeStandard EfficiencyElectricity2023
TO,R,D,RESBDGAPAOldRAG______STDELC_23,0.68,ResidentialBuildingApartmentsOldRangeStandard EfficiencyElectricity2023
TO,R,N,RESBDGAPAOldRAG______STDELC_23,0.32,ResidentialBuildingApartmentsOldRangeStandard EfficiencyElectricity2023
TO,R,P1,RESBDGAPAOldRAG______STDELC_23,0.69,ResidentialBuildingApartmentsOldRangeStandard EfficiencyElectricity2023
TO,R,P2,RESBDGAPAOldRAG______STDELC_23,0.92,ResidentialBuildingApartmentsOldRangeStandard EfficiencyElectricity2023
TO,F,D,RESBDGAPAOldRAG______STDELC_23,0.73,ResidentialBuildingApartmentsOldRangeStandard EfficiencyElectricity2023
TO,F,N,RESBDGAPAOldRAG______STDELC_23,0.34,ResidentialBuildingApartmentsOldRangeStandard EfficiencyElectricity2023
TO,F,P1,RESBDGAPAOldRAG______STDELC_23,0.7,ResidentialBuildingApartmentsOldRangeStandard EfficiencyElectricity2023
TO,F,P2,RESBDGAPAOldRAG______STDELC_23,0.98,ResidentialBuildingApartmentsOldRangeStandard EfficiencyElectricity2023
TO,W,D,RESBDGAPAOldRAG______HIGNGA_23,0.76,ResidentialBuildingApartmentsOldRangeHigh EfficiencyNatural Gas2023
TO,W,N,RESBDGAPAOldRAG______HIGNGA_23,0.34,ResidentialBuildingApartmentsOldRangeHigh EfficiencyNatural Gas2023
TO,W,P1,RESBDGAPAOldRAG______HIGNGA_23,0.71,ResidentialBuildingApartmentsOldRangeHigh EfficiencyNatural Gas2023
TO,W,P2,RESBDGAPAOldRAG______HIGNGA_23,1,ResidentialBuildingApartmentsOldRangeHigh EfficiencyNatural Gas2023
TO,S,D,RESBDGAPAOldRAG______HIGNGA_23,0.64,ResidentialBuildingApartmentsOldRangeHigh EfficiencyNatural Gas2023
TO,S,N,RESBDGAPAOldRAG______HIGNGA_23,0.29,ResidentialBuildingApartmentsOldRangeHigh EfficiencyNatural Gas2023
TO,S,P1,RESBDGAPAOldRAG______HIGNGA_23,0.67,ResidentialBuildingApartmentsOldRangeHigh EfficiencyNatural Gas2023
TO,S,P2,RESBDGAPAOldRAG______HIGNGA_23,0.87,ResidentialBuildingApartmentsOldRangeHigh EfficiencyNatural Gas2023
TO,R,D,RESBDGAPAOldRAG______HIGNGA_23,0.68,ResidentialBuildingApartmentsOldRangeHigh EfficiencyNatural Gas2023
TO,R,N,RESBDGAPAOldRAG______HIGNGA_23,0.32,ResidentialBuildingApartmentsOldRangeHigh EfficiencyNatural Gas2023
TO,R,P1,RESBDGAPAOldRAG______HIGNGA_23,0.69,ResidentialBuildingApartmentsOldRangeHigh EfficiencyNatural Gas2023
TO,R,P2,RESBDGAPAOldRAG______HIGNGA_23,0.92,ResidentialBuildingApartmentsOldRangeHigh EfficiencyNatural Gas2023
TO,F,D,RESBDGAPAOldRAG______HIGNGA_23,0.73,ResidentialBuildingApartmentsOldRangeHigh EfficiencyNatural Gas2023
TO,F,N,RESBDGAPAOldRAG______HIGNGA_23,0.34,ResidentialBuildingApartmentsOldRangeHigh EfficiencyNatural Gas2023
TO,F,P1,RESBDGAPAOldRAG______HIGNGA_23,0.7,ResidentialBuildingApartmentsOldRangeHigh EfficiencyNatural Gas2023
TO,F,P2,RESBDGAPAOldRAG______HIGNGA_23,0.98,ResidentialBuildingApartmentsOldRangeHigh EfficiencyNatural Gas2023
TO,W,D,RESBDGAPAOldRAG______STDNGA_23,0.76,ResidentialBuildingApartmentsOldRangeStandard EfficiencyNatural Gas2023
TO,W,N,RESBDGAPAOldRAG______STDNGA_23,0.34,ResidentialBuildingApartmentsOldRangeStandard EfficiencyNatural Gas2023
TO,W,P1,RESBDGAPAOldRAG______STDNGA_23,0.71,ResidentialBuildingApartmentsOldRangeStandard EfficiencyNatural Gas2023
TO,W,P2,RESBDGAPAOldRAG______STDNGA_23,1,ResidentialBuildingApartmentsOldRangeStandard EfficiencyNatural Gas2023
TO,S,D,RESBDGAPAOldRAG______STDNGA_23,0.64,ResidentialBuildingApartmentsOldRangeStandard EfficiencyNatural Gas2023
TO,S,N,RESBDGAPAOldRAG______STDNGA_23,0.29,ResidentialBuildingApartmentsOldRangeStandard EfficiencyNatural Gas2023
TO,S,P1,RESBDGAPAOldRAG______STDNGA_23,0.67,ResidentialBuildingApartmentsOldRangeStandard EfficiencyNatural Gas2023
TO,S,P2,RESBDGAPAOldRAG______STDNGA_23,0.87,ResidentialBuildingApartmentsOldRangeStandard EfficiencyNatural Gas2023
TO,R,D,RESBDGAPAOldRAG______STDNGA_23,0.68,ResidentialBuildingApartmentsOldRangeStandard EfficiencyNatural Gas2023
TO,R,N,RESBDGAPAOldRAG______STDNGA_23,0.32,ResidentialBuildingApartmentsOldRangeStandard EfficiencyNatural Gas2023
TO,R,P1,RESBDGAPAOldRAG______STDNGA_23,0.69,ResidentialBuildingApartmentsOldRangeStandard EfficiencyNatural Gas2023
TO,R,P2,RESBDGAPAOldRAG______STDNGA_23,0.92,ResidentialBuildingApartmentsOldRangeStandard EfficiencyNatural Gas2023
TO,F,D,RESBDGAPAOldRAG______STDNGA_23,0.73,ResidentialBuildingApartmentsOldRangeStandard EfficiencyNatural Gas2023
TO,F,N,RESBDGAPAOldRAG______STDNGA_23,0.34,ResidentialBuildingApartmentsOldRangeStandard EfficiencyNatural Gas2023
TO,F,P1,RESBDGAPAOldRAG______STDNGA_23,0.7,ResidentialBuildingApartmentsOldRangeStandard EfficiencyNatural Gas2023
TO,F,P2,RESBDGAPAOldRAG______STDNGA_23,0.98,ResidentialBuildingApartmentsOldRangeStandard EfficiencyNatural Gas2023
TO,W,D,RESBDGAPAOldCWA___CBHIGELC_23,1,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,W,N,RESBDGAPAOldCWA___CBHIGELC_23,0.17,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,W,P1,RESBDGAPAOldCWA___CBHIGELC_23,0.66,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,W,P2,RESBDGAPAOldCWA___CBHIGELC_23,0.7,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,S,D,RESBDGAPAOldCWA___CBHIGELC_23,0.88,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,S,N,RESBDGAPAOldCWA___CBHIGELC_23,0.18,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,S,P1,RESBDGAPAOldCWA___CBHIGELC_23,0.79,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,S,P2,RESBDGAPAOldCWA___CBHIGELC_23,0.69,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,R,D,RESBDGAPAOldCWA___CBHIGELC_23,0.92,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,R,N,RESBDGAPAOldCWA___CBHIGELC_23,0.18,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,R,P1,RESBDGAPAOldCWA___CBHIGELC_23,0.73,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,R,P2,RESBDGAPAOldCWA___CBHIGELC_23,0.69,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
