regions,tech,c2a,c2a_notes
TO,RESBDGAPAOldCDY______HIGELC_23,2.822176491,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCDY______ESRELC_23,2.822176491,ResidentialBuildingApartmentsOldClothe DryerEnergy StarElectricity2023
TO,RESBDGAPAOldCDY______STDELC_23,2.822176491,ResidentialBuildingApartmentsOldClothe DryerStandard EfficiencyElectricity2023
TO,RESBDGAPAOldRAG______HIGELC_23,1.706387646,ResidentialBuildingApartmentsOldRangeHigh EfficiencyElectricity2023
TO,RESBDGAPAOldRAG______STDELC_23,1.706387646,ResidentialBuildingApartmentsOldRangeStandard EfficiencyElectricity2023
TO,RESBDGAPAOldCWA___FRHIGELC_23,0.162554981,ResidentialBuildingApartmentsOldClothe WasherFrontHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCWA___FRESRELC_23,0.162554981,ResidentialBuildingApartmentsOldClothe WasherFrontEnergy StarElectricity2023
TO,RESBDGAPAOldCWA___FRSTDELC_23,0.162554981,ResidentialBuildingApartmentsOldClothe WasherFrontStandard EfficiencyElectricity2023
TO,RESBDGAPAOldCWA___TPHIGELC_23,0.162554981,ResidentialBuildingApartmentsOldClothe WasherTopHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCWA___TPESRELC_23,0.162554981,ResidentialBuildingApartmentsOldClothe WasherTopEnergy StarElectricity2023
TO,RESBDGAPAOldCWA___TPSTDELC_23,0.162554981,ResidentialBuildingApartmentsOldClothe WasherTopStandard EfficiencyElectricity2023
TO,RESBDGAPAOldDWA______HIGELC_23,0.260979652,ResidentialBuildingApartmentsOldDish WasherHigh EfficiencyElectricity2023
TO,RESBDGAPAOldDWA______ESRELC_23,0.260979652,ResidentialBuildingApartmentsOldDish WasherEnergy StarElectricity2023
TO,RESBDGAPAOldDWA______STDELC_23,0.260979652,ResidentialBuildingApartmentsOldDish WasherStandard EfficiencyElectricity2023
TO,RESBDGAPAOldLIFLC___HIGELC_23,1,ResidentialBuildingApartmentsOldLightingFluocompactHigh EfficiencyElectricity2023
TO,RESBDGAPAOldLIFLC___ESRELC_23,1,ResidentialBuildingApartmentsOldLightingFluocompactEnergy StarElectricity2023
TO,RESBDGAPAOldLIFLC___STDELC_23,1,ResidentialBuildingApartmentsOldLightingFluocompactStandard EfficiencyElectricity2023
TO,RESBDGAPAOldLIFLUT5HIGELC_23,1,ResidentialBuildingApartmentsOldLightingFluorescenteT5High EfficiencyElectricity2023
TO,RESBDGAPAOldLIFLUT8HIGELC_23,1,ResidentialBuildingApartmentsOldLightingFluorescenteT8High EfficiencyElectricity2023
TO,RESBDGAPAOldLIFLUT12STDELC_23,1,ResidentialBuildingApartmentsOldLightingFluorescenteT12Standard EfficiencyElectricity2023
TO,RESBDGAPAOldLIFLUT5STDELC_23,1,ResidentialBuildingApartmentsOldLightingFluorescenteT5Standard EfficiencyElectricity2023
TO,RESBDGAPAOldLIFLUT8STDELC_23,1,ResidentialBuildingApartmentsOldLightingFluorescenteT8Standard EfficiencyElectricity2023
TO,RESBDGAPAOldLIHAL60WSTDELC_23,1,ResidentialBuildingApartmentsOldLightingHalogen60WStandard EfficiencyElectricity2023
TO,RESBDGAPAOldLIINC60WSTDELC_23,1,ResidentialBuildingApartmentsOldLightingIncandescent60WStandard EfficiencyElectricity2023
TO,RESBDGAPAOldLILED___ESRELC_23,1,ResidentialBuildingApartmentsOldLightingLight Emitting DiodeEnergy StarElectricity2023
TO,RESBDGAPAOldLILED___STDELC_23,1,ResidentialBuildingApartmentsOldLightingLight Emitting DiodeStandard EfficiencyElectricity2023
TO,RESBDGAPAOldSCCE___HIGELC_23,31.536,ResidentialBuildingApartmentsOldSpace CoolingCentralHigh EfficiencyElectricity2023
TO,RESBDGAPAOldSCCE___ESRELC_23,31.536,ResidentialBuildingApartmentsOldSpace CoolingCentralEnergy StarElectricity2023
TO,RESBDGAPAOldSCCE___STDELC_23,31.536,ResidentialBuildingApartmentsOldSpace CoolingCentralStandard EfficiencyElectricity2023
TO,RESBDGAPAOldSCWA___HIGELC_23,31.536,ResidentialBuildingApartmentsOldSpace CoolingWallHigh EfficiencyElectricity2023
TO,RESBDGAPAOldSCWA___ESRELC_23,31.536,ResidentialBuildingApartmentsOldSpace CoolingWallEnergy StarElectricity2023
TO,RESBDGAPAOldSCWA___STDELC_23,31.536,ResidentialBuildingApartmentsOldSpace CoolingWallStandard EfficiencyElectricity2023
TO,RESBDGAPAOldSCWD___HIGELC_23,31.536,ResidentialBuildingApartmentsOldSpace CoolingWindowHigh EfficiencyElectricity2023
