regions,tech,vintage,cost_invest,cost_invest_units,cost_invest_notes
TO,RESBDGAPAOldCDY______HIGELC_23,2023,2948.525807,k$/kunits,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCDY______HIGELC_23,2024,2948.525807,k$/kunits,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCDY______HIGELC_23,2025,2948.525807,k$/kunits,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCDY______HIGELC_23,2026,2948.525807,k$/kunits,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCDY______HIGELC_23,2027,2948.525807,k$/kunits,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCDY______HIGELC_23,2028,2948.525807,k$/kunits,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCDY______HIGELC_23,2029,2948.525807,k$/kunits,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCDY______HIGELC_23,2030,2948.525807,k$/kunits,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCDY______HIGELC_23,2031,2948.525807,k$/kunits,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCDY______HIGELC_23,2032,2948.525807,k$/kunits,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCDY______HIGELC_23,2033,2948.525807,k$/kunits,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCDY______HIGELC_23,2034,2948.525807,k$/kunits,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCDY______HIGELC_23,2035,2948.525807,k$/kunits,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCDY______HIGELC_23,2036,2948.525807,k$/kunits,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCDY______HIGELC_23,2037,2948.525807,k$/kunits,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCDY______HIGELC_23,2038,2948.525807,k$/kunits,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCDY______HIGELC_23,2039,2948.525807,k$/kunits,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCDY______HIGELC_23,2040,2948.525807,k$/kunits,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
