regions,tech,growthrate_seed,growthrate_seed_units,growthrate_seed_notes
TO,RESBDGSDEOldSHZPT___STDETHOS_23,4.267856373,,
TO,RESBDGSDEOldSHZTM___STDETHOS_23,19.91666307,,
TO,RESBDGSDEOldSHZTM___MEDETHOS_23,19.91666307,,
TO,RESBDGAPAOldSHZPT___STDETHOS_23,3.176203255,,
TO,RESBDGSDEOldSHZTM___HIGETHOS_23,19.91666307,,
TO,RESBDGAPAOldSHZTM___STDETHOS_23,14.82228186,,
TO,RESBDGAPAOldSHZTM___MEDETHOS_23,14.82228186,,
TO,RESBDGAPAOldSHZTM___HIGETHOS_23,14.82228186,,
TO,RESBDGSATOldSHZPT___STDETHOS_23,1.931870154,,
TO,RESBDGSATOldSHZTM___STDETHOS_23,9.015394052,,
TO,RESBDGSATOldSHZTM___MEDETHOS_23,9.015394052,,
TO,RESBDGSATOldSHZTM___HIGETHOS_23,9.015394052,,
TO,RESBDGAPANewSHZPT___STDETHOS_23,0.813969888,,
TO,RESBDGAPANewSHZTM___STDETHOS_23,3.798526144,,
TO,RESBDGAPANewSHZTM___MEDETHOS_23,3.798526144,,
TO,RESBDGAPANewSHZTM___HIGETHOS_23,3.798526144,,
TO,RESBDGSDENewSHZPT___STDETHOS_23,0.360720623,,
TO,RESBDGSDENewSHZTM___STDETHOS_23,1.683362907,,
TO,RESBDGSDENewSHZTM___MEDETHOS_23,1.683362907,,
TO,RESBDGSDENewSHZTM___HIGETHOS_23,1.683362907,,
TO,RESBDGSATNewSHZPT___STDETHOS_23,0.043191354,,
TO,RESBDGSATNewSHZTM___STDETHOS_23,0.201559652,,
TO,RESBDGSATNewSHZTM___MEDETHOS_23,0.201559652,,
TO,RESBDGSATNewSHZTM___HIGETHOS_23,0.201559652,,
TO,RESBDGSDEOldCWA___CBESRELC_23,8.455060208,,
TO,RESBDGAPAOldCWA___CBESRELC_23,15.41512409,,
TO,RESBDGSATOldCWA___CBESRELC_23,5.232800022,,
TO,RESBDGAPANewCWA___CBESRELC_23,12.50425148,,
TO,RESBDGSDENewCWA___CBESRELC_23,1.383061355,,
TO,RESBDGSATNewCWA___CBESRELC_23,0.307282764,,
TO,RESBDGSDEOldLIFLUT5STDELC_23,1446.543632,,
TO,RESBDGAPAOldLIFLUT5STDELC_23,686.654742,,
TO,RESBDGSDEOldRAG______STDNGA_23,10.92042156,,
TO,RESBDGAPAOldRAG______STDNGA_23,19.90992959,,
TO,RESBDGSATOldLIFLUT5STDELC_23,580.4302109,,
TO,RESBDGSATOldRAG______STDNGA_23,6.758601448,,
TO,RESBDGSDEOldCDY______STDELC_23,195.4344565,,
TO,RESBDGAPAOldCDY______STDELC_23,356.3128262,,
TO,RESBDGSATOldCDY______STDELC_23,120.9535359,,
TO,RESBDGSDEOldDWA______STDELC_23,121.4797594,,
TO,RESBDGAPAOldDWA______STDELC_23,221.4798619,,
TO,RESBDGSATOldDWA______STDELC_23,75.18329525,,
TO,RESBDGSDEOldFRZ___CHSTDELC_23,27.97756494,,
TO,RESBDGAPANewLIFLUT5STDELC_23,394.7139262,,
TO,RESBDGSDENewLIFLUT5STDELC_23,340.8179478,,
TO,RESBDGAPAOldFRZ___CHSTDELC_23,51.00822759,,
TO,RESBDGSATOldFRZ___CHSTDELC_23,17.31519337,,
TO,RESBDGAPANewRAG______STDNGA_23,100.8423903,,
TO,RESBDGSDENewRAG______STDNGA_23,11.15390338,,
TO,RESBDGSATNewRAG______STDNGA_23,2.478127415,,
TO,RESBDGSATNewLIFLUT5STDELC_23,34.36904415,,
TO,RESBDGAPANewDWA______STDELC_23,148.4818429,,
TO,RESBDGSDENewDWA______STDELC_23,16.42317408,,
TO,RESBDGSATNewDWA______STDELC_23,3.648831851,,
TO,RESBDGAPANewCDY______STDELC_23,238.8749237,,
TO,RESBDGSDENewCDY______STDELC_23,26.42130766,,
TO,RESBDGSATNewCDY______STDELC_23,5.870175186,,
TO,RESBDGAPAOldSHFUR___HIGNGA_23,473.8576036,,
TO,RESBDGSDEOldSHFUR___HIGNGA_23,636.7212772,,
TO,RESBDGSATOldSHFUR___HIGNGA_23,288.2156109,,
TO,RESBDGAPAOldWHWTK___HIGNGA_23,300.1685302,,
TO,RESBDGAPANewFRZ___CHSTDELC_23,71.32886829,,
TO,RESBDGSDENewFRZ___CHSTDELC_23,7.889492733,,
TO,RESBDGSATNewFRZ___CHSTDELC_23,1.752854365,,
TO,RESBDGAPANewSCWD___STDELC_23,183.4749898,,
TO,RESBDGSDENewSCWD___STDELC_23,178.8220802,,
TO,RESBDGSATNewSCWD___STDELC_23,2.15550388,,
TO,RESBDGSDEOldWHWTK___HIGNGA_23,177.1488569,,
TO,RESBDGAPAOldSCWD___STDELC_23,97.63339274,,
TO,RESBDGSATOldWHWTK___HIGNGA_23,103.9412512,,
