regions,periods,tech,maxcap,maxcap_units,maxcap_notes
TO,2016,RESBDGAPANewAPLOTH___STDELC_16,0,,
TO,2016,RESBDGAPANewCDY______STDELC_16,0,,
TO,2016,RESBDGAPANewCWA______STDELC_16,0,,
TO,2016,RESBDGAPANewDWA______STDELC_16,0,,
TO,2016,RESBDGAPANewFRZ______STDELC_16,0,,
TO,2016,RESBDGAPANewLIFLC___STDELC_16,0,,
TO,2016,RESBDGAPANewLIFLU___STDELC_16,0,,
TO,2016,RESBDGAPANewLIHAL___STDELC_16,0,,
TO,2016,RESBDGAPANewLIINC___STDELC_16,0,,
TO,2016,RESBDGAPANewLILED___HIGELC_16,0,,
TO,2016,RESBDGAPANewLILED___STDELC_16,0,,
TO,2016,RESBDGAPANewRAG______STDELC_16,0,,
TO,2016,RESBDGAPANewREF______STDELC_16,0,,
TO,2016,RESBDGAPANewSCCE___STDELC_16,0,,
TO,2016,RESBDGAPANewSCRO___STDELC_16,0,,
TO,2016,RESBDGAPANewSHFUR___HIGNGA_16,0,,
TO,2016,RESBDGAPANewSHFUR___MEDNGA_16,0,,
TO,2016,RESBDGAPANewSHFUR___STDBMA_16,0,,
TO,2016,RESBDGAPANewSHFUR___STDBWP_16,0,,
TO,2016,RESBDGAPANewSHFUR___STDKER_16,0,,
TO,2016,RESBDGAPANewSHFUR___STDLFO_16,0,,
TO,2016,RESBDGAPANewSHFUR___STDPRO_16,0,,
TO,2016,RESBDGAPANewSHHEP___STDELC_16,0,,
TO,2016,RESBDGAPANewSHPLT___STDELC_16,0,,
TO,2016,RESBDGAPANewWH______STDBMA_16,0,,
TO,2016,RESBDGAPANewWH______STDBWP_16,0,,
TO,2016,RESBDGAPANewWH______STDELC_16,0,,
TO,2016,RESBDGAPANewWH______STDKER_16,0,,
TO,2016,RESBDGAPANewWH______STDLFO_16,0,,
TO,2016,RESBDGAPANewWH______STDNGA_16,0,,
TO,2016,RESBDGAPANewWH______STDPRO_16,0,,
TO,2016,RESBDGAPAOldAPLOTH___STDELC_16,0.001948193,,
TO,2016,RESBDGAPAOldCDY______STDELC_16,0.015125316,,
TO,2016,RESBDGAPAOldCWA______STDELC_16,0.015612679,,
TO,2016,RESBDGAPAOldDWA______STDELC_16,0.013324861,,
TO,2016,RESBDGAPAOldFRZ______STDELC_16,0.013763438,,
TO,2016,RESBDGAPAOldLIFLC___STDELC_16,0.003249915,,
TO,2016,RESBDGAPAOldLIFLU___STDELC_16,0,,
TO,2016,RESBDGAPAOldLIHAL___STDELC_16,0,,
TO,2016,RESBDGAPAOldLIINC___STDELC_16,0,,
TO,2016,RESBDGAPAOldLILED___HIGELC_16,0.016590328,,
TO,2016,RESBDGAPAOldLILED___STDELC_16,0.016594539,,
TO,2016,RESBDGAPAOldRAG______STDELC_16,0.005700464,,
TO,2016,RESBDGAPAOldREF______STDELC_16,0.014613602,,
TO,2016,RESBDGAPAOldSCCE___STDELC_16,6.832903224,,
TO,2016,RESBDGAPAOldSCRO___STDELC_16,2.311439446,,
TO,2016,RESBDGAPAOldSHFUR___HIGNGA_16,22.5484857,,
TO,2016,RESBDGAPAOldSHFUR___MEDNGA_16,13.93263905,,
TO,2016,RESBDGAPAOldSHFUR___STDBMA_16,4.209675429,,
TO,2016,RESBDGAPAOldSHFUR___STDBWP_16,0.008677097,,
TO,2016,RESBDGAPAOldSHFUR___STDKER_16,0.008685845,,
TO,2016,RESBDGAPAOldSHFUR___STDLFO_16,1.799669375,,
TO,2016,RESBDGAPAOldSHFUR___STDPRO_16,0.008677988,,
TO,2016,RESBDGAPAOldSHHEP___STDELC_16,9.857724728,,
TO,2016,RESBDGAPAOldSHPLT___STDELC_16,0.123244714,,
TO,2016,RESBDGAPAOldWH______STDBMA_16,0.133975794,,
TO,2016,RESBDGAPAOldWH______STDBWP_16,0.140784273,,
TO,2016,RESBDGAPAOldWH______STDELC_16,0.186626735,,
TO,2016,RESBDGAPAOldWH______STDKER_16,0.14072727,,
TO,2016,RESBDGAPAOldWH______STDLFO_16,0.132115684,,
