regions,periods,input_comm,tech,ti_split,ti_split_notes
TO,2016,RESBDGELC,RESBDGAPAOldWHSTHBCKSTDELC_23,0.588235294,ResidentialBuildingApartmentsOldWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2017,RESBDGELC,RESBDGAPAOldWHSTHBCKSTDELC_23,0.588235294,ResidentialBuildingApartmentsOldWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2018,RESBDGELC,RESBDGAPAOldWHSTHBCKSTDELC_23,0.588235294,ResidentialBuildingApartmentsOldWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2019,RESBDGELC,RESBDGAPAOldWHSTHBCKSTDELC_23,0.588235294,ResidentialBuildingApartmentsOldWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2020,RESBDGELC,RESBDGAPAOldWHSTHBCKSTDELC_23,0.588235294,ResidentialBuildingApartmentsOldWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2021,RESBDGELC,RESBDGAPAOldWHSTHBCKSTDELC_23,0.588235294,ResidentialBuildingApartmentsOldWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2022,RESBDGELC,RESBDGAPAOldWHSTHBCKSTDELC_23,0.588235294,ResidentialBuildingApartmentsOldWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2023,RESBDGELC,RESBDGAPAOldWHSTHBCKSTDELC_23,0.588235294,ResidentialBuildingApartmentsOldWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2024,RESBDGELC,RESBDGAPAOldWHSTHBCKSTDELC_23,0.588235294,ResidentialBuildingApartmentsOldWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2025,RESBDGELC,RESBDGAPAOldWHSTHBCKSTDELC_23,0.588235294,ResidentialBuildingApartmentsOldWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2026,RESBDGELC,RESBDGAPAOldWHSTHBCKSTDELC_23,0.588235294,ResidentialBuildingApartmentsOldWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2027,RESBDGELC,RESBDGAPAOldWHSTHBCKSTDELC_23,0.588235294,ResidentialBuildingApartmentsOldWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2028,RESBDGELC,RESBDGAPAOldWHSTHBCKSTDELC_23,0.588235294,ResidentialBuildingApartmentsOldWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2029,RESBDGELC,RESBDGAPAOldWHSTHBCKSTDELC_23,0.588235294,ResidentialBuildingApartmentsOldWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2030,RESBDGELC,RESBDGAPAOldWHSTHBCKSTDELC_23,0.588235294,ResidentialBuildingApartmentsOldWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
