regions,periods,tech,output_comm,to_split,to_split_notes
TO,2016,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2017,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2018,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2019,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2020,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2021,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2022,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2023,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2024,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2025,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2026,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2027,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2028,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2029,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2030,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2031,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2032,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2033,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2034,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2035,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2036,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2037,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2038,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2039,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2040,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2041,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2042,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2043,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2044,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2045,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2046,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2047,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2048,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2049,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2050,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCDY,0.45,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2016,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCWA,0.55,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2017,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCWA,0.55,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2018,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCWA,0.55,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
TO,2019,RESBDGAPAOldCWA___CBHIGELC_23,EUERESBDGAPAOldCWA,0.55,ResidentialBuildingApartmentsOldClothe WasherCombinedHigh EfficiencyElectricity2023
