tech,flag,sector,tech_desc,tech_category
RESBDGAPAOldCDY______HIGELC_23,p,RESBDG,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023,
RESBDGAPAOldCDY______ESRELC_23,p,RESBDG,ResidentialBuildingApartmentsOldClothe DryerEnergy StarElectricity2023,
RESBDGAPAOldCDY______STDELC_23,p,RESBDG,ResidentialBuildingApartmentsOldClothe DryerStandard EfficiencyElectricity2023,
RESBDGAPAOldRAG______HIGELC_23,p,RESBDG,ResidentialBuildingApartmentsOldRangeHigh EfficiencyElectricity2023,
RESBDGAPAOldRAG______STDELC_23,p,RESBDG,ResidentialBuildingApartmentsOldRangeStandard EfficiencyElectricity2023,
RESBDGAPAOldCWA___FRHIGELC_23,p,RESBDG,ResidentialBuildingApartmentsOldClothe WasherFrontHigh EfficiencyElectricity2023,
RESBDGAPAOldCWA___FRESRELC_23,p,RESBDG,ResidentialBuildingApartmentsOldClothe WasherFrontEnergy StarElectricity2023,
RESBDGAPAOldCWA___FRSTDELC_23,p,RESBDG,ResidentialBuildingApartmentsOldClothe WasherFrontStandard EfficiencyElectricity2023,
RESBDGAPAOldCWA___TPHIGELC_23,p,RESBDG,ResidentialBuildingApartmentsOldClothe WasherTopHigh EfficiencyElectricity2023,
RESBDGAPAOldCWA___TPESRELC_23,p,RESBDG,ResidentialBuildingApartmentsOldClothe WasherTopEnergy StarElectricity2023,
RESBDGAPAOldCWA___TPSTDELC_23,p,RESBDG,ResidentialBuildingApartmentsOldClothe WasherTopStandard EfficiencyElectricity2023,
RESBDGAPAOldDWA______HIGELC_23,p,RESBDG,ResidentialBuildingApartmentsOldDish WasherHigh EfficiencyElectricity2023,
RESBDGAPAOldDWA______ESRELC_23,p,RESBDG,ResidentialBuildingApartmentsOldDish WasherEnergy StarElectricity2023,
RESBDGAPAOldDWA______STDELC_23,p,RESBDG,ResidentialBuildingApartmentsOldDish WasherStandard EfficiencyElectricity2023,
RESBDGAPAOldLIFLC___HIGELC_23,p,RESBDG,ResidentialBuildingApartmentsOldLightingFluocompactHigh EfficiencyElectricity2023,
RESBDGAPAOldLIFLC___ESRELC_23,p,RESBDG,ResidentialBuildingApartmentsOldLightingFluocompactEnergy StarElectricity2023,
RESBDGAPAOldLIFLC___STDELC_23,p,RESBDG,ResidentialBuildingApartmentsOldLightingFluocompactStandard EfficiencyElectricity2023,
RESBDGAPAOldLIFLUT5HIGELC_23,p,RESBDG,ResidentialBuildingApartmentsOldLightingFluorescenteT5High EfficiencyElectricity2023,
RESBDGAPAOldLIFLUT8HIGELC_23,p,RESBDG,ResidentialBuildingApartmentsOldLightingFluorescenteT8High EfficiencyElectricity2023,
RESBDGAPAOldLIFLUT12STDELC_23,p,RESBDG,ResidentialBuildingApartmentsOldLightingFluorescenteT12Standard EfficiencyElectricity2023,
RESBDGAPAOldLIFLUT5STDELC_23,p,RESBDG,ResidentialBuildingApartmentsOldLightingFluorescenteT5Standard EfficiencyElectricity2023,
RESBDGAPAOldLIFLUT8STDELC_23,p,RESBDG,ResidentialBuildingApartmentsOldLightingFluorescenteT8Standard EfficiencyElectricity2023,
RESBDGAPAOldLIHAL60WSTDELC_23,p,RESBDG,ResidentialBuildingApartmentsOldLightingHalogen60WStandard EfficiencyElectricity2023,
RESBDGAPAOldLIINC60WSTDELC_23,p,RESBDG,ResidentialBuildingApartmentsOldLightingIncandescent60WStandard EfficiencyElectricity2023,
RESBDGAPAOldLILED___ESRELC_23,p,RESBDG,ResidentialBuildingApartmentsOldLightingLight Emitting DiodeEnergy StarElectricity2023,
RESBDGAPAOldLILED___STDELC_23,p,RESBDG,ResidentialBuildingApartmentsOldLightingLight Emitting DiodeStandard EfficiencyElectricity2023,
RESBDGAPAOldSCCE___HIGELC_23,p,RESBDG,ResidentialBuildingApartmentsOldSpace CoolingCentralHigh EfficiencyElectricity2023,
RESBDGAPAOldSCCE___ESRELC_23,p,RESBDG,ResidentialBuildingApartmentsOldSpace CoolingCentralEnergy StarElectricity2023,
RESBDGAPAOldSCCE___STDELC_23,p,RESBDG,ResidentialBuildingApartmentsOldSpace CoolingCentralStandard EfficiencyElectricity2023,
RESBDGAPAOldSCWA___HIGELC_23,p,RESBDG,ResidentialBuildingApartmentsOldSpace CoolingWallHigh EfficiencyElectricity2023,
RESBDGAPAOldSCWA___ESRELC_23,p,RESBDG,ResidentialBuildingApartmentsOldSpace CoolingWallEnergy StarElectricity2023,
RESBDGAPAOldSCWA___STDELC_23,p,RESBDG,ResidentialBuildingApartmentsOldSpace CoolingWallStandard EfficiencyElectricity2023,
RESBDGAPAOldSCWD___HIGELC_23,p,RESBDG,ResidentialBuildingApartmentsOldSpace CoolingWindowHigh EfficiencyElectricity2023,
RESBDGAPAOldSCWD___ESRELC_23,p,RESBDG,ResidentialBuildingApartmentsOldSpace CoolingWindowEnergy StarElectricity2023,
RESBDGAPAOldSCWD___STDELC_23,p,RESBDG,ResidentialBuildingApartmentsOldSpace CoolingWindowStandard EfficiencyElectricity2023,
RESBDGAPAOldSHSTV___HIGBMA_23,p,RESBDG,ResidentialBuildingApartmentsOldSpace HeatingStoveHigh EfficiencyBiomass2023,
RESBDGAPAOldSHSTV___STDBMA_23,p,RESBDG,ResidentialBuildingApartmentsOldSpace HeatingStoveStandard EfficiencyBiomass2023,
RESBDGAPAOldSHFUR___STDELC_23,p,RESBDG,ResidentialBuildingApartmentsOldSpace HeatingFurnaceStandard EfficiencyElectricity2023,
RESBDGAPAOldSHPLT500WSTDELC_23,p,RESBDG,ResidentialBuildingApartmentsOldSpace HeatingPlinthe500WStandard EfficiencyElectricity2023,
RESBDGAPAOldSHPLT1000WSTDELC_23,p,RESBDG,ResidentialBuildingApartmentsOldSpace HeatingPlinthe1000WStandard EfficiencyElectricity2023,
