regions,periods,demand_comm,demand,demand_units,demand_notes
TO,2016,ADEMRESBDGAPA1960LI,44.656,kunits,Aggregated DemandResidentialBuildingApartments1960Lighting
TO,2016,ADEMRESBDGAPA1977LI,237.215,kunits,Aggregated DemandResidentialBuildingApartments1977Lighting
TO,2016,ADEMRESBDGAPA1983LI,26.506,kunits,Aggregated DemandResidentialBuildingApartments1983Lighting
TO,2016,ADEMRESBDGAPA1995LI,51.516,kunits,Aggregated DemandResidentialBuildingApartments1995Lighting
TO,2016,ADEMRESBDGAPA2000LI,13.496,kunits,Aggregated DemandResidentialBuildingApartments2000Lighting
TO,2016,ADEMRESBDGAPA2005LI,14.438,kunits,Aggregated DemandResidentialBuildingApartments2005Lighting
TO,2016,ADEMRESBDGAPA2010LI,33.354,kunits,Aggregated DemandResidentialBuildingApartments2010Lighting
TO,2016,ADEMRESBDGAPA2015LI,194.291,kunits,Aggregated DemandResidentialBuildingApartments2015Lighting
TO,2016,ADEMRESBDGAPA2020LI,0.0,kunits,Aggregated DemandResidentialBuildingApartments2020Lighting
TO,2016,ADEMRESBDGAPA2025LI,0.0,kunits,Aggregated DemandResidentialBuildingApartments2025Lighting
TO,2016,ADEMRESBDGAPA2030LI,0.0,kunits,Aggregated DemandResidentialBuildingApartments2030Lighting
TO,2016,ADEMRESBDGAPA2035LI,0.0,kunits,Aggregated DemandResidentialBuildingApartments2035Lighting
TO,2016,ADEMRESBDGAPA2040LI,0.0,kunits,Aggregated DemandResidentialBuildingApartments2040Lighting
TO,2016,ADEMRESBDGAPA2045LI,0.0,kunits,Aggregated DemandResidentialBuildingApartments2045Lighting
TO,2016,ADEMRESBDGSDE1960LI,154.749,kunits,Aggregated DemandResidentialBuildingSingle Detached1960Lighting
TO,2016,ADEMRESBDGSDE1977LI,84.437,kunits,Aggregated DemandResidentialBuildingSingle Detached1977Lighting
TO,2016,ADEMRESBDGSDE1983LI,12.914,kunits,Aggregated DemandResidentialBuildingSingle Detached1983Lighting
TO,2016,ADEMRESBDGSDE1995LI,21.308,kunits,Aggregated DemandResidentialBuildingSingle Detached1995Lighting
TO,2016,ADEMRESBDGSDE2000LI,4.238,kunits,Aggregated DemandResidentialBuildingSingle Detached2000Lighting
TO,2016,ADEMRESBDGSDE2005LI,6.33,kunits,Aggregated DemandResidentialBuildingSingle Detached2005Lighting
TO,2016,ADEMRESBDGSDE2010LI,7.727,kunits,Aggregated DemandResidentialBuildingSingle Detached2010Lighting
TO,2016,ADEMRESBDGSDE2015LI,11.604,kunits,Aggregated DemandResidentialBuildingSingle Detached2015Lighting
TO,2016,ADEMRESBDGSDE2020LI,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2020Lighting
