regions,tech,vintage,exist_cap,exist_cap_units,exist_cap_notes
TO,RESBDGAPA1960LI_b,2015,10000000000,,ResidentialBuildingApartments1960Lighting
TO,RESBDGAPA1977LI_b,2015,10000000000,,ResidentialBuildingApartments1977Lighting
TO,RESBDGAPA1983LI_b,2015,10000000000,,ResidentialBuildingApartments1983Lighting
TO,RESBDGAPA1995LI_b,2015,10000000000,,ResidentialBuildingApartments1995Lighting
TO,RESBDGAPA2000LI_b,2015,10000000000,,ResidentialBuildingApartments2000Lighting
TO,RESBDGAPA2005LI_b,2015,10000000000,,ResidentialBuildingApartments2005Lighting
TO,RESBDGAPA2010LI_b,2015,10000000000,,ResidentialBuildingApartments2010Lighting
TO,RESBDGAPA2015LI_b,2015,10000000000,,ResidentialBuildingApartments2015Lighting
TO,RESBDGAPA2020LI_b,2015,10000000000,,ResidentialBuildingApartments2020Lighting
TO,RESBDGAPA2025LI_b,2015,10000000000,,ResidentialBuildingApartments2025Lighting
TO,RESBDGAPA2030LI_b,2015,10000000000,,ResidentialBuildingApartments2030Lighting
TO,RESBDGAPA2035LI_b,2015,10000000000,,ResidentialBuildingApartments2035Lighting
TO,RESBDGAPA2040LI_b,2015,10000000000,,ResidentialBuildingApartments2040Lighting
TO,RESBDGAPA2045LI_b,2015,10000000000,,ResidentialBuildingApartments2045Lighting
TO,RESBDGSDE1960LI_b,2015,10000000000,,ResidentialBuildingSingle Detached1960Lighting
TO,RESBDGSDE1977LI_b,2015,10000000000,,ResidentialBuildingSingle Detached1977Lighting
TO,RESBDGSDE1983LI_b,2015,10000000000,,ResidentialBuildingSingle Detached1983Lighting
TO,RESBDGSDE1995LI_b,2015,10000000000,,ResidentialBuildingSingle Detached1995Lighting
TO,RESBDGSDE2000LI_b,2015,10000000000,,ResidentialBuildingSingle Detached2000Lighting
TO,RESBDGSDE2005LI_b,2015,10000000000,,ResidentialBuildingSingle Detached2005Lighting
TO,RESBDGSDE2010LI_b,2015,10000000000,,ResidentialBuildingSingle Detached2010Lighting
TO,RESBDGSDE2015LI_b,2015,10000000000,,ResidentialBuildingSingle Detached2015Lighting
TO,RESBDGSDE2020LI_b,2015,10000000000,,ResidentialBuildingSingle Detached2020Lighting
TO,RESBDGSDE2025LI_b,2015,10000000000,,ResidentialBuildingSingle Detached2025Lighting
TO,RESBDGSDE2030LI_b,2015,10000000000,,ResidentialBuildingSingle Detached2030Lighting
TO,RESBDGSDE2035LI_b,2015,10000000000,,ResidentialBuildingSingle Detached2035Lighting
TO,RESBDGSDE2040LI_b,2015,10000000000,,ResidentialBuildingSingle Detached2040Lighting
TO,RESBDGSDE2045LI_b,2015,10000000000,,ResidentialBuildingSingle Detached2045Lighting
TO,RESBDGSAT1960LI_b,2015,10000000000,,ResidentialBuildingSingle Attached1960Lighting
TO,RESBDGSAT1977LI_b,2015,10000000000,,ResidentialBuildingSingle Attached1977Lighting
TO,RESBDGSAT1983LI_b,2015,10000000000,,ResidentialBuildingSingle Attached1983Lighting
TO,RESBDGSAT1995LI_b,2015,10000000000,,ResidentialBuildingSingle Attached1995Lighting
TO,RESBDGSAT2000LI_b,2015,10000000000,,ResidentialBuildingSingle Attached2000Lighting
TO,RESBDGSAT2005LI_b,2015,10000000000,,ResidentialBuildingSingle Attached2005Lighting
TO,RESBDGSAT2010LI_b,2015,10000000000,,ResidentialBuildingSingle Attached2010Lighting
TO,RESBDGSAT2015LI_b,2015,10000000000,,ResidentialBuildingSingle Attached2015Lighting
TO,RESBDGSAT2020LI_b,2015,10000000000,,ResidentialBuildingSingle Attached2020Lighting
TO,RESBDGSAT2025LI_b,2015,10000000000,,ResidentialBuildingSingle Attached2025Lighting
TO,RESBDGSAT2030LI_b,2015,10000000000,,ResidentialBuildingSingle Attached2030Lighting
TO,RESBDGSAT2035LI_b,2015,10000000000,,ResidentialBuildingSingle Attached2035Lighting
TO,RESBDGSAT2040LI_b,2015,10000000000,,ResidentialBuildingSingle Attached2040Lighting
TO,RESBDGSAT2045LI_b,2015,10000000000,,ResidentialBuildingSingle Attached2045Lighting
TO,RESBDGAPA1960SH_b,2015,10000000000,,ResidentialBuildingApartments1960Space Heating
