comm_name,flag,comm_desc
ADEMRESBDGAPA1960LI,d,Aggregated DemandResidentialBuildingApartments1960Lighting
ADEMRESBDGAPA1977LI,d,Aggregated DemandResidentialBuildingApartments1977Lighting
ADEMRESBDGAPA1983LI,d,Aggregated DemandResidentialBuildingApartments1983Lighting
ADEMRESBDGAPA1995LI,d,Aggregated DemandResidentialBuildingApartments1995Lighting
ADEMRESBDGAPA2000LI,d,Aggregated DemandResidentialBuildingApartments2000Lighting
ADEMRESBDGAPA2005LI,d,Aggregated DemandResidentialBuildingApartments2005Lighting
ADEMRESBDGAPA2010LI,d,Aggregated DemandResidentialBuildingApartments2010Lighting
ADEMRESBDGAPA2015LI,d,Aggregated DemandResidentialBuildingApartments2015Lighting
ADEMRESBDGAPA2020LI,d,Aggregated DemandResidentialBuildingApartments2020Lighting
ADEMRESBDGAPA2025LI,d,Aggregated DemandResidentialBuildingApartments2025Lighting
ADEMRESBDGAPA2030LI,d,Aggregated DemandResidentialBuildingApartments2030Lighting
ADEMRESBDGAPA2035LI,d,Aggregated DemandResidentialBuildingApartments2035Lighting
ADEMRESBDGAPA2040LI,d,Aggregated DemandResidentialBuildingApartments2040Lighting
ADEMRESBDGAPA2045LI,d,Aggregated DemandResidentialBuildingApartments2045Lighting
ADEMRESBDGSDE1960LI,d,Aggregated DemandResidentialBuildingSingle Detached1960Lighting
ADEMRESBDGSDE1977LI,d,Aggregated DemandResidentialBuildingSingle Detached1977Lighting
ADEMRESBDGSDE1983LI,d,Aggregated DemandResidentialBuildingSingle Detached1983Lighting
ADEMRESBDGSDE1995LI,d,Aggregated DemandResidentialBuildingSingle Detached1995Lighting
ADEMRESBDGSDE2000LI,d,Aggregated DemandResidentialBuildingSingle Detached2000Lighting
ADEMRESBDGSDE2005LI,d,Aggregated DemandResidentialBuildingSingle Detached2005Lighting
ADEMRESBDGSDE2010LI,d,Aggregated DemandResidentialBuildingSingle Detached2010Lighting
ADEMRESBDGSDE2015LI,d,Aggregated DemandResidentialBuildingSingle Detached2015Lighting
ADEMRESBDGSDE2020LI,d,Aggregated DemandResidentialBuildingSingle Detached2020Lighting
ADEMRESBDGSDE2025LI,d,Aggregated DemandResidentialBuildingSingle Detached2025Lighting
ADEMRESBDGSDE2030LI,d,Aggregated DemandResidentialBuildingSingle Detached2030Lighting
ADEMRESBDGSDE2035LI,d,Aggregated DemandResidentialBuildingSingle Detached2035Lighting
ADEMRESBDGSDE2040LI,d,Aggregated DemandResidentialBuildingSingle Detached2040Lighting
ADEMRESBDGSDE2045LI,d,Aggregated DemandResidentialBuildingSingle Detached2045Lighting
ADEMRESBDGSAT1960LI,d,Aggregated DemandResidentialBuildingSingle Attached1960Lighting
ADEMRESBDGSAT1977LI,d,Aggregated DemandResidentialBuildingSingle Attached1977Lighting
ADEMRESBDGSAT1983LI,d,Aggregated DemandResidentialBuildingSingle Attached1983Lighting
ADEMRESBDGSAT1995LI,d,Aggregated DemandResidentialBuildingSingle Attached1995Lighting
ADEMRESBDGSAT2000LI,d,Aggregated DemandResidentialBuildingSingle Attached2000Lighting
ADEMRESBDGSAT2005LI,d,Aggregated DemandResidentialBuildingSingle Attached2005Lighting
ADEMRESBDGSAT2010LI,d,Aggregated DemandResidentialBuildingSingle Attached2010Lighting
ADEMRESBDGSAT2015LI,d,Aggregated DemandResidentialBuildingSingle Attached2015Lighting
ADEMRESBDGSAT2020LI,d,Aggregated DemandResidentialBuildingSingle Attached2020Lighting
ADEMRESBDGSAT2025LI,d,Aggregated DemandResidentialBuildingSingle Attached2025Lighting
ADEMRESBDGSAT2030LI,d,Aggregated DemandResidentialBuildingSingle Attached2030Lighting
ADEMRESBDGSAT2035LI,d,Aggregated DemandResidentialBuildingSingle Attached2035Lighting
ADEMRESBDGSAT2040LI,d,Aggregated DemandResidentialBuildingSingle Attached2040Lighting
ADEMRESBDGSAT2045LI,d,Aggregated DemandResidentialBuildingSingle Attached2045Lighting
ADEMRESBDGAPA1960SH,d,Aggregated DemandResidentialBuildingApartments1960Space Heating
ADEMRESBDGAPA1977SH,d,Aggregated DemandResidentialBuildingApartments1977Space Heating
ADEMRESBDGAPA1983SH,d,Aggregated DemandResidentialBuildingApartments1983Space Heating
ADEMRESBDGAPA1995SH,d,Aggregated DemandResidentialBuildingApartments1995Space Heating
ADEMRESBDGAPA2000SH,d,Aggregated DemandResidentialBuildingApartments2000Space Heating
ADEMRESBDGAPA2005SH,d,Aggregated DemandResidentialBuildingApartments2005Space Heating
