tech,flag,sector,tech_desc,tech_category
RESBDGAPA1960LI_b,p,RESBDG,ResidentialBuildingApartments1960Lighting,
RESBDGAPA1977LI_b,p,RESBDG,ResidentialBuildingApartments1977Lighting,
RESBDGAPA1983LI_b,p,RESBDG,ResidentialBuildingApartments1983Lighting,
RESBDGAPA1995LI_b,p,RESBDG,ResidentialBuildingApartments1995Lighting,
RESBDGAPA2000LI_b,p,RESBDG,ResidentialBuildingApartments2000Lighting,
RESBDGAPA2005LI_b,p,RESBDG,ResidentialBuildingApartments2005Lighting,
RESBDGAPA2010LI_b,p,RESBDG,ResidentialBuildingApartments2010Lighting,
RESBDGAPA2015LI_b,p,RESBDG,ResidentialBuildingApartments2015Lighting,
RESBDGAPA2020LI_b,p,RESBDG,ResidentialBuildingApartments2020Lighting,
RESBDGAPA2025LI_b,p,RESBDG,ResidentialBuildingApartments2025Lighting,
RESBDGAPA2030LI_b,p,RESBDG,ResidentialBuildingApartments2030Lighting,
RESBDGAPA2035LI_b,p,RESBDG,ResidentialBuildingApartments2035Lighting,
RESBDGAPA2040LI_b,p,RESBDG,ResidentialBuildingApartments2040Lighting,
RESBDGAPA2045LI_b,p,RESBDG,ResidentialBuildingApartments2045Lighting,
RESBDGSDE1960LI_b,p,RESBDG,ResidentialBuildingSingle Detached1960Lighting,
RESBDGSDE1977LI_b,p,RESBDG,ResidentialBuildingSingle Detached1977Lighting,
RESBDGSDE1983LI_b,p,RESBDG,ResidentialBuildingSingle Detached1983Lighting,
RESBDGSDE1995LI_b,p,RESBDG,ResidentialBuildingSingle Detached1995Lighting,
RESBDGSDE2000LI_b,p,RESBDG,ResidentialBuildingSingle Detached2000Lighting,
RESBDGSDE2005LI_b,p,RESBDG,ResidentialBuildingSingle Detached2005Lighting,
RESBDGSDE2010LI_b,p,RESBDG,ResidentialBuildingSingle Detached2010Lighting,
RESBDGSDE2015LI_b,p,RESBDG,ResidentialBuildingSingle Detached2015Lighting,
