regions,season_name,time_of_day_name,tech,cf_tech,cf_tech_notes
TO,W,D,COMBDGWSTOldLILED___HIGELC_EX,0.9693971960046831,CommercialBuildingWholesale TradeOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,W,D,COMBDGRTTOldLILED___HIGELC_EX,0.9693971960046831,CommercialBuildingRetail TradeOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,W,D,COMBDGTAWOldLILED___HIGELC_EX,0.9693971960046831,CommercialBuildingTransportation and WarehousingOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,W,D,COMBDGICIOldLILED___HIGELC_EX,0.9693971960046831,CommercialBuildingInformation and Cultural IndustriesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,W,D,COMBDGOFFOldLILED___HIGELC_EX,0.9693971960046831,CommercialBuildingOfficesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,W,D,COMBDGEDSOldLILED___HIGELC_EX,0.9693971960046831,CommercialBuildingEducational ServicesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,W,D,COMBDGHLCOldLILED___HIGELC_EX,0.9693971960046831,CommercialBuildingHealth Care and Social AssistanceOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,W,D,COMBDGAEROldLILED___HIGELC_EX,0.9693971960046831,"CommercialBuildingArts, Entertainment and RecreationOldLightingLight Emitting DiodeHigh EfficiencyElectricity"
TO,W,D,COMBDGAFSOldLILED___HIGELC_EX,0.9693971960046831,CommercialBuildingAccommodation and Food ServicesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,W,D,COMBDGOTSOldLILED___HIGELC_EX,0.9693971960046831,CommercialBuildingOther ServicesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,W,D,COMBDGWSTOldLIFLC___STDELC_EX,0.9693971960046831,CommercialBuildingWholesale TradeOldLightingFluocompactStandard EfficiencyElectricity
TO,W,D,COMBDGRTTOldLIFLC___STDELC_EX,0.9693971960046831,CommercialBuildingRetail TradeOldLightingFluocompactStandard EfficiencyElectricity
TO,W,D,COMBDGTAWOldLIFLC___STDELC_EX,0.9693971960046831,CommercialBuildingTransportation and WarehousingOldLightingFluocompactStandard EfficiencyElectricity
TO,W,D,COMBDGICIOldLIFLC___STDELC_EX,0.9693971960046831,CommercialBuildingInformation and Cultural IndustriesOldLightingFluocompactStandard EfficiencyElectricity
TO,W,D,COMBDGOFFOldLIFLC___STDELC_EX,0.9693971960046831,CommercialBuildingOfficesOldLightingFluocompactStandard EfficiencyElectricity
TO,W,D,COMBDGEDSOldLIFLC___STDELC_EX,0.9693971960046831,CommercialBuildingEducational ServicesOldLightingFluocompactStandard EfficiencyElectricity
TO,W,D,COMBDGHLCOldLIFLC___STDELC_EX,0.9693971960046831,CommercialBuildingHealth Care and Social AssistanceOldLightingFluocompactStandard EfficiencyElectricity
TO,W,D,COMBDGAEROldLIFLC___STDELC_EX,0.9693971960046831,"CommercialBuildingArts, Entertainment and RecreationOldLightingFluocompactStandard EfficiencyElectricity"
TO,W,D,COMBDGAFSOldLIFLC___STDELC_EX,0.9693971960046831,CommercialBuildingAccommodation and Food ServicesOldLightingFluocompactStandard EfficiencyElectricity
TO,W,D,COMBDGOTSOldLIFLC___STDELC_EX,0.9693971960046831,CommercialBuildingOther ServicesOldLightingFluocompactStandard EfficiencyElectricity
TO,W,D,COMBDGWSTOldLIFLU___STDELC_EX,0.9693971960046831,CommercialBuildingWholesale TradeOldLightingFluorescenteStandard EfficiencyElectricity
TO,W,D,COMBDGRTTOldLIFLU___STDELC_EX,0.9693971960046831,CommercialBuildingRetail TradeOldLightingFluorescenteStandard EfficiencyElectricity
TO,W,D,COMBDGTAWOldLIFLU___STDELC_EX,0.9693971960046831,CommercialBuildingTransportation and WarehousingOldLightingFluorescenteStandard EfficiencyElectricity
TO,W,D,COMBDGICIOldLIFLU___STDELC_EX,0.9693971960046831,CommercialBuildingInformation and Cultural IndustriesOldLightingFluorescenteStandard EfficiencyElectricity
TO,W,D,COMBDGOFFOldLIFLU___STDELC_EX,0.9693971960046831,CommercialBuildingOfficesOldLightingFluorescenteStandard EfficiencyElectricity
TO,W,D,COMBDGEDSOldLIFLU___STDELC_EX,0.9693971960046831,CommercialBuildingEducational ServicesOldLightingFluorescenteStandard EfficiencyElectricity
TO,W,D,COMBDGHLCOldLIFLU___STDELC_EX,0.9693971960046831,CommercialBuildingHealth Care and Social AssistanceOldLightingFluorescenteStandard EfficiencyElectricity
TO,W,D,COMBDGAEROldLIFLU___STDELC_EX,0.9693971960046831,"CommercialBuildingArts, Entertainment and RecreationOldLightingFluorescenteStandard EfficiencyElectricity"
TO,W,D,COMBDGAFSOldLIFLU___STDELC_EX,0.9693971960046831,CommercialBuildingAccommodation and Food ServicesOldLightingFluorescenteStandard EfficiencyElectricity
TO,W,D,COMBDGOTSOldLIFLU___STDELC_EX,0.9693971960046831,CommercialBuildingOther ServicesOldLightingFluorescenteStandard EfficiencyElectricity
TO,W,D,COMBDGWSTOldLIHAL___STDELC_EX,0.9693971960046831,CommercialBuildingWholesale TradeOldLightingHalogenStandard EfficiencyElectricity
TO,W,D,COMBDGRTTOldLIHAL___STDELC_EX,0.9693971960046831,CommercialBuildingRetail TradeOldLightingHalogenStandard EfficiencyElectricity
TO,W,D,COMBDGTAWOldLIHAL___STDELC_EX,0.9693971960046831,CommercialBuildingTransportation and WarehousingOldLightingHalogenStandard EfficiencyElectricity
TO,W,D,COMBDGICIOldLIHAL___STDELC_EX,0.9693971960046831,CommercialBuildingInformation and Cultural IndustriesOldLightingHalogenStandard EfficiencyElectricity
TO,W,D,COMBDGOFFOldLIHAL___STDELC_EX,0.9693971960046831,CommercialBuildingOfficesOldLightingHalogenStandard EfficiencyElectricity
TO,W,D,COMBDGEDSOldLIHAL___STDELC_EX,0.9693971960046831,CommercialBuildingEducational ServicesOldLightingHalogenStandard EfficiencyElectricity
TO,W,D,COMBDGHLCOldLIHAL___STDELC_EX,0.9693971960046831,CommercialBuildingHealth Care and Social AssistanceOldLightingHalogenStandard EfficiencyElectricity
TO,W,D,COMBDGAEROldLIHAL___STDELC_EX,0.9693971960046831,"CommercialBuildingArts, Entertainment and RecreationOldLightingHalogenStandard EfficiencyElectricity"
TO,W,D,COMBDGAFSOldLIHAL___STDELC_EX,0.9693971960046831,CommercialBuildingAccommodation and Food ServicesOldLightingHalogenStandard EfficiencyElectricity
TO,W,D,COMBDGOTSOldLIHAL___STDELC_EX,0.9693971960046831,CommercialBuildingOther ServicesOldLightingHalogenStandard EfficiencyElectricity
TO,W,D,COMBDGWSTOldLIINC___STDELC_EX,0.9693971960046831,CommercialBuildingWholesale TradeOldLightingIncandescentStandard EfficiencyElectricity
TO,W,D,COMBDGRTTOldLIINC___STDELC_EX,0.9693971960046831,CommercialBuildingRetail TradeOldLightingIncandescentStandard EfficiencyElectricity
TO,W,D,COMBDGTAWOldLIINC___STDELC_EX,0.9693971960046831,CommercialBuildingTransportation and WarehousingOldLightingIncandescentStandard EfficiencyElectricity
TO,W,D,COMBDGICIOldLIINC___STDELC_EX,0.9693971960046831,CommercialBuildingInformation and Cultural IndustriesOldLightingIncandescentStandard EfficiencyElectricity
TO,W,D,COMBDGOFFOldLIINC___STDELC_EX,0.9693971960046831,CommercialBuildingOfficesOldLightingIncandescentStandard EfficiencyElectricity
TO,W,D,COMBDGEDSOldLIINC___STDELC_EX,0.9693971960046831,CommercialBuildingEducational ServicesOldLightingIncandescentStandard EfficiencyElectricity
TO,W,D,COMBDGHLCOldLIINC___STDELC_EX,0.9693971960046831,CommercialBuildingHealth Care and Social AssistanceOldLightingIncandescentStandard EfficiencyElectricity
TO,W,D,COMBDGAEROldLIINC___STDELC_EX,0.9693971960046831,"CommercialBuildingArts, Entertainment and RecreationOldLightingIncandescentStandard EfficiencyElectricity"
TO,W,D,COMBDGAFSOldLIINC___STDELC_EX,0.9693971960046831,CommercialBuildingAccommodation and Food ServicesOldLightingIncandescentStandard EfficiencyElectricity
TO,W,D,COMBDGOTSOldLIINC___STDELC_EX,0.9693971960046831,CommercialBuildingOther ServicesOldLightingIncandescentStandard EfficiencyElectricity
TO,W,D,COMBDGWSTOldLILED___STDELC_EX,0.9693971960046831,CommercialBuildingWholesale TradeOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,W,D,COMBDGRTTOldLILED___STDELC_EX,0.9693971960046831,CommercialBuildingRetail TradeOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,W,D,COMBDGTAWOldLILED___STDELC_EX,0.9693971960046831,CommercialBuildingTransportation and WarehousingOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,W,D,COMBDGICIOldLILED___STDELC_EX,0.9693971960046831,CommercialBuildingInformation and Cultural IndustriesOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,W,D,COMBDGOFFOldLILED___STDELC_EX,0.9693971960046831,CommercialBuildingOfficesOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,W,D,COMBDGEDSOldLILED___STDELC_EX,0.9693971960046831,CommercialBuildingEducational ServicesOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,W,D,COMBDGHLCOldLILED___STDELC_EX,0.9693971960046831,CommercialBuildingHealth Care and Social AssistanceOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,W,D,COMBDGAEROldLILED___STDELC_EX,0.9693971960046831,"CommercialBuildingArts, Entertainment and RecreationOldLightingLight Emitting DiodeStandard EfficiencyElectricity"
TO,W,D,COMBDGAFSOldLILED___STDELC_EX,0.9693971960046831,CommercialBuildingAccommodation and Food ServicesOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,W,D,COMBDGOTSOldLILED___STDELC_EX,0.9693971960046831,CommercialBuildingOther ServicesOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,W,D,COMBDGWSTOldSC______STDNGA_EX,0.40314300992546503,CommercialBuildingWholesale TradeOldSpace CoolingStandard EfficiencyNatural Gas
TO,W,D,COMBDGRTTOldSC______STDNGA_EX,0.40314300992546503,CommercialBuildingRetail TradeOldSpace CoolingStandard EfficiencyNatural Gas
TO,W,D,COMBDGTAWOldSC______STDNGA_EX,0.40314300992546503,CommercialBuildingTransportation and WarehousingOldSpace CoolingStandard EfficiencyNatural Gas
TO,W,D,COMBDGICIOldSC______STDNGA_EX,0.40314300992546503,CommercialBuildingInformation and Cultural IndustriesOldSpace CoolingStandard EfficiencyNatural Gas
TO,W,D,COMBDGOFFOldSC______STDNGA_EX,0.40314300992546503,CommercialBuildingOfficesOldSpace CoolingStandard EfficiencyNatural Gas
TO,W,D,COMBDGEDSOldSC______STDNGA_EX,0.40314300992546503,CommercialBuildingEducational ServicesOldSpace CoolingStandard EfficiencyNatural Gas
TO,W,D,COMBDGHLCOldSC______STDNGA_EX,0.40314300992546503,CommercialBuildingHealth Care and Social AssistanceOldSpace CoolingStandard EfficiencyNatural Gas
TO,W,D,COMBDGAEROldSC______STDNGA_EX,0.40314300992546503,"CommercialBuildingArts, Entertainment and RecreationOldSpace CoolingStandard EfficiencyNatural Gas"
TO,W,D,COMBDGAFSOldSC______STDNGA_EX,0.40314300992546503,CommercialBuildingAccommodation and Food ServicesOldSpace CoolingStandard EfficiencyNatural Gas
TO,W,D,COMBDGOTSOldSC______STDNGA_EX,0.40314300992546503,CommercialBuildingOther ServicesOldSpace CoolingStandard EfficiencyNatural Gas
TO,W,D,COMBDGWSTOldSC______STDELC_EX,0.40314300992546503,CommercialBuildingWholesale TradeOldSpace CoolingStandard EfficiencyElectricity
TO,W,D,COMBDGRTTOldSC______STDELC_EX,0.40314300992546503,CommercialBuildingRetail TradeOldSpace CoolingStandard EfficiencyElectricity
TO,W,D,COMBDGTAWOldSC______STDELC_EX,0.40314300992546503,CommercialBuildingTransportation and WarehousingOldSpace CoolingStandard EfficiencyElectricity
TO,W,D,COMBDGICIOldSC______STDELC_EX,0.40314300992546503,CommercialBuildingInformation and Cultural IndustriesOldSpace CoolingStandard EfficiencyElectricity
TO,W,D,COMBDGOFFOldSC______STDELC_EX,0.40314300992546503,CommercialBuildingOfficesOldSpace CoolingStandard EfficiencyElectricity
TO,W,D,COMBDGEDSOldSC______STDELC_EX,0.40314300992546503,CommercialBuildingEducational ServicesOldSpace CoolingStandard EfficiencyElectricity
TO,W,D,COMBDGHLCOldSC______STDELC_EX,0.40314300992546503,CommercialBuildingHealth Care and Social AssistanceOldSpace CoolingStandard EfficiencyElectricity
TO,W,D,COMBDGAEROldSC______STDELC_EX,0.40314300992546503,"CommercialBuildingArts, Entertainment and RecreationOldSpace CoolingStandard EfficiencyElectricity"
TO,W,D,COMBDGAFSOldSC______STDELC_EX,0.40314300992546503,CommercialBuildingAccommodation and Food ServicesOldSpace CoolingStandard EfficiencyElectricity
TO,W,D,COMBDGOTSOldSC______STDELC_EX,0.40314300992546503,CommercialBuildingOther ServicesOldSpace CoolingStandard EfficiencyElectricity
TO,W,D,COMBDGWSTOldSC_________DCO_EX,0.40314300992546503,CommercialBuildingWholesale TradeOldSpace CoolingDistrict Cooling
TO,W,D,COMBDGRTTOldSC_________DCO_EX,0.40314300992546503,CommercialBuildingRetail TradeOldSpace CoolingDistrict Cooling
TO,W,D,COMBDGTAWOldSC_________DCO_EX,0.40314300992546503,CommercialBuildingTransportation and WarehousingOldSpace CoolingDistrict Cooling
TO,W,D,COMBDGICIOldSC_________DCO_EX,0.40314300992546503,CommercialBuildingInformation and Cultural IndustriesOldSpace CoolingDistrict Cooling
TO,W,D,COMBDGOFFOldSC_________DCO_EX,0.40314300992546503,CommercialBuildingOfficesOldSpace CoolingDistrict Cooling
TO,W,D,COMBDGEDSOldSC_________DCO_EX,0.40314300992546503,CommercialBuildingEducational ServicesOldSpace CoolingDistrict Cooling
TO,W,D,COMBDGHLCOldSC_________DCO_EX,0.40314300992546503,CommercialBuildingHealth Care and Social AssistanceOldSpace CoolingDistrict Cooling
TO,W,D,COMBDGAEROldSC_________DCO_EX,0.40314300992546503,"CommercialBuildingArts, Entertainment and RecreationOldSpace CoolingDistrict Cooling"
TO,W,D,COMBDGAFSOldSC_________DCO_EX,0.40314300992546503,CommercialBuildingAccommodation and Food ServicesOldSpace CoolingDistrict Cooling
TO,W,D,COMBDGOTSOldSC_________DCO_EX,0.40314300992546503,CommercialBuildingOther ServicesOldSpace CoolingDistrict Cooling
TO,W,D,COMBDGWSTOldAM______STDELC_EX,1.0,CommercialBuildingWholesale TradeOldAuxiliary MotorsStandard EfficiencyElectricity
TO,W,D,COMBDGRTTOldAM______STDELC_EX,1.0,CommercialBuildingRetail TradeOldAuxiliary MotorsStandard EfficiencyElectricity
TO,W,D,COMBDGTAWOldAM______STDELC_EX,1.0,CommercialBuildingTransportation and WarehousingOldAuxiliary MotorsStandard EfficiencyElectricity
TO,W,D,COMBDGICIOldAM______STDELC_EX,1.0,CommercialBuildingInformation and Cultural IndustriesOldAuxiliary MotorsStandard EfficiencyElectricity
TO,W,D,COMBDGOFFOldAM______STDELC_EX,1.0,CommercialBuildingOfficesOldAuxiliary MotorsStandard EfficiencyElectricity
TO,W,D,COMBDGEDSOldAM______STDELC_EX,1.0,CommercialBuildingEducational ServicesOldAuxiliary MotorsStandard EfficiencyElectricity
TO,W,D,COMBDGHLCOldAM______STDELC_EX,1.0,CommercialBuildingHealth Care and Social AssistanceOldAuxiliary MotorsStandard EfficiencyElectricity
TO,W,D,COMBDGAEROldAM______STDELC_EX,1.0,"CommercialBuildingArts, Entertainment and RecreationOldAuxiliary MotorsStandard EfficiencyElectricity"
TO,W,D,COMBDGAFSOldAM______STDELC_EX,1.0,CommercialBuildingAccommodation and Food ServicesOldAuxiliary MotorsStandard EfficiencyElectricity
TO,W,D,COMBDGOTSOldAM______STDELC_EX,1.0,CommercialBuildingOther ServicesOldAuxiliary MotorsStandard EfficiencyElectricity
TO,W,D,COMBDGWSTOldAE______STDELC_EX,0.9748699689583341,CommercialBuildingWholesale TradeOldAuxiliary EquipmentStandard EfficiencyElectricity
TO,W,D,COMBDGRTTOldAE______STDELC_EX,0.9748699689583341,CommercialBuildingRetail TradeOldAuxiliary EquipmentStandard EfficiencyElectricity
