regions,tech,c2a,c2a_notes
TO,COMBDGWSTOldLILED___HIGELC_EX,1.0,CommercialBuildingWholesale TradeOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGRTTOldLILED___HIGELC_EX,1.0,CommercialBuildingRetail TradeOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGTAWOldLILED___HIGELC_EX,1.0,CommercialBuildingTransportation and WarehousingOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGICIOldLILED___HIGELC_EX,1.0,CommercialBuildingInformation and Cultural IndustriesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGOFFOldLILED___HIGELC_EX,1.0,CommercialBuildingOfficesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGEDSOldLILED___HIGELC_EX,1.0,CommercialBuildingEducational ServicesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGHLCOldLILED___HIGELC_EX,1.0,CommercialBuildingHealth Care and Social AssistanceOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGAEROldLILED___HIGELC_EX,1.0,"CommercialBuildingArts, Entertainment and RecreationOldLightingLight Emitting DiodeHigh EfficiencyElectricity"
TO,COMBDGAFSOldLILED___HIGELC_EX,1.0,CommercialBuildingAccommodation and Food ServicesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGOTSOldLILED___HIGELC_EX,1.0,CommercialBuildingOther ServicesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGWSTOldLIFLC___STDELC_EX,1.0,CommercialBuildingWholesale TradeOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGRTTOldLIFLC___STDELC_EX,1.0,CommercialBuildingRetail TradeOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGTAWOldLIFLC___STDELC_EX,1.0,CommercialBuildingTransportation and WarehousingOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGICIOldLIFLC___STDELC_EX,1.0,CommercialBuildingInformation and Cultural IndustriesOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGOFFOldLIFLC___STDELC_EX,1.0,CommercialBuildingOfficesOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGEDSOldLIFLC___STDELC_EX,1.0,CommercialBuildingEducational ServicesOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGHLCOldLIFLC___STDELC_EX,1.0,CommercialBuildingHealth Care and Social AssistanceOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGAEROldLIFLC___STDELC_EX,1.0,"CommercialBuildingArts, Entertainment and RecreationOldLightingFluocompactStandard EfficiencyElectricity"
TO,COMBDGAFSOldLIFLC___STDELC_EX,1.0,CommercialBuildingAccommodation and Food ServicesOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGOTSOldLIFLC___STDELC_EX,1.0,CommercialBuildingOther ServicesOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGWSTOldLIFLU___STDELC_EX,1.0,CommercialBuildingWholesale TradeOldLightingFluorescenteStandard EfficiencyElectricity
TO,COMBDGRTTOldLIFLU___STDELC_EX,1.0,CommercialBuildingRetail TradeOldLightingFluorescenteStandard EfficiencyElectricity
TO,COMBDGTAWOldLIFLU___STDELC_EX,1.0,CommercialBuildingTransportation and WarehousingOldLightingFluorescenteStandard EfficiencyElectricity
