regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,COMBDGELC,COMBDGWSTOldLILED___HIGELC_EX,2015,EUECOMBDGWSTOldLI,2.94901065449011,CommercialBuildingWholesale TradeOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGELC,COMBDGRTTOldLILED___HIGELC_EX,2015,EUECOMBDGRTTOldLI,2.94901065449011,CommercialBuildingRetail TradeOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGELC,COMBDGTAWOldLILED___HIGELC_EX,2015,EUECOMBDGTAWOldLI,2.94901065449011,CommercialBuildingTransportation and WarehousingOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGELC,COMBDGICIOldLILED___HIGELC_EX,2015,EUECOMBDGICIOldLI,2.94901065449011,CommercialBuildingInformation and Cultural IndustriesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGELC,COMBDGOFFOldLILED___HIGELC_EX,2015,EUECOMBDGOFFOldLI,2.94901065449011,CommercialBuildingOfficesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGELC,COMBDGEDSOldLILED___HIGELC_EX,2015,EUECOMBDGEDSOldLI,2.94901065449011,CommercialBuildingEducational ServicesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGELC,COMBDGHLCOldLILED___HIGELC_EX,2015,EUECOMBDGHLCOldLI,2.94901065449011,CommercialBuildingHealth Care and Social AssistanceOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGELC,COMBDGAEROldLILED___HIGELC_EX,2015,EUECOMBDGAEROldLI,2.94901065449011,"CommercialBuildingArts, Entertainment and RecreationOldLightingLight Emitting DiodeHigh EfficiencyElectricity"
TO,COMBDGELC,COMBDGAFSOldLILED___HIGELC_EX,2015,EUECOMBDGAFSOldLI,2.94901065449011,CommercialBuildingAccommodation and Food ServicesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGELC,COMBDGOTSOldLILED___HIGELC_EX,2015,EUECOMBDGOTSOldLI,2.94901065449011,CommercialBuildingOther ServicesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGELC,COMBDGWSTOldLIFLC___STDELC_EX,2015,EUECOMBDGWSTOldLI,2.1848046676813797,CommercialBuildingWholesale TradeOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGELC,COMBDGRTTOldLIFLC___STDELC_EX,2015,EUECOMBDGRTTOldLI,2.1848046676813797,CommercialBuildingRetail TradeOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGELC,COMBDGTAWOldLIFLC___STDELC_EX,2015,EUECOMBDGTAWOldLI,2.1848046676813797,CommercialBuildingTransportation and WarehousingOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGELC,COMBDGICIOldLIFLC___STDELC_EX,2015,EUECOMBDGICIOldLI,2.1848046676813797,CommercialBuildingInformation and Cultural IndustriesOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGELC,COMBDGOFFOldLIFLC___STDELC_EX,2015,EUECOMBDGOFFOldLI,2.1848046676813797,CommercialBuildingOfficesOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGELC,COMBDGEDSOldLIFLC___STDELC_EX,2015,EUECOMBDGEDSOldLI,2.1848046676813797,CommercialBuildingEducational ServicesOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGELC,COMBDGHLCOldLIFLC___STDELC_EX,2015,EUECOMBDGHLCOldLI,2.1848046676813797,CommercialBuildingHealth Care and Social AssistanceOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGELC,COMBDGAEROldLIFLC___STDELC_EX,2015,EUECOMBDGAEROldLI,2.1848046676813797,"CommercialBuildingArts, Entertainment and RecreationOldLightingFluocompactStandard EfficiencyElectricity"
TO,COMBDGELC,COMBDGAFSOldLIFLC___STDELC_EX,2015,EUECOMBDGAFSOldLI,2.1848046676813797,CommercialBuildingAccommodation and Food ServicesOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGELC,COMBDGOTSOldLIFLC___STDELC_EX,2015,EUECOMBDGOTSOldLI,2.1848046676813797,CommercialBuildingOther ServicesOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGELC,COMBDGWSTOldLIFLU___STDELC_EX,2015,EUECOMBDGWSTOldLI,2.2831050228310503,CommercialBuildingWholesale TradeOldLightingFluorescenteStandard EfficiencyElectricity
TO,COMBDGELC,COMBDGRTTOldLIFLU___STDELC_EX,2015,EUECOMBDGRTTOldLI,2.2831050228310503,CommercialBuildingRetail TradeOldLightingFluorescenteStandard EfficiencyElectricity
TO,COMBDGELC,COMBDGTAWOldLIFLU___STDELC_EX,2015,EUECOMBDGTAWOldLI,2.2831050228310503,CommercialBuildingTransportation and WarehousingOldLightingFluorescenteStandard EfficiencyElectricity
TO,COMBDGELC,COMBDGICIOldLIFLU___STDELC_EX,2015,EUECOMBDGICIOldLI,2.2831050228310503,CommercialBuildingInformation and Cultural IndustriesOldLightingFluorescenteStandard EfficiencyElectricity
TO,COMBDGELC,COMBDGOFFOldLIFLU___STDELC_EX,2015,EUECOMBDGOFFOldLI,2.2831050228310503,CommercialBuildingOfficesOldLightingFluorescenteStandard EfficiencyElectricity
TO,COMBDGELC,COMBDGEDSOldLIFLU___STDELC_EX,2015,EUECOMBDGEDSOldLI,2.2831050228310503,CommercialBuildingEducational ServicesOldLightingFluorescenteStandard EfficiencyElectricity
TO,COMBDGELC,COMBDGHLCOldLIFLU___STDELC_EX,2015,EUECOMBDGHLCOldLI,2.2831050228310503,CommercialBuildingHealth Care and Social AssistanceOldLightingFluorescenteStandard EfficiencyElectricity
TO,COMBDGELC,COMBDGAEROldLIFLU___STDELC_EX,2015,EUECOMBDGAEROldLI,2.2831050228310503,"CommercialBuildingArts, Entertainment and RecreationOldLightingFluorescenteStandard EfficiencyElectricity"
TO,COMBDGELC,COMBDGAFSOldLIFLU___STDELC_EX,2015,EUECOMBDGAFSOldLI,2.2831050228310503,CommercialBuildingAccommodation and Food ServicesOldLightingFluorescenteStandard EfficiencyElectricity
TO,COMBDGELC,COMBDGOTSOldLIFLU___STDELC_EX,2015,EUECOMBDGOTSOldLI,2.2831050228310503,CommercialBuildingOther ServicesOldLightingFluorescenteStandard EfficiencyElectricity
TO,COMBDGELC,COMBDGWSTOldLIHAL___STDELC_EX,2015,EUECOMBDGWSTOldLI,0.5517503805175037,CommercialBuildingWholesale TradeOldLightingHalogenStandard EfficiencyElectricity
TO,COMBDGELC,COMBDGRTTOldLIHAL___STDELC_EX,2015,EUECOMBDGRTTOldLI,0.5517503805175037,CommercialBuildingRetail TradeOldLightingHalogenStandard EfficiencyElectricity
TO,COMBDGELC,COMBDGTAWOldLIHAL___STDELC_EX,2015,EUECOMBDGTAWOldLI,0.5517503805175037,CommercialBuildingTransportation and WarehousingOldLightingHalogenStandard EfficiencyElectricity
