regions,tech,vintage,exist_cap,exist_cap_units,exist_cap_notes
TO,COMBDGWSTOldLILED___HIGELC_EX,2015,2.513415382286988,Mlma,CommercialBuildingWholesale TradeOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGRTTOldLILED___HIGELC_EX,2015,5.2451555220001325,Mlma,CommercialBuildingRetail TradeOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGTAWOldLILED___HIGELC_EX,2015,0.6430126289892429,Mlma,CommercialBuildingTransportation and WarehousingOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGICIOldLILED___HIGELC_EX,2015,0.18676933356373596,Mlma,CommercialBuildingInformation and Cultural IndustriesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGOFFOldLILED___HIGELC_EX,2015,13.382095357834507,Mlma,CommercialBuildingOfficesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGEDSOldLILED___HIGELC_EX,2015,3.5072687623020435,Mlma,CommercialBuildingEducational ServicesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGHLCOldLILED___HIGELC_EX,2015,2.2556884427275192,Mlma,CommercialBuildingHealth Care and Social AssistanceOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGAEROldLILED___HIGELC_EX,2015,1.1677060434940454,Mlma,"CommercialBuildingArts, Entertainment and RecreationOldLightingLight Emitting DiodeHigh EfficiencyElectricity"
TO,COMBDGAFSOldLILED___HIGELC_EX,2015,1.2855556804838497,Mlma,CommercialBuildingAccommodation and Food ServicesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGOTSOldLILED___HIGELC_EX,2015,1.2805419738013903,Mlma,CommercialBuildingOther ServicesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,COMBDGWSTOldLIFLC___STDELC_EX,2015,156.41551469380906,Mlma,CommercialBuildingWholesale TradeOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGRTTOldLIFLC___STDELC_EX,2015,326.4178720336356,Mlma,CommercialBuildingRetail TradeOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGTAWOldLIFLC___STDELC_EX,2015,40.016127866001725,Mlma,CommercialBuildingTransportation and WarehousingOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGICIOldLIFLC___STDELC_EX,2015,11.623077364876167,Mlma,CommercialBuildingInformation and Cultural IndustriesOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGOFFOldLIFLC___STDELC_EX,2015,832.7980117527244,Mlma,CommercialBuildingOfficesOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGEDSOldLIFLC___STDELC_EX,2015,218.26525471719788,Mlma,CommercialBuildingEducational ServicesOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGHLCOldLIFLC___STDELC_EX,2015,140.37658528096617,Mlma,CommercialBuildingHealth Care and Social AssistanceOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGAEROldLIFLC___STDELC_EX,2015,72.66898384221689,Mlma,"CommercialBuildingArts, Entertainment and RecreationOldLightingFluocompactStandard EfficiencyElectricity"
TO,COMBDGAFSOldLIFLC___STDELC_EX,2015,80.00303286417598,Mlma,CommercialBuildingAccommodation and Food ServicesOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGOTSOldLIFLC___STDELC_EX,2015,79.69101857605338,Mlma,CommercialBuildingOther ServicesOldLightingFluocompactStandard EfficiencyElectricity
TO,COMBDGWSTOldLIFLU___STDELC_EX,2015,572.0857721747444,Mlma,CommercialBuildingWholesale TradeOldLightingFluorescenteStandard EfficiencyElectricity
TO,COMBDGRTTOldLIFLU___STDELC_EX,2015,1193.8650762333264,Mlma,CommercialBuildingRetail TradeOldLightingFluorescenteStandard EfficiencyElectricity
TO,COMBDGTAWOldLIFLU___STDELC_EX,2015,146.35797129510067,Mlma,CommercialBuildingTransportation and WarehousingOldLightingFluorescenteStandard EfficiencyElectricity
TO,COMBDGICIOldLIFLU___STDELC_EX,2015,42.511110245991205,Mlma,CommercialBuildingInformation and Cultural IndustriesOldLightingFluorescenteStandard EfficiencyElectricity
TO,COMBDGOFFOldLIFLU___STDELC_EX,2015,3045.937575641315,Mlma,CommercialBuildingOfficesOldLightingFluorescenteStandard EfficiencyElectricity
TO,COMBDGEDSOldLIFLU___STDELC_EX,2015,798.299625380753,Mlma,CommercialBuildingEducational ServicesOldLightingFluorescenteStandard EfficiencyElectricity
TO,COMBDGHLCOldLIFLU___STDELC_EX,2015,513.4237952221115,Mlma,CommercialBuildingHealth Care and Social AssistanceOldLightingFluorescenteStandard EfficiencyElectricity
TO,COMBDGAEROldLIFLU___STDELC_EX,2015,265.78496267400084,Mlma,"CommercialBuildingArts, Entertainment and RecreationOldLightingFluorescenteStandard EfficiencyElectricity"
TO,COMBDGAFSOldLIFLU___STDELC_EX,2015,292.6090606933577,Mlma,CommercialBuildingAccommodation and Food ServicesOldLightingFluorescenteStandard EfficiencyElectricity
TO,COMBDGOTSOldLIFLU___STDELC_EX,2015,291.46787635944054,Mlma,CommercialBuildingOther ServicesOldLightingFluorescenteStandard EfficiencyElectricity
TO,COMBDGWSTOldLIHAL___STDELC_EX,2015,335.7598639073201,Mlma,CommercialBuildingWholesale TradeOldLightingHalogenStandard EfficiencyElectricity
TO,COMBDGRTTOldLIHAL___STDELC_EX,2015,700.6850983131307,Mlma,CommercialBuildingRetail TradeOldLightingHalogenStandard EfficiencyElectricity
TO,COMBDGTAWOldLIHAL___STDELC_EX,2015,85.89819029581501,Mlma,CommercialBuildingTransportation and WarehousingOldLightingHalogenStandard EfficiencyElectricity
TO,COMBDGICIOldLIHAL___STDELC_EX,2015,24.949973037230546,Mlma,CommercialBuildingInformation and Cultural IndustriesOldLightingHalogenStandard EfficiencyElectricity
TO,COMBDGOFFOldLIHAL___STDELC_EX,2015,1787.675267608533,Mlma,CommercialBuildingOfficesOldLightingHalogenStandard EfficiencyElectricity
TO,COMBDGEDSOldLIHAL___STDELC_EX,2015,468.52585156275126,Mlma,CommercialBuildingEducational ServicesOldLightingHalogenStandard EfficiencyElectricity
TO,COMBDGHLCOldLIHAL___STDELC_EX,2015,301.3308702910724,Mlma,CommercialBuildingHealth Care and Social AssistanceOldLightingHalogenStandard EfficiencyElectricity
