regions,tech,c2a,c2a_notes
TO,COMBDGWSTNewAM______STDELC_23,31.536,CommercialBuildingWholesale TradeNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,COMBDGWSTNewAE______STDBMA_23,31.536,CommercialBuildingWholesale TradeNewAuxiliary EquipmentStandard EfficiencyBiomass2023
TO,COMBDGWSTNewAE______STDELC_23,31.536,CommercialBuildingWholesale TradeNewAuxiliary EquipmentStandard EfficiencyElectricity2023
TO,COMBDGWSTNewAE______STDNGA_23,31.536,CommercialBuildingWholesale TradeNewAuxiliary EquipmentStandard EfficiencyNatural Gas2023
TO,COMBDGWSTNewAE______STDPRO_23,31.536,CommercialBuildingWholesale TradeNewAuxiliary EquipmentStandard EfficiencyPropane2023
TO,COMBDGWSTNewLILED___HIGELC_23,1,CommercialBuildingWholesale TradeNewLightingLight Emitting DiodeHigh EfficiencyElectricity2023
TO,COMBDGWSTNewLIFLC___HIGELC_23,1,CommercialBuildingWholesale TradeNewLightingFluocompactHigh EfficiencyElectricity2023
TO,COMBDGWSTNewLIFLC___STDELC_23,1,CommercialBuildingWholesale TradeNewLightingFluocompactStandard EfficiencyElectricity2023
TO,COMBDGWSTNewLIFLUT5HIGELC_23,1,CommercialBuildingWholesale TradeNewLightingFluorescenteT5High EfficiencyElectricity2023
TO,COMBDGWSTNewLIFLUT8HIGELC_23,1,CommercialBuildingWholesale TradeNewLightingFluorescenteT8High EfficiencyElectricity2023
TO,COMBDGWSTNewLIFLUT5STDELC_23,1,CommercialBuildingWholesale TradeNewLightingFluorescenteT5Standard EfficiencyElectricity2023
TO,COMBDGWSTNewLIFLUT8STDELC_23,1,CommercialBuildingWholesale TradeNewLightingFluorescenteT8Standard EfficiencyElectricity2023
TO,COMBDGWSTNewLIHAL100WSTDELC_23,1,CommercialBuildingWholesale TradeNewLightingHalogen100WStandard EfficiencyElectricity2023
TO,COMBDGWSTNewLIINC100WSTDELC_23,1,CommercialBuildingWholesale TradeNewLightingIncandescent100WStandard EfficiencyElectricity2023
TO,COMBDGWSTNewLILED___ESRELC_23,1,CommercialBuildingWholesale TradeNewLightingLight Emitting DiodeEnergy StarElectricity2023
TO,COMBDGWSTNewLILED___STDELC_23,1,CommercialBuildingWholesale TradeNewLightingLight Emitting DiodeStandard EfficiencyElectricity2023
TO,COMBDGWSTNewSCCE___HIGELC_23,31.536,CommercialBuildingWholesale TradeNewSpace CoolingCentralHigh EfficiencyElectricity2023
TO,COMBDGWSTNewSCCE___ESRELC_23,31.536,CommercialBuildingWholesale TradeNewSpace CoolingCentralEnergy StarElectricity2023
TO,COMBDGWSTNewSCCE___STDELC_23,31.536,CommercialBuildingWholesale TradeNewSpace CoolingCentralStandard EfficiencyElectricity2023
TO,COMBDGWSTNewSCWA___HIGELC_23,31.536,CommercialBuildingWholesale TradeNewSpace CoolingWallHigh EfficiencyElectricity2023
