regions,tech,growthrate_max,growthrate_max_notes
TO,COMBDGICINewAM______STDELC_23,1.2,
TO,COMBDGICINewAE______STDBMA_23,1.2,
TO,COMBDGICINewAE______STDELC_23,1.2,
TO,COMBDGICINewAE______STDNGA_23,1.2,
TO,COMBDGICINewAE______STDPRO_23,1.2,
TO,COMBDGICINewLILED___HIGELC_23,1.2,
TO,COMBDGICINewLIFLC___HIGELC_23,1.2,
TO,COMBDGICINewLIFLC___STDELC_23,1.2,
TO,COMBDGICINewLIFLUT5HIGELC_23,1.2,
TO,COMBDGICINewLIFLUT8HIGELC_23,1.2,
TO,COMBDGICINewLIFLUT5STDELC_23,1.2,
TO,COMBDGICINewLIFLUT8STDELC_23,1.2,
TO,COMBDGICINewLIHAL100WSTDELC_23,1.2,
TO,COMBDGICINewLIINC100WSTDELC_23,1.2,
TO,COMBDGICINewLILED___ESRELC_23,1.2,
TO,COMBDGICINewLILED___STDELC_23,1.2,
TO,COMBDGICINewSCCE___HIGELC_23,1.2,
TO,COMBDGICINewSCCE___ESRELC_23,1.2,
TO,COMBDGICINewSCCE___STDELC_23,1.2,
TO,COMBDGICINewSCWA___HIGELC_23,1.2,
TO,COMBDGICINewSCWA___ESRELC_23,1.2,
TO,COMBDGICINewSCWA___STDELC_23,1.2,
TO,COMBDGICINewSCWD___HIGELC_23,1.2,
TO,COMBDGICINewSCWD___ESRELC_23,1.2,
TO,COMBDGICINewSCWD___STDELC_23,1.2,
TO,COMBDGICINewSCCE___HIGNGA_23,1.2,
TO,COMBDGICINewSCCE___ESRNGA_23,1.2,
TO,COMBDGICINewSCCE___STDNGA_23,1.2,
TO,COMBDGICINewSHFUR___STDELC_23,1.2,
TO,COMBDGICINewSHHEP___HIGGEO_23,1.2,
TO,COMBDGICINewSHHEP___ESRGEO_23,1.2,
TO,COMBDGICINewSHHEP___STDGEO_23,1.2,
TO,COMBDGICINewSHHEP___HIGELC_23,1.2,
TO,COMBDGICINewSHHEP___ESRELC_23,1.2,
TO,COMBDGICINewSHHEP___STDELC_23,1.2,
TO,COMBDGICINewSHPLT500WSTDELC_23,1.2,
TO,COMBDGICINewSHPLT1000WSTDELC_23,1.2,
TO,COMBDGICINewSHPLT1500WSTDELC_23,1.2,
TO,COMBDGICINewSHFUR___HIGHFO_23,1.2,
TO,COMBDGICINewSHFUR___STDHFO_23,1.2,
TO,COMBDGICINewSHFURSMASTDHH2_23,1.2,
TO,COMBDGICINewSHFURMEDSTDHH2_23,1.2,
TO,COMBDGICINewSHFURLARSTDHH2_23,1.2,
TO,COMBDGICINewSHFUR___STDKER_23,1.2,
TO,COMBDGICINewSHFUR___HIGLFO_23,1.2,
TO,COMBDGICINewSHFUR___STDLFO_23,1.2,
TO,COMBDGICINewSHFUR___HIGNGA_23,1.2,
TO,COMBDGICINewSHFUR___ESRNGA_23,1.2,
TO,COMBDGICINewSHFUR___STDNGA_23,1.2,
TO,COMBDGICINewSHHEP___STDNGA_23,1.2,
TO,COMBDGICINewSHFUR___HIGPRO_23,1.2,
TO,COMBDGICINewSHFUR___ESRPRO_23,1.2,
TO,COMBDGICINewSHFUR___STDPRO_23,1.2,
TO,COMBDGICINewSHZTM___STDETHOS_23,0,
TO,COMBDGICINewSHZTM___MEDETHOS_23,0,
TO,COMBDGICINewSHZTM___HIGETHOS_23,0,
TO,COMBDGICINewWHSYS___STDBMA_23,1.2,
TO,COMBDGICINewWHHEP___HIGELC_23,1.2,
TO,COMBDGICINewWHHEP___ESRELC_23,1.2,
TO,COMBDGICINewWHHEP___STDELC_23,1.2,
TO,COMBDGICINewWHWTK___HIGELC_23,1.2,
TO,COMBDGICINewWHWTK___STDELC_23,1.2,
TO,COMBDGICINewWHSYS___STDHFO_23,1.2,
TO,COMBDGICINewWHSYS___STDKER_23,1.2,
TO,COMBDGICINewWHSYS___STDLFO_23,1.2,
TO,COMBDGICINewWHWTK___HIGNGA_23,1.2,
TO,COMBDGICINewWHWTK___ESRNGA_23,1.2,
TO,COMBDGICINewWHWTK___STDNGA_23,1.2,
TO,COMBDGICINewWHSYS___STDBWP_23,1.2,
TO,COMBDGICINewWHSYS___ESRPRO_23,1.2,
TO,COMBDGICINewWHSTHBCKSTDELC_23,1.2,
TO,COMBDGICINewWHSTHBCKSTDNGA_23,1.2,
TO,COMBDGICINewSLLED___HIGELC_23,1.2,
TO,COMBDGOFFOldSHZTM___STDETHOS_23,0,
TO,COMBDGOFFOldSHZTM___MEDETHOS_23,0,
TO,COMBDGOFFOldSHZTM___HIGETHOS_23,0,
TO,COMBDGEDSOldSHZTM___STDETHOS_23,0,
TO,COMBDGRTTOldSHZTM___STDETHOS_23,0,
TO,COMBDGEDSOldSHZTM___MEDETHOS_23,0,
TO,COMBDGEDSOldSHZTM___HIGETHOS_23,0,
TO,COMBDGRTTOldSHZTM___MEDETHOS_23,0,
TO,COMBDGRTTOldSHZTM___HIGETHOS_23,0,
TO,COMBDGHLCOldSHZTM___STDETHOS_23,0,
TO,COMBDGWSTOldSHZTM___STDETHOS_23,0,
