regions,tech,growthrate_seed,growthrate_seed_units,growthrate_seed_notes
TO,COMBDGICINewAM______STDELC_23,0,,
TO,COMBDGICINewAE______STDBMA_23,0,,
TO,COMBDGICINewAE______STDELC_23,0,,
TO,COMBDGICINewAE______STDNGA_23,0,,
TO,COMBDGICINewAE______STDPRO_23,0,,
TO,COMBDGICINewLILED___HIGELC_23,0,,
TO,COMBDGICINewLIFLC___HIGELC_23,0,,
TO,COMBDGICINewLIFLC___STDELC_23,0,,
TO,COMBDGICINewLIFLUT5HIGELC_23,0,,
TO,COMBDGICINewLIFLUT8HIGELC_23,0,,
TO,COMBDGICINewLIFLUT5STDELC_23,0,,
TO,COMBDGICINewLIFLUT8STDELC_23,0,,
TO,COMBDGICINewLIHAL100WSTDELC_23,0,,
TO,COMBDGICINewLIINC100WSTDELC_23,0,,
TO,COMBDGICINewLILED___ESRELC_23,0,,
TO,COMBDGICINewLILED___STDELC_23,0,,
TO,COMBDGICINewSCCE___HIGELC_23,0,,
TO,COMBDGICINewSCCE___ESRELC_23,0,,
TO,COMBDGICINewSCCE___STDELC_23,0,,
TO,COMBDGICINewSCWA___HIGELC_23,0,,
TO,COMBDGICINewSCWA___ESRELC_23,0,,
TO,COMBDGICINewSCWA___STDELC_23,0,,
TO,COMBDGICINewSCWD___HIGELC_23,0,,
TO,COMBDGICINewSCWD___ESRELC_23,0,,
TO,COMBDGICINewSCWD___STDELC_23,0,,
TO,COMBDGICINewSCCE___HIGNGA_23,0,,
TO,COMBDGICINewSCCE___ESRNGA_23,0,,
TO,COMBDGICINewSCCE___STDNGA_23,0,,
TO,COMBDGICINewSHFUR___STDELC_23,0,,
TO,COMBDGICINewSHHEP___HIGGEO_23,0,,
TO,COMBDGICINewSHHEP___ESRGEO_23,0,,
TO,COMBDGICINewSHHEP___STDGEO_23,0,,
TO,COMBDGICINewSHHEP___HIGELC_23,0,,
TO,COMBDGICINewSHHEP___ESRELC_23,0,,
TO,COMBDGICINewSHHEP___STDELC_23,0,,
TO,COMBDGICINewSHPLT500WSTDELC_23,0,,
TO,COMBDGICINewSHPLT1000WSTDELC_23,0,,
TO,COMBDGICINewSHPLT1500WSTDELC_23,0,,
TO,COMBDGICINewSHFUR___HIGHFO_23,0,,
TO,COMBDGICINewSHFUR___STDHFO_23,0,,
TO,COMBDGICINewSHFURSMASTDHH2_23,0,,
TO,COMBDGICINewSHFURMEDSTDHH2_23,0,,
TO,COMBDGICINewSHFURLARSTDHH2_23,0,,
TO,COMBDGICINewSHFUR___STDKER_23,0,,
TO,COMBDGICINewSHFUR___HIGLFO_23,0,,
TO,COMBDGICINewSHFUR___STDLFO_23,0,,
TO,COMBDGICINewSHFUR___HIGNGA_23,0,,
