regions,periods,tech,maxcap,maxcap_units,maxcap_notes
TO,2016,COMBDGAERNewAE______STDNGA_16,0.000935385,,
TO,2016,COMBDGAERNewSC______STDNGA_16,0.001136419,,
TO,2016,COMBDGAERNewSHFUR___HIGNGA_16,0.001460872,,
TO,2016,COMBDGAERNewSHFUR___STDNGA_16,0.001457582,,
TO,2016,COMBDGAERNewWH______STDNGA_16,0.000664163,,
TO,2016,COMBDGAEROldAE______STDNGA_16,0.013480301,,
TO,2016,COMBDGAEROldSC______STDNGA_16,0.017231298,,
TO,2016,COMBDGAEROldSHFUR___HIGNGA_16,0.034119961,,
TO,2016,COMBDGAEROldSHFUR___STDNGA_16,5.248206631,,
TO,2016,COMBDGAEROldWH______STDNGA_16,0.12930692,,
TO,2016,COMBDGAFSNewAE______STDNGA_16,0.000869155,,
TO,2016,COMBDGAFSNewSC______STDNGA_16,0.001024632,,
TO,2016,COMBDGAFSNewSHFUR___HIGNGA_16,0.001324284,,
TO,2016,COMBDGAFSNewSHFUR___STDNGA_16,0.001319038,,
TO,2016,COMBDGAFSNewWH______STDNGA_16,0.000600718,,
TO,2016,COMBDGAFSOldAE______STDNGA_16,0.018137897,,
TO,2016,COMBDGAFSOldSC______STDNGA_16,0.017440665,,
TO,2016,COMBDGAFSOldSHFUR___HIGNGA_16,0.033958525,,
TO,2016,COMBDGAFSOldSHFUR___STDNGA_16,5.646957398,,
TO,2016,COMBDGAFSOldWH______STDNGA_16,0.165022221,,
TO,2016,COMBDGEDSNewAE______STDNGA_16,0.001019599,,
TO,2016,COMBDGEDSNewSC______STDNGA_16,0.001303735,,
TO,2016,COMBDGEDSNewSHFUR___HIGNGA_16,0.001643694,,
TO,2016,COMBDGEDSNewSHFUR___STDNGA_16,0.001642613,,
TO,2016,COMBDGEDSNewWH______STDNGA_16,0.000876813,,
TO,2016,COMBDGEDSOldAE______STDNGA_16,0.018727244,,
TO,2016,COMBDGEDSOldSC______STDNGA_16,0.023036277,,
TO,2016,COMBDGEDSOldSHFUR___HIGNGA_16,0.037055947,,
TO,2016,COMBDGEDSOldSHFUR___STDNGA_16,17.11573059,,
TO,2016,COMBDGEDSOldWH______STDNGA_16,0.326462386,,
TO,2016,COMBDGHLCNewAE______STDNGA_16,0.001022803,,
TO,2016,COMBDGHLCNewSC______STDNGA_16,0.00130186,,
TO,2016,COMBDGHLCNewSHFUR___HIGNGA_16,0.001643954,,
TO,2016,COMBDGHLCNewSHFUR___STDNGA_16,0.00164288,,
TO,2016,COMBDGHLCNewWH______STDNGA_16,0.000922955,,
TO,2016,COMBDGHLCOldAE______STDNGA_16,0.02634774,,
TO,2016,COMBDGHLCOldSC______STDNGA_16,0.022147347,,
TO,2016,COMBDGHLCOldSHFUR___HIGNGA_16,0.034009125,,
TO,2016,COMBDGHLCOldSHFUR___STDNGA_16,9.179996008,,
TO,2016,COMBDGHLCOldWH______STDNGA_16,0.338456891,,
TO,2016,COMBDGICINewAE______STDNGA_16,0,,
TO,2016,COMBDGICINewSC______STDNGA_16,0,,
TO,2016,COMBDGICINewSHFUR___HIGNGA_16,0,,
TO,2016,COMBDGICINewSHFUR___STDNGA_16,0,,
TO,2016,COMBDGICINewWH______STDNGA_16,0,,
TO,2016,COMBDGICIOldAE______STDNGA_16,0.00767332,,
TO,2016,COMBDGICIOldSC______STDNGA_16,0.009110345,,
TO,2016,COMBDGICIOldSHFUR___HIGNGA_16,0.016485824,,
TO,2016,COMBDGICIOldSHFUR___STDNGA_16,0.761779688,,
TO,2016,COMBDGICIOldWH______STDNGA_16,0.042632589,,
TO,2016,COMBDGOFFNewAE______STDNGA_16,0.001025946,,
TO,2016,COMBDGOFFNewSC______STDNGA_16,0.001340594,,
TO,2016,COMBDGOFFNewSHFUR___HIGNGA_16,0.001687747,,
TO,2016,COMBDGOFFNewSHFUR___STDNGA_16,0.001687373,,
TO,2016,COMBDGOFFNewWH______STDNGA_16,0.000902116,,
TO,2016,COMBDGOFFOldAE______STDNGA_16,0.040148101,,
TO,2016,COMBDGOFFOldSC______STDNGA_16,0.030857729,,
TO,2016,COMBDGOFFOldSHFUR___HIGNGA_16,0.044106052,,
TO,2016,COMBDGOFFOldSHFUR___STDNGA_16,65.02490785,,
TO,2016,COMBDGOFFOldWH______STDNGA_16,0.474507548,,
TO,2016,COMBDGOTSNewAE______STDNGA_16,0.00100227,,
TO,2016,COMBDGOTSNewSC______STDNGA_16,0.001263015,,
TO,2016,COMBDGOTSNewSHFUR___HIGNGA_16,0.001606397,,
TO,2016,COMBDGOTSNewSHFUR___STDNGA_16,0.001604869,,
TO,2016,COMBDGOTSNewWH______STDNGA_16,0.000820875,,
TO,2016,COMBDGOTSOldAE______STDNGA_16,0.014370062,,
TO,2016,COMBDGOTSOldSC______STDNGA_16,0.019728409,,
TO,2016,COMBDGOTSOldSHFUR___HIGNGA_16,0.03374258,,
TO,2016,COMBDGOTSOldSHFUR___STDNGA_16,6.73643433,,
TO,2016,COMBDGOTSOldWH______STDNGA_16,0.182925558,,
TO,2016,COMBDGRTTNewAE______STDNGA_16,0.001020274,,
TO,2016,COMBDGRTTNewSC______STDNGA_16,0.001330771,,
TO,2016,COMBDGRTTNewSHFUR___HIGNGA_16,0.001673255,,
TO,2016,COMBDGRTTNewSHFUR___STDNGA_16,0.001672608,,
TO,2016,COMBDGRTTNewWH______STDNGA_16,0.000934161,,
TO,2016,COMBDGRTTOldAE______STDNGA_16,0.018334158,,
TO,2016,COMBDGRTTOldSC______STDNGA_16,0.026631601,,
TO,2016,COMBDGRTTOldSHFUR___HIGNGA_16,0.038514266,,
TO,2016,COMBDGRTTOldSHFUR___STDNGA_16,23.53125921,,
TO,2016,COMBDGRTTOldWH______STDNGA_16,0.431124756,,
TO,2016,COMBDGTAWNewAE______STDNGA_16,0.00095932,,
TO,2016,COMBDGTAWNewSC______STDNGA_16,0.001189967,,
TO,2016,COMBDGTAWNewSHFUR___HIGNGA_16,0.001595658,,
TO,2016,COMBDGTAWNewSHFUR___STDNGA_16,0.001594099,,
TO,2016,COMBDGTAWNewWH______STDNGA_16,0.000647749,,
TO,2016,COMBDGTAWOldAE______STDNGA_16,0.01096627,,
TO,2016,COMBDGTAWOldSC______STDNGA_16,0.014173974,,
TO,2016,COMBDGTAWOldSHFUR___HIGNGA_16,0.031598868,,
TO,2016,COMBDGTAWOldSHFUR___STDNGA_16,3.981800719,,
TO,2016,COMBDGTAWOldWH______STDNGA_16,0.061428475,,
TO,2016,COMBDGWSTNewAE______STDNGA_16,0.00095009,,
TO,2016,COMBDGWSTNewSC______STDNGA_16,0.001196901,,
TO,2016,COMBDGWSTNewSHFUR___HIGNGA_16,0.001524191,,
TO,2016,COMBDGWSTNewSHFUR___STDNGA_16,0.001521782,,
TO,2016,COMBDGWSTNewWH______STDNGA_16,0.000689987,,
TO,2016,COMBDGWSTOldAE______STDNGA_16,0.019140908,,
TO,2016,COMBDGWSTOldSC______STDNGA_16,0.141034777,,
