regions,periods,tech,minact,minact_units,minact_notes
TO,2016,COMBDGAERNewAE______STDNGA_16,0.0000000,,
TO,2016,COMBDGAERNewSC______STDNGA_16,0.0000000,,
TO,2016,COMBDGAERNewSHFUR___HIGNGA_16,0.0000000,,
TO,2016,COMBDGAERNewSHFUR___STDNGA_16,0.0000000,,
TO,2016,COMBDGAERNewWH______STDNGA_16,0.0000000,,
TO,2016,COMBDGAEROldAE______STDNGA_16,0.0033303,,
TO,2016,COMBDGAEROldSC______STDNGA_16,0.0032615,,
TO,2016,COMBDGAEROldSHFUR___HIGNGA_16,0.0000000,,
TO,2016,COMBDGAEROldSHFUR___STDNGA_16,46.5123204,,
TO,2016,COMBDGAEROldWH______STDNGA_16,2.1107920,,
TO,2016,COMBDGAFSNewAE______STDNGA_16,0.0000000,,
TO,2016,COMBDGAFSNewSC______STDNGA_16,0.0000000,,
TO,2016,COMBDGAFSNewSHFUR___HIGNGA_16,0.0000000,,
TO,2016,COMBDGAFSNewSHFUR___STDNGA_16,0.0000000,,
TO,2016,COMBDGAFSNewWH______STDNGA_16,0.0000000,,
TO,2016,COMBDGAFSOldAE______STDNGA_16,0.0110251,,
TO,2016,COMBDGAFSOldSC______STDNGA_16,0.0032679,,
TO,2016,COMBDGAFSOldSHFUR___HIGNGA_16,0.0000000,,
TO,2016,COMBDGAFSOldSHFUR___STDNGA_16,50.2034845,,
TO,2016,COMBDGAFSOldWH______STDNGA_16,2.7957781,,
TO,2016,COMBDGEDSNewAE______STDNGA_16,0.0000000,,
TO,2016,COMBDGEDSNewSC______STDNGA_16,0.0000000,,
TO,2016,COMBDGEDSNewSHFUR___HIGNGA_16,0.0000000,,
TO,2016,COMBDGEDSNewSHFUR___STDNGA_16,0.0000000,,
TO,2016,COMBDGEDSNewWH______STDNGA_16,0.0000000,,
TO,2016,COMBDGEDSOldAE______STDNGA_16,0.0039229,,
TO,2016,COMBDGEDSOldSC______STDNGA_16,0.0038232,,
TO,2016,COMBDGEDSOldSHFUR___HIGNGA_16,0.0000000,,
TO,2016,COMBDGEDSOldSHFUR___STDNGA_16,139.5892681,,
TO,2016,COMBDGEDSOldWH______STDNGA_16,5.9967475,,
TO,2016,COMBDGHLCNewAE______STDNGA_16,0.0000000,,
TO,2016,COMBDGHLCNewSC______STDNGA_16,0.0000000,,
TO,2016,COMBDGHLCNewSHFUR___HIGNGA_16,0.0000000,,
TO,2016,COMBDGHLCNewSHFUR___STDNGA_16,0.0000000,,
TO,2016,COMBDGHLCNewWH______STDNGA_16,0.0000000,,
TO,2016,COMBDGHLCOldAE______STDNGA_16,0.0136092,,
TO,2016,COMBDGHLCOldSC______STDNGA_16,0.0039113,,
TO,2016,COMBDGHLCOldSHFUR___HIGNGA_16,0.0000000,,
TO,2016,COMBDGHLCOldSHFUR___STDNGA_16,76.5917053,,
TO,2016,COMBDGHLCOldWH______STDNGA_16,6.2337600,,
TO,2016,COMBDGICINewAE______STDNGA_16,0.0000000,,
TO,2016,COMBDGICINewSC______STDNGA_16,0.0000000,,
TO,2016,COMBDGICINewSHFUR___HIGNGA_16,0.0000000,,
TO,2016,COMBDGICINewSHFUR___STDNGA_16,0.0000000,,
TO,2016,COMBDGICINewWH______STDNGA_16,0.0000000,,
TO,2016,COMBDGICIOldAE______STDNGA_16,0.0019933,,
TO,2016,COMBDGICIOldSC______STDNGA_16,0.0014440,,
TO,2016,COMBDGICIOldSHFUR___HIGNGA_16,0.0000000,,
TO,2016,COMBDGICIOldSHFUR___STDNGA_16,7.0073877,,
TO,2016,COMBDGICIOldWH______STDNGA_16,0.2790612,,
TO,2016,COMBDGOFFNewAE______STDNGA_16,0.0000000,,
TO,2016,COMBDGOFFNewSC______STDNGA_16,0.0000000,,
