regions,periods,tech,output_comm,to_split,to_split_notes
TO,2016,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2017,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2018,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2019,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2020,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2021,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2022,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2023,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2024,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2025,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2026,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2027,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2028,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2029,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2030,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2031,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2032,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2033,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2034,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2035,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2036,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2037,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2038,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2039,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2040,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2041,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2042,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2043,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2044,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2045,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2046,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2047,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2048,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2049,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2050,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSC,0.1,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2016,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSH,0.5,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2017,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSH,0.5,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2018,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSH,0.5,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2019,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSH,0.5,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2020,COMBDGWSTNewSHHEP___HIGELC_23,EUECOMBDGWSTNewSH,0.5,CommercialBuildingWholesale TradeNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
