comm_name,flag,comm_desc
SEECOMBDGWSTNewSHHEP___HIGGEOM,p,SecondaryEnergyMix for COMBDGWSTNewSHHEP___HIGGEO
SEECOMBDGWSTNewSHHEP___ESRGEOM,p,SecondaryEnergyMix for COMBDGWSTNewSHHEP___ESRGEO
SEECOMBDGWSTNewSHHEP___STDGEOM,p,SecondaryEnergyMix for COMBDGWSTNewSHHEP___STDGEO
SEECOMBDGRTTNewSHHEP___HIGGEOM,p,SecondaryEnergyMix for COMBDGRTTNewSHHEP___HIGGEO
SEECOMBDGRTTNewSHHEP___ESRGEOM,p,SecondaryEnergyMix for COMBDGRTTNewSHHEP___ESRGEO
SEECOMBDGRTTNewSHHEP___STDGEOM,p,SecondaryEnergyMix for COMBDGRTTNewSHHEP___STDGEO
SEECOMBDGTAWNewSHHEP___HIGGEOM,p,SecondaryEnergyMix for COMBDGTAWNewSHHEP___HIGGEO
SEECOMBDGTAWNewSHHEP___ESRGEOM,p,SecondaryEnergyMix for COMBDGTAWNewSHHEP___ESRGEO
SEECOMBDGTAWNewSHHEP___STDGEOM,p,SecondaryEnergyMix for COMBDGTAWNewSHHEP___STDGEO
SEECOMBDGICINewSHHEP___HIGGEOM,p,SecondaryEnergyMix for COMBDGICINewSHHEP___HIGGEO
SEECOMBDGICINewSHHEP___ESRGEOM,p,SecondaryEnergyMix for COMBDGICINewSHHEP___ESRGEO
SEECOMBDGICINewSHHEP___STDGEOM,p,SecondaryEnergyMix for COMBDGICINewSHHEP___STDGEO
SEECOMBDGOFFNewSHHEP___HIGGEOM,p,SecondaryEnergyMix for COMBDGOFFNewSHHEP___HIGGEO
SEECOMBDGOFFNewSHHEP___ESRGEOM,p,SecondaryEnergyMix for COMBDGOFFNewSHHEP___ESRGEO
SEECOMBDGOFFNewSHHEP___STDGEOM,p,SecondaryEnergyMix for COMBDGOFFNewSHHEP___STDGEO
SEECOMBDGEDSNewSHHEP___HIGGEOM,p,SecondaryEnergyMix for COMBDGEDSNewSHHEP___HIGGEO
SEECOMBDGEDSNewSHHEP___ESRGEOM,p,SecondaryEnergyMix for COMBDGEDSNewSHHEP___ESRGEO
SEECOMBDGEDSNewSHHEP___STDGEOM,p,SecondaryEnergyMix for COMBDGEDSNewSHHEP___STDGEO
SEECOMBDGHLCNewSHHEP___HIGGEOM,p,SecondaryEnergyMix for COMBDGHLCNewSHHEP___HIGGEO
SEECOMBDGHLCNewSHHEP___ESRGEOM,p,SecondaryEnergyMix for COMBDGHLCNewSHHEP___ESRGEO
SEECOMBDGHLCNewSHHEP___STDGEOM,p,SecondaryEnergyMix for COMBDGHLCNewSHHEP___STDGEO
SEECOMBDGAERNewSHHEP___HIGGEOM,p,SecondaryEnergyMix for COMBDGAERNewSHHEP___HIGGEO
SEECOMBDGAERNewSHHEP___ESRGEOM,p,SecondaryEnergyMix for COMBDGAERNewSHHEP___ESRGEO
SEECOMBDGAERNewSHHEP___STDGEOM,p,SecondaryEnergyMix for COMBDGAERNewSHHEP___STDGEO
SEECOMBDGAFSNewSHHEP___HIGGEOM,p,SecondaryEnergyMix for COMBDGAFSNewSHHEP___HIGGEO
SEECOMBDGAFSNewSHHEP___ESRGEOM,p,SecondaryEnergyMix for COMBDGAFSNewSHHEP___ESRGEO
SEECOMBDGAFSNewSHHEP___STDGEOM,p,SecondaryEnergyMix for COMBDGAFSNewSHHEP___STDGEO
SEECOMBDGOTSNewSHHEP___HIGGEOM,p,SecondaryEnergyMix for COMBDGOTSNewSHHEP___HIGGEO
SEECOMBDGOTSNewSHHEP___ESRGEOM,p,SecondaryEnergyMix for COMBDGOTSNewSHHEP___ESRGEO
SEECOMBDGOTSNewSHHEP___STDGEOM,p,SecondaryEnergyMix for COMBDGOTSNewSHHEP___STDGEO
SEECOMBDGWSTOldSHHEP___HIGGEOM,p,SecondaryEnergyMix for COMBDGWSTOldSHHEP___HIGGEO
SEECOMBDGWSTOldSHHEP___ESRGEOM,p,SecondaryEnergyMix for COMBDGWSTOldSHHEP___ESRGEO
SEECOMBDGWSTOldSHHEP___STDGEOM,p,SecondaryEnergyMix for COMBDGWSTOldSHHEP___STDGEO
SEECOMBDGRTTOldSHHEP___HIGGEOM,p,SecondaryEnergyMix for COMBDGRTTOldSHHEP___HIGGEO
SEECOMBDGRTTOldSHHEP___ESRGEOM,p,SecondaryEnergyMix for COMBDGRTTOldSHHEP___ESRGEO
