regions,tech,c2a,c2a_notes
TO,COMBDGWSTNewLI,1,CommercialBuildingWholesale TradeNewLighting
TO,COMBDGRTTNewLI,1,CommercialBuildingRetail TradeNewLighting
TO,COMBDGTAWNewLI,1,CommercialBuildingTransportation and WarehousingNewLighting
TO,COMBDGICINewLI,1,CommercialBuildingInformation and Cultural IndustriesNewLighting
TO,COMBDGOFFNewLI,1,CommercialBuildingOfficesNewLighting
TO,COMBDGEDSNewLI,1,CommercialBuildingEducational ServicesNewLighting
TO,COMBDGHLCNewLI,1,CommercialBuildingHealth Care and Social AssistanceNewLighting
TO,COMBDGAERNewLI,1,"CommercialBuildingArts, Entertainment and RecreationNewLighting"
TO,COMBDGAFSNewLI,1,CommercialBuildingAccommodation and Food ServicesNewLighting
TO,COMBDGOTSNewLI,1,CommercialBuildingOther ServicesNewLighting
TO,COMBDGWSTNewSC,1,CommercialBuildingWholesale TradeNewSpace Cooling
TO,COMBDGRTTNewSC,1,CommercialBuildingRetail TradeNewSpace Cooling
TO,COMBDGTAWNewSC,1,CommercialBuildingTransportation and WarehousingNewSpace Cooling
TO,COMBDGICINewSC,1,CommercialBuildingInformation and Cultural IndustriesNewSpace Cooling
TO,COMBDGOFFNewSC,1,CommercialBuildingOfficesNewSpace Cooling
TO,COMBDGEDSNewSC,1,CommercialBuildingEducational ServicesNewSpace Cooling
TO,COMBDGHLCNewSC,1,CommercialBuildingHealth Care and Social AssistanceNewSpace Cooling
TO,COMBDGAERNewSC,1,"CommercialBuildingArts, Entertainment and RecreationNewSpace Cooling"
TO,COMBDGAFSNewSC,1,CommercialBuildingAccommodation and Food ServicesNewSpace Cooling
TO,COMBDGOTSNewSC,1,CommercialBuildingOther ServicesNewSpace Cooling
TO,COMBDGWSTNewAM,1,CommercialBuildingWholesale TradeNewAuxiliary Motors
TO,COMBDGRTTNewAM,1,CommercialBuildingRetail TradeNewAuxiliary Motors
TO,COMBDGTAWNewAM,1,CommercialBuildingTransportation and WarehousingNewAuxiliary Motors
TO,COMBDGICINewAM,1,CommercialBuildingInformation and Cultural IndustriesNewAuxiliary Motors
TO,COMBDGOFFNewAM,1,CommercialBuildingOfficesNewAuxiliary Motors
TO,COMBDGEDSNewAM,1,CommercialBuildingEducational ServicesNewAuxiliary Motors
TO,COMBDGHLCNewAM,1,CommercialBuildingHealth Care and Social AssistanceNewAuxiliary Motors
TO,COMBDGAERNewAM,1,"CommercialBuildingArts, Entertainment and RecreationNewAuxiliary Motors"
TO,COMBDGAFSNewAM,1,CommercialBuildingAccommodation and Food ServicesNewAuxiliary Motors
