regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,EUECOMBDGWSTNewLI,COMBDGWSTNewLI,2015,ADEMCOMBDGWSTNewLI,0.003836916283251733,CommercialBuildingWholesale TradeNewLighting
TO,EUECOMBDGRTTNewLI,COMBDGRTTNewLI,2015,ADEMCOMBDGRTTNewLI,0.002807101925144559,CommercialBuildingRetail TradeNewLighting
TO,EUECOMBDGTAWNewLI,COMBDGTAWNewLI,2015,ADEMCOMBDGTAWNewLI,0.004210652887716838,CommercialBuildingTransportation and WarehousingNewLighting
TO,EUECOMBDGICINewLI,COMBDGICINewLI,2015,ADEMCOMBDGICINewLI,0.0033685223101734708,CommercialBuildingInformation and Cultural IndustriesNewLighting
TO,EUECOMBDGOFFNewLI,COMBDGOFFNewLI,2015,ADEMCOMBDGOFFNewLI,0.003157989665787628,CommercialBuildingOfficesNewLighting
TO,EUECOMBDGEDSNewLI,COMBDGEDSNewLI,2015,ADEMCOMBDGEDSNewLI,0.0033685223101734708,CommercialBuildingEducational ServicesNewLighting
TO,EUECOMBDGHLCNewLI,COMBDGHLCNewLI,2015,ADEMCOMBDGHLCNewLI,0.0018714012834297057,CommercialBuildingHealth Care and Social AssistanceNewLighting
TO,EUECOMBDGAERNewLI,COMBDGAERNewLI,2015,ADEMCOMBDGAERNewLI,0.003157989665787628,"CommercialBuildingArts, Entertainment and RecreationNewLighting"
TO,EUECOMBDGAFSNewLI,COMBDGAFSNewLI,2015,ADEMCOMBDGAFSNewLI,0.002406087364409622,CommercialBuildingAccommodation and Food ServicesNewLighting
TO,EUECOMBDGOTSNewLI,COMBDGOTSNewLI,2015,ADEMCOMBDGOTSNewLI,0.00388675651173862,CommercialBuildingOther ServicesNewLighting
TO,EUECOMBDGWSTNewSC,COMBDGWSTNewSC,2015,ADEMCOMBDGWSTNewSC,0.005920238495253427,CommercialBuildingWholesale TradeNewSpace Cooling
TO,EUECOMBDGRTTNewSC,COMBDGRTTNewSC,2015,ADEMCOMBDGRTTNewSC,0.005920238495253427,CommercialBuildingRetail TradeNewSpace Cooling
TO,EUECOMBDGTAWNewSC,COMBDGTAWNewSC,2015,ADEMCOMBDGTAWNewSC,0.008551455604254951,CommercialBuildingTransportation and WarehousingNewSpace Cooling
TO,EUECOMBDGICINewSC,COMBDGICINewSC,2015,ADEMCOMBDGICINewSC,0.006413591703191213,CommercialBuildingInformation and Cultural IndustriesNewSpace Cooling
TO,EUECOMBDGOFFNewSC,COMBDGOFFNewSC,2015,ADEMCOMBDGOFFNewSC,0.007696310043829455,CommercialBuildingOfficesNewSpace Cooling
