comm_name,flag,comm_desc
ADEMCOMBDGWSTOldLI,d,Aggregated DemandCommercialBuildingWholesale TradeOldLighting
ADEMCOMBDGRTTOldLI,d,Aggregated DemandCommercialBuildingRetail TradeOldLighting
ADEMCOMBDGTAWOldLI,d,Aggregated DemandCommercialBuildingTransportation and WarehousingOldLighting
ADEMCOMBDGICIOldLI,d,Aggregated DemandCommercialBuildingInformation and Cultural IndustriesOldLighting
ADEMCOMBDGOFFOldLI,d,Aggregated DemandCommercialBuildingOfficesOldLighting
ADEMCOMBDGEDSOldLI,d,Aggregated DemandCommercialBuildingEducational ServicesOldLighting
ADEMCOMBDGHLCOldLI,d,Aggregated DemandCommercialBuildingHealth Care and Social AssistanceOldLighting
ADEMCOMBDGAEROldLI,d,"Aggregated DemandCommercialBuildingArts, Entertainment and RecreationOldLighting"
ADEMCOMBDGAFSOldLI,d,Aggregated DemandCommercialBuildingAccommodation and Food ServicesOldLighting
ADEMCOMBDGOTSOldLI,d,Aggregated DemandCommercialBuildingOther ServicesOldLighting
ADEMCOMBDGWSTNewLI,d,Aggregated DemandCommercialBuildingWholesale TradeNewLighting
ADEMCOMBDGRTTNewLI,d,Aggregated DemandCommercialBuildingRetail TradeNewLighting
ADEMCOMBDGTAWNewLI,d,Aggregated DemandCommercialBuildingTransportation and WarehousingNewLighting
ADEMCOMBDGICINewLI,d,Aggregated DemandCommercialBuildingInformation and Cultural IndustriesNewLighting
ADEMCOMBDGOFFNewLI,d,Aggregated DemandCommercialBuildingOfficesNewLighting
ADEMCOMBDGEDSNewLI,d,Aggregated DemandCommercialBuildingEducational ServicesNewLighting
ADEMCOMBDGHLCNewLI,d,Aggregated DemandCommercialBuildingHealth Care and Social AssistanceNewLighting
ADEMCOMBDGAERNewLI,d,"Aggregated DemandCommercialBuildingArts, Entertainment and RecreationNewLighting"
ADEMCOMBDGAFSNewLI,d,Aggregated DemandCommercialBuildingAccommodation and Food ServicesNewLighting
ADEMCOMBDGOTSNewLI,d,Aggregated DemandCommercialBuildingOther ServicesNewLighting
ADEMCOMBDGWSTOldAE,d,Aggregated DemandCommercialBuildingWholesale TradeOldAuxiliary Equipment
ADEMCOMBDGRTTOldAE,d,Aggregated DemandCommercialBuildingRetail TradeOldAuxiliary Equipment
ADEMCOMBDGTAWOldAE,d,Aggregated DemandCommercialBuildingTransportation and WarehousingOldAuxiliary Equipment
ADEMCOMBDGICIOldAE,d,Aggregated DemandCommercialBuildingInformation and Cultural IndustriesOldAuxiliary Equipment
ADEMCOMBDGOFFOldAE,d,Aggregated DemandCommercialBuildingOfficesOldAuxiliary Equipment
ADEMCOMBDGEDSOldAE,d,Aggregated DemandCommercialBuildingEducational ServicesOldAuxiliary Equipment
ADEMCOMBDGHLCOldAE,d,Aggregated DemandCommercialBuildingHealth Care and Social AssistanceOldAuxiliary Equipment
ADEMCOMBDGAEROldAE,d,"Aggregated DemandCommercialBuildingArts, Entertainment and RecreationOldAuxiliary Equipment"
ADEMCOMBDGAFSOldAE,d,Aggregated DemandCommercialBuildingAccommodation and Food ServicesOldAuxiliary Equipment
ADEMCOMBDGOTSOldAE,d,Aggregated DemandCommercialBuildingOther ServicesOldAuxiliary Equipment
ADEMCOMBDGWSTNewAE,d,Aggregated DemandCommercialBuildingWholesale TradeNewAuxiliary Equipment
ADEMCOMBDGRTTNewAE,d,Aggregated DemandCommercialBuildingRetail TradeNewAuxiliary Equipment
ADEMCOMBDGTAWNewAE,d,Aggregated DemandCommercialBuildingTransportation and WarehousingNewAuxiliary Equipment
ADEMCOMBDGICINewAE,d,Aggregated DemandCommercialBuildingInformation and Cultural IndustriesNewAuxiliary Equipment
ADEMCOMBDGOFFNewAE,d,Aggregated DemandCommercialBuildingOfficesNewAuxiliary Equipment
ADEMCOMBDGEDSNewAE,d,Aggregated DemandCommercialBuildingEducational ServicesNewAuxiliary Equipment
ADEMCOMBDGHLCNewAE,d,Aggregated DemandCommercialBuildingHealth Care and Social AssistanceNewAuxiliary Equipment
ADEMCOMBDGAERNewAE,d,"Aggregated DemandCommercialBuildingArts, Entertainment and RecreationNewAuxiliary Equipment"
ADEMCOMBDGAFSNewAE,d,Aggregated DemandCommercialBuildingAccommodation and Food ServicesNewAuxiliary Equipment
ADEMCOMBDGOTSNewAE,d,Aggregated DemandCommercialBuildingOther ServicesNewAuxiliary Equipment
ADEMCOMBDGWSTOldAM,d,Aggregated DemandCommercialBuildingWholesale TradeOldAuxiliary Motors
ADEMCOMBDGRTTOldAM,d,Aggregated DemandCommercialBuildingRetail TradeOldAuxiliary Motors
ADEMCOMBDGTAWOldAM,d,Aggregated DemandCommercialBuildingTransportation and WarehousingOldAuxiliary Motors
ADEMCOMBDGICIOldAM,d,Aggregated DemandCommercialBuildingInformation and Cultural IndustriesOldAuxiliary Motors
ADEMCOMBDGOFFOldAM,d,Aggregated DemandCommercialBuildingOfficesOldAuxiliary Motors
ADEMCOMBDGEDSOldAM,d,Aggregated DemandCommercialBuildingEducational ServicesOldAuxiliary Motors
ADEMCOMBDGHLCOldAM,d,Aggregated DemandCommercialBuildingHealth Care and Social AssistanceOldAuxiliary Motors
ADEMCOMBDGAEROldAM,d,"Aggregated DemandCommercialBuildingArts, Entertainment and RecreationOldAuxiliary Motors"
ADEMCOMBDGAFSOldAM,d,Aggregated DemandCommercialBuildingAccommodation and Food ServicesOldAuxiliary Motors
ADEMCOMBDGOTSOldAM,d,Aggregated DemandCommercialBuildingOther ServicesOldAuxiliary Motors
ADEMCOMBDGWSTNewAM,d,Aggregated DemandCommercialBuildingWholesale TradeNewAuxiliary Motors
