tech,flag,sector,tech_desc,tech_category
COMBDGWSTNewLI,p,COMBDG,CommercialBuildingWholesale TradeNewLighting,
COMBDGRTTNewLI,p,COMBDG,CommercialBuildingRetail TradeNewLighting,
COMBDGTAWNewLI,p,COMBDG,CommercialBuildingTransportation and WarehousingNewLighting,
COMBDGICINewLI,p,COMBDG,CommercialBuildingInformation and Cultural IndustriesNewLighting,
COMBDGOFFNewLI,p,COMBDG,CommercialBuildingOfficesNewLighting,
COMBDGEDSNewLI,p,COMBDG,CommercialBuildingEducational ServicesNewLighting,
COMBDGHLCNewLI,p,COMBDG,CommercialBuildingHealth Care and Social AssistanceNewLighting,
COMBDGAERNewLI,p,COMBDG,"CommercialBuildingArts, Entertainment and RecreationNewLighting",
COMBDGAFSNewLI,p,COMBDG,CommercialBuildingAccommodation and Food ServicesNewLighting,
COMBDGOTSNewLI,p,COMBDG,CommercialBuildingOther ServicesNewLighting,
COMBDGWSTNewSC,p,COMBDG,CommercialBuildingWholesale TradeNewSpace Cooling,
COMBDGRTTNewSC,p,COMBDG,CommercialBuildingRetail TradeNewSpace Cooling,
COMBDGTAWNewSC,p,COMBDG,CommercialBuildingTransportation and WarehousingNewSpace Cooling,
COMBDGICINewSC,p,COMBDG,CommercialBuildingInformation and Cultural IndustriesNewSpace Cooling,
COMBDGOFFNewSC,p,COMBDG,CommercialBuildingOfficesNewSpace Cooling,
COMBDGEDSNewSC,p,COMBDG,CommercialBuildingEducational ServicesNewSpace Cooling,
COMBDGHLCNewSC,p,COMBDG,CommercialBuildingHealth Care and Social AssistanceNewSpace Cooling,
COMBDGAERNewSC,p,COMBDG,"CommercialBuildingArts, Entertainment and RecreationNewSpace Cooling",
COMBDGAFSNewSC,p,COMBDG,CommercialBuildingAccommodation and Food ServicesNewSpace Cooling,
COMBDGOTSNewSC,p,COMBDG,CommercialBuildingOther ServicesNewSpace Cooling,
COMBDGWSTNewAM,p,COMBDG,CommercialBuildingWholesale TradeNewAuxiliary Motors,
