regions,periods,tech,output_comm,TOS,to_split_notes
TO,2016,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2016,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2017,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2017,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2018,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2018,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2019,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2019,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2020,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2020,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2021,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2021,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2022,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2022,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2023,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2023,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2024,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2024,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2025,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2025,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2026,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2026,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2027,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2027,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2028,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2028,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2029,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2029,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2030,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2030,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2031,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2031,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2032,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2032,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2033,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2033,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2034,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2034,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
