regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,EUEINDBDGLISEP,INDBDGLI,2015,ADEMINDBDGLI,0.04000000000000001,IndustryBuildingLighting
TO,EUEINDBDGLIRET,INDBDGLI,2015,ADEMINDBDGLI,0.04000000000000001,IndustryBuildingLighting
TO,EUEINDBDGSCSEP,INDBDGSC,2015,ADEMINDBDGSC,0.01846153846153846,IndustryBuildingSpace Cooling
TO,EUEINDBDGSCDCO,INDBDGSC,2015,ADEMINDBDGSC,0.01846153846153846,IndustryBuildingSpace Cooling
TO,EUEINDBDGSCRET,INDBDGSC,2015,ADEMINDBDGSC,0.01846153846153846,IndustryBuildingSpace Cooling
TO,EUEINDBDGIPSEP,INDBDGIP,2015,ADEMINDBDGIP,0.002127659574468085,IndustryBuildingIndustrial Processes
TO,EUEINDBDGIPRET,INDBDGIP,2015,ADEMINDBDGIP,0.002127659574468085,IndustryBuildingIndustrial Processes
TO,EUEINDBDGSHSEP,INDBDGSH,2015,ADEMINDBDGSH,0.016666666666666663,IndustryBuildingSpace Heating
TO,EUEINDBDGSHDHE,INDBDGSH,2015,ADEMINDBDGSH,0.016666666666666663,IndustryBuildingSpace Heating
TO,EUEINDBDGSHRET,INDBDGSH,2015,ADEMINDBDGSH,0.016666666666666663,IndustryBuildingSpace Heating
TO,EUEINDBDGWHSEP,INDBDGWH,2015,ADEMINDBDGWH,0.006369426751592355,IndustryBuildingWater Heating
TO,EUEINDBDGWHDHE,INDBDGWH,2015,ADEMINDBDGWH,0.006369426751592355,IndustryBuildingWater Heating
TO,EUEINDBDGWHRET,INDBDGWH,2015,ADEMINDBDGWH,0.006369426751592355,IndustryBuildingWater Heating
