regions,periods,tech,vintage,cost_fixed,cost_fixed_units,cost_fixed_notes
TO,2016,PUBBDGHSPOldLILED___HIGELC_EX,2015,0.0,k$/Mlm,PublicBuildingHospitalOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,2016,PUBBDGMUNOldLILED___HIGELC_EX,2015,0.0,k$/Mlm,PublicBuildingMunicipalityOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,2016,PUBBDGPSIOldLILED___HIGELC_EX,2015,0.0,k$/Mlm,PublicBuildingPost-Secondary InstitutionOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,2016,PUBBDGSBDOldLILED___HIGELC_EX,2015,0.0,k$/Mlm,PublicBuildingSchool boardOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,2016,PUBBDGHSPOldLIFLC___STDELC_EX,2015,0.0,k$/Mlm,PublicBuildingHospitalOldLightingFluocompactStandard EfficiencyElectricity
TO,2016,PUBBDGMUNOldLIFLC___STDELC_EX,2015,0.0,k$/Mlm,PublicBuildingMunicipalityOldLightingFluocompactStandard EfficiencyElectricity
TO,2016,PUBBDGPSIOldLIFLC___STDELC_EX,2015,0.0,k$/Mlm,PublicBuildingPost-Secondary InstitutionOldLightingFluocompactStandard EfficiencyElectricity
TO,2016,PUBBDGSBDOldLIFLC___STDELC_EX,2015,0.0,k$/Mlm,PublicBuildingSchool boardOldLightingFluocompactStandard EfficiencyElectricity
TO,2016,PUBBDGHSPOldLIFLU___STDELC_EX,2015,0.0,k$/Mlm,PublicBuildingHospitalOldLightingFluorescenteStandard EfficiencyElectricity
TO,2016,PUBBDGMUNOldLIFLU___STDELC_EX,2015,0.0,k$/Mlm,PublicBuildingMunicipalityOldLightingFluorescenteStandard EfficiencyElectricity
TO,2016,PUBBDGPSIOldLIFLU___STDELC_EX,2015,0.0,k$/Mlm,PublicBuildingPost-Secondary InstitutionOldLightingFluorescenteStandard EfficiencyElectricity
TO,2016,PUBBDGSBDOldLIFLU___STDELC_EX,2015,0.0,k$/Mlm,PublicBuildingSchool boardOldLightingFluorescenteStandard EfficiencyElectricity
TO,2016,PUBBDGHSPOldLIHAL___STDELC_EX,2015,0.0,k$/Mlm,PublicBuildingHospitalOldLightingHalogenStandard EfficiencyElectricity
TO,2016,PUBBDGMUNOldLIHAL___STDELC_EX,2015,0.0,k$/Mlm,PublicBuildingMunicipalityOldLightingHalogenStandard EfficiencyElectricity
TO,2016,PUBBDGPSIOldLIHAL___STDELC_EX,2015,0.0,k$/Mlm,PublicBuildingPost-Secondary InstitutionOldLightingHalogenStandard EfficiencyElectricity
TO,2016,PUBBDGSBDOldLIHAL___STDELC_EX,2015,0.0,k$/Mlm,PublicBuildingSchool boardOldLightingHalogenStandard EfficiencyElectricity
TO,2016,PUBBDGHSPOldLIINC___STDELC_EX,2015,0.0,k$/Mlm,PublicBuildingHospitalOldLightingIncandescentStandard EfficiencyElectricity
TO,2016,PUBBDGMUNOldLIINC___STDELC_EX,2015,0.0,k$/Mlm,PublicBuildingMunicipalityOldLightingIncandescentStandard EfficiencyElectricity
TO,2016,PUBBDGPSIOldLIINC___STDELC_EX,2015,0.0,k$/Mlm,PublicBuildingPost-Secondary InstitutionOldLightingIncandescentStandard EfficiencyElectricity
TO,2016,PUBBDGSBDOldLIINC___STDELC_EX,2015,0.0,k$/Mlm,PublicBuildingSchool boardOldLightingIncandescentStandard EfficiencyElectricity
TO,2016,PUBBDGHSPOldLILED___STDELC_EX,2015,0.0,k$/Mlm,PublicBuildingHospitalOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,2016,PUBBDGMUNOldLILED___STDELC_EX,2015,0.0,k$/Mlm,PublicBuildingMunicipalityOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,2016,PUBBDGPSIOldLILED___STDELC_EX,2015,0.0,k$/Mlm,PublicBuildingPost-Secondary InstitutionOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,2016,PUBBDGSBDOldLILED___STDELC_EX,2015,0.0,k$/Mlm,PublicBuildingSchool boardOldLightingLight Emitting DiodeStandard EfficiencyElectricity
