regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,PUBBDGELC,PUBBDGHSPOldLILED___HIGELC_EX,2015,EUEPUBBDGHSPOldLI,2.94901065449011,PublicBuildingHospitalOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,PUBBDGELC,PUBBDGMUNOldLILED___HIGELC_EX,2015,EUEPUBBDGMUNOldLI,2.94901065449011,PublicBuildingMunicipalityOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,PUBBDGELC,PUBBDGPSIOldLILED___HIGELC_EX,2015,EUEPUBBDGPSIOldLI,2.94901065449011,PublicBuildingPost-Secondary InstitutionOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,PUBBDGELC,PUBBDGSBDOldLILED___HIGELC_EX,2015,EUEPUBBDGSBDOldLI,2.94901065449011,PublicBuildingSchool boardOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,PUBBDGELC,PUBBDGHSPOldLIFLC___STDELC_EX,2015,EUEPUBBDGHSPOldLI,2.1848046676813797,PublicBuildingHospitalOldLightingFluocompactStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGMUNOldLIFLC___STDELC_EX,2015,EUEPUBBDGMUNOldLI,2.1848046676813797,PublicBuildingMunicipalityOldLightingFluocompactStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGPSIOldLIFLC___STDELC_EX,2015,EUEPUBBDGPSIOldLI,2.1848046676813797,PublicBuildingPost-Secondary InstitutionOldLightingFluocompactStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGSBDOldLIFLC___STDELC_EX,2015,EUEPUBBDGSBDOldLI,2.1848046676813797,PublicBuildingSchool boardOldLightingFluocompactStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGHSPOldLIFLU___STDELC_EX,2015,EUEPUBBDGHSPOldLI,2.2831050228310503,PublicBuildingHospitalOldLightingFluorescenteStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGMUNOldLIFLU___STDELC_EX,2015,EUEPUBBDGMUNOldLI,2.2831050228310503,PublicBuildingMunicipalityOldLightingFluorescenteStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGPSIOldLIFLU___STDELC_EX,2015,EUEPUBBDGPSIOldLI,2.2831050228310503,PublicBuildingPost-Secondary InstitutionOldLightingFluorescenteStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGSBDOldLIFLU___STDELC_EX,2015,EUEPUBBDGSBDOldLI,2.2831050228310503,PublicBuildingSchool boardOldLightingFluorescenteStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGHSPOldLIHAL___STDELC_EX,2015,EUEPUBBDGHSPOldLI,0.5517503805175037,PublicBuildingHospitalOldLightingHalogenStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGMUNOldLIHAL___STDELC_EX,2015,EUEPUBBDGMUNOldLI,0.5517503805175037,PublicBuildingMunicipalityOldLightingHalogenStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGPSIOldLIHAL___STDELC_EX,2015,EUEPUBBDGPSIOldLI,0.5517503805175037,PublicBuildingPost-Secondary InstitutionOldLightingHalogenStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGSBDOldLIHAL___STDELC_EX,2015,EUEPUBBDGSBDOldLI,0.5517503805175037,PublicBuildingSchool boardOldLightingHalogenStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGHSPOldLIINC___STDELC_EX,2015,EUEPUBBDGHSPOldLI,0.4502790461694571,PublicBuildingHospitalOldLightingIncandescentStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGMUNOldLIINC___STDELC_EX,2015,EUEPUBBDGMUNOldLI,0.4502790461694571,PublicBuildingMunicipalityOldLightingIncandescentStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGPSIOldLIINC___STDELC_EX,2015,EUEPUBBDGPSIOldLI,0.4502790461694571,PublicBuildingPost-Secondary InstitutionOldLightingIncandescentStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGSBDOldLIINC___STDELC_EX,2015,EUEPUBBDGSBDOldLI,0.4502790461694571,PublicBuildingSchool boardOldLightingIncandescentStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGHSPOldLILED___STDELC_EX,2015,EUEPUBBDGHSPOldLI,2.9490106544901065,PublicBuildingHospitalOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGMUNOldLILED___STDELC_EX,2015,EUEPUBBDGMUNOldLI,2.9490106544901065,PublicBuildingMunicipalityOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGPSIOldLILED___STDELC_EX,2015,EUEPUBBDGPSIOldLI,2.9490106544901065,PublicBuildingPost-Secondary InstitutionOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGSBDOldLILED___STDELC_EX,2015,EUEPUBBDGSBDOldLI,2.9490106544901065,PublicBuildingSchool boardOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGHSPOldSC______STDELC_EX,2015,EUEPUBBDGHSPOldSC,3.5466292497069167,PublicBuildingHospitalOldSpace CoolingStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGMUNOldSC______STDELC_EX,2015,EUEPUBBDGMUNOldSC,3.5466292497069167,PublicBuildingMunicipalityOldSpace CoolingStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGPSIOldSC______STDELC_EX,2015,EUEPUBBDGPSIOldSC,3.5466292497069167,PublicBuildingPost-Secondary InstitutionOldSpace CoolingStandard EfficiencyElectricity
TO,PUBBDGELC,PUBBDGSBDOldSC______STDELC_EX,2015,EUEPUBBDGSBDOldSC,3.5466292497069167,PublicBuildingSchool boardOldSpace CoolingStandard EfficiencyElectricity
TO,PUBBDGNGA,PUBBDGHSPOldSC______STDNGA_EX,2015,EUEPUBBDGHSPOldSC,3.5466292497069167,PublicBuildingHospitalOldSpace CoolingStandard EfficiencyNatural Gas
TO,PUBBDGNGA,PUBBDGMUNOldSC______STDNGA_EX,2015,EUEPUBBDGMUNOldSC,3.5466292497069167,PublicBuildingMunicipalityOldSpace CoolingStandard EfficiencyNatural Gas
TO,PUBBDGNGA,PUBBDGPSIOldSC______STDNGA_EX,2015,EUEPUBBDGPSIOldSC,3.5466292497069167,PublicBuildingPost-Secondary InstitutionOldSpace CoolingStandard EfficiencyNatural Gas
