regions,tech,vintage,cost_invest,cost_invest_units,cost_invest_notes
TO,PUBBDGPSINewAM______STDELC_23,2023,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2024,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2025,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2026,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2027,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2028,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2029,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2030,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2031,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2032,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2033,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2034,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2035,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2036,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2037,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2038,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2039,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2040,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2041,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2042,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2043,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2044,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2045,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAM______STDELC_23,2046,300,k$/MW,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
