regions,tech,growthrate_max,growthrate_max_notes
TO,PUBBDGHSPOldSHZTM___STDETHOS_23,0,
TO,PUBBDGHSPOldSHZTM___MEDETHOS_23,0,
TO,PUBBDGHSPOldSHZTM___HIGETHOS_23,0,
TO,PUBBDGHSPNewSHZTM___STDETHOS_23,0,
TO,PUBBDGHSPNewSHZTM___MEDETHOS_23,0,
TO,PUBBDGHSPNewSHZTM___HIGETHOS_23,0,
TO,PUBBDGMUNOldSHZTM___STDETHOS_23,0,
TO,PUBBDGMUNOldSHZTM___MEDETHOS_23,0,
TO,PUBBDGMUNOldSHZTM___HIGETHOS_23,0,
TO,PUBBDGMUNNewSHZTM___STDETHOS_23,0,
TO,PUBBDGMUNNewSHZTM___MEDETHOS_23,0,
TO,PUBBDGMUNNewSHZTM___HIGETHOS_23,0,
TO,PUBBDGHSPOldLIFLUT5STDELC_23,1.1,
TO,PUBBDGPSIOldLIFLUT5STDELC_23,1.1,
TO,PUBBDGMUNOldLIFLUT5STDELC_23,1.1,
TO,PUBBDGSBDOldLIFLUT5STDELC_23,1.1,
TO,PUBBDGHSPOldAM______STDELC_23,1.1,
TO,PUBBDGPSIOldAM______STDELC_23,1.1,
TO,PUBBDGMUNOldAM______STDELC_23,1.1,
TO,PUBBDGSBDOldAM______STDELC_23,1.1,
TO,PUBBDGPSIOldAE______STDNGA_23,1.2,
TO,PUBBDGPSIOldAE______STDBMA_23,1.2,
TO,PUBBDGHSPNewAM______STDELC_23,2,
TO,PUBBDGPSINewAM______STDELC_23,2,
TO,PUBBDGMUNNewAM______STDELC_23,2,
TO,PUBBDGSBDNewAM______STDELC_23,2,
TO,PUBBDGPSINewAE______STDNGA_23,2,
TO,PUBBDGHSPOldAE______STDBMA_23,1.2,
TO,PUBBDGSBDOldAE______STDBMA_23,1.2,
TO,PUBBDGHSPOldAE______STDNGA_23,1.2,
TO,PUBBDGHSPNewAE______STDNGA_23,2,
TO,PUBBDGMUNOldAE______STDNGA_23,1.2,
TO,PUBBDGPSIOldSHFUR___HIGNGA_23,1.1,
TO,PUBBDGSBDOldSHFUR___HIGNGA_23,1.1,
TO,PUBBDGMUNOldSHFUR___HIGNGA_23,1.1,
TO,PUBBDGMUNOldAE______STDBMA_23,1.2,
TO,PUBBDGHSPOldSHFUR___HIGNGA_23,1.1,
TO,PUBBDGPSIOldSCCE___HIGNGA_23,1.1,
TO,PUBBDGMUNOldSCCE___HIGNGA_23,1.1,
TO,PUBBDGHSPOldSCCE___HIGNGA_23,1.1,
TO,PUBBDGSBDOldSCCE___HIGNGA_23,1.1,
TO,PUBBDGSBDNewAE______STDNGA_23,2,
TO,PUBBDGMUNNewAE______STDNGA_23,2,
TO,PUBBDGMUNNewLIFLC___HIGELC_23,2,
TO,PUBBDGHSPNewLIFLC___HIGELC_23,2,
TO,PUBBDGSBDNewLIFLC___HIGELC_23,2,
TO,PUBBDGPSINewLIFLC___HIGELC_23,2,
TO,PUBBDGSBDOldSCCE___STDNGA_23,1.1,
TO,PUBBDGMUNOldSCCE___STDNGA_23,1.1,
TO,PUBBDGHSPOldSCCE___STDNGA_23,1.1,
TO,PUBBDGPSIOldSCCE___STDNGA_23,1.1,
TO,PUBBDGPSINewSCCE___STDNGA_23,2,
TO,PUBBDGHSPNewSCCE___STDNGA_23,2,
TO,PUBBDGSBDNewSCCE___STDNGA_23,2,
TO,PUBBDGPSINewLIFLUT5STDELC_23,2,
TO,PUBBDGHSPNewLIFLUT5STDELC_23,2,
TO,PUBBDGSBDNewLIFLUT5STDELC_23,2,
TO,PUBBDGPSINewAE______STDELC_23,2,
