regions,tech,growthrate_seed,growthrate_seed_units,growthrate_seed_notes
TO,PUBBDGHSPOldSHZTM___STDETHOS_23,1.989176977,,
TO,PUBBDGHSPOldSHZTM___MEDETHOS_23,1.989176977,,
TO,PUBBDGHSPOldSHZTM___HIGETHOS_23,1.989176977,,
TO,PUBBDGHSPNewSHZTM___STDETHOS_23,0.20183902,,
TO,PUBBDGHSPNewSHZTM___MEDETHOS_23,0.20183902,,
TO,PUBBDGHSPNewSHZTM___HIGETHOS_23,0.20183902,,
TO,PUBBDGMUNOldSHZTM___STDETHOS_23,1.579834992,,
TO,PUBBDGMUNOldSHZTM___MEDETHOS_23,1.579834992,,
TO,PUBBDGMUNOldSHZTM___HIGETHOS_23,1.579834992,,
TO,PUBBDGMUNNewSHZTM___STDETHOS_23,0.49705417,,
TO,PUBBDGMUNNewSHZTM___MEDETHOS_23,0.49705417,,
TO,PUBBDGMUNNewSHZTM___HIGETHOS_23,0.49705417,,
TO,PUBBDGHSPOldLIFLUT5STDELC_23,312.562558,,
TO,PUBBDGPSIOldLIFLUT5STDELC_23,469.5843275,,
TO,PUBBDGMUNOldLIFLUT5STDELC_23,210.0407887,,
TO,PUBBDGSBDOldLIFLUT5STDELC_23,350.0001273,,
TO,PUBBDGHSPOldAM______STDELC_23,3.43471565,,
TO,PUBBDGPSIOldAM______STDELC_23,5.328839081,,
TO,PUBBDGMUNOldAM______STDELC_23,2.791953961,,
TO,PUBBDGSBDOldAM______STDELC_23,4.017344409,,
TO,PUBBDGPSIOldAE______STDNGA_23,0.056134129,,
TO,PUBBDGPSIOldAE______STDBMA_23,0.056134129,,
TO,PUBBDGHSPNewAM______STDELC_23,0.262334338,,
TO,PUBBDGPSINewAM______STDELC_23,0.300422977,,
TO,PUBBDGMUNNewAM______STDELC_23,0.663405381,,
TO,PUBBDGSBDNewAM______STDELC_23,0.402054554,,
TO,PUBBDGPSINewAE______STDNGA_23,1.269818547,,
TO,PUBBDGHSPOldAE______STDBMA_23,0.048460146,,
TO,PUBBDGSBDOldAE______STDBMA_23,0.04585471,,
TO,PUBBDGHSPOldAE______STDNGA_23,0.048460146,,
TO,PUBBDGHSPNewAE______STDNGA_23,1.485125697,,
TO,PUBBDGMUNOldAE______STDNGA_23,0.024870939,,
TO,PUBBDGPSIOldSHFUR___HIGNGA_23,104.9999953,,
TO,PUBBDGSBDOldSHFUR___HIGNGA_23,75.68602654,,
TO,PUBBDGMUNOldSHFUR___HIGNGA_23,47.13910056,,
TO,PUBBDGMUNOldAE______STDBMA_23,0.024870939,,
TO,PUBBDGHSPOldSHFUR___HIGNGA_23,59.35304259,,
TO,PUBBDGPSIOldSCCE___HIGNGA_23,20.18909114,,
TO,PUBBDGMUNOldSCCE___HIGNGA_23,10.92888256,,
TO,PUBBDGHSPOldSCCE___HIGNGA_23,14.46653892,,
TO,PUBBDGSBDOldSCCE___HIGNGA_23,17.22722979,,
TO,PUBBDGSBDNewAE______STDNGA_23,1.841382511,,
TO,PUBBDGMUNNewAE______STDNGA_23,2.371248494,,
TO,PUBBDGMUNNewLIFLC___HIGELC_23,75.88996058,,
TO,PUBBDGHSPNewLIFLC___HIGELC_23,36.30038692,,
TO,PUBBDGSBDNewLIFLC___HIGELC_23,53.26280964,,
TO,PUBBDGPSINewLIFLC___HIGELC_23,40.25539407,,
TO,PUBBDGSBDOldSCCE___STDNGA_23,17.22722979,,
TO,PUBBDGMUNOldSCCE___STDNGA_23,10.92888256,,
TO,PUBBDGHSPOldSCCE___STDNGA_23,14.46653892,,
TO,PUBBDGPSIOldSCCE___STDNGA_23,20.18909114,,
TO,PUBBDGPSINewSCCE___STDNGA_23,5.245203456,,
TO,PUBBDGHSPNewSCCE___STDNGA_23,5.395431638,,
TO,PUBBDGSBDNewSCCE___STDNGA_23,8.286595149,,
TO,PUBBDGPSINewLIFLUT5STDELC_23,40.25539407,,
TO,PUBBDGHSPNewLIFLUT5STDELC_23,36.30038692,,
TO,PUBBDGSBDNewLIFLUT5STDELC_23,53.26280964,,
TO,PUBBDGPSINewAE______STDELC_23,1.269818547,,
TO,PUBBDGMUNNewSCCE___STDNGA_23,12.74153611,,
