regions,periods,Tech,minact,minact_units,minact_notes
TO,2016,PUBBDGHSPNewAE______STDNGA_16,0,,
TO,2016,PUBBDGHSPNewSC______STDNGA_16,0,,
TO,2016,PUBBDGHSPNewSHFUR___HIGNGA_16,0,,
TO,2016,PUBBDGHSPNewSHFUR___STDNGA_16,0,,
TO,2016,PUBBDGHSPNewWH______STDNGA_16,0,,
TO,2016,PUBBDGHSPOldAE______STDNGA_16,0,,
TO,2016,PUBBDGHSPOldSC______STDNGA_16,0,,
TO,2016,PUBBDGHSPOldSHFUR___HIGNGA_16,0,,
TO,2016,PUBBDGHSPOldSHFUR___STDNGA_16,0,,
TO,2016,PUBBDGHSPOldWH______STDNGA_16,0,,
TO,2016,PUBBDGMUNNewAE______STDNGA_16,0,,
TO,2016,PUBBDGMUNNewSC______STDNGA_16,0,,
TO,2016,PUBBDGMUNNewSHFUR___HIGNGA_16,0,,
TO,2016,PUBBDGMUNNewSHFUR___STDNGA_16,0,,
TO,2016,PUBBDGMUNNewWH______STDNGA_16,0,,
TO,2016,PUBBDGMUNOldAE______STDNGA_16,0,,
TO,2016,PUBBDGMUNOldSC______STDNGA_16,0,,
TO,2016,PUBBDGMUNOldSHFUR___HIGNGA_16,0,,
TO,2016,PUBBDGMUNOldSHFUR___STDNGA_16,0,,
TO,2016,PUBBDGMUNOldWH______STDNGA_16,0,,
TO,2016,PUBBDGPSINewAE______STDNGA_16,0,,
TO,2016,PUBBDGPSINewSC______STDNGA_16,0,,
TO,2016,PUBBDGPSINewSHFUR___HIGNGA_16,0,,
TO,2016,PUBBDGPSINewSHFUR___STDNGA_16,0,,
TO,2016,PUBBDGPSINewWH______STDNGA_16,0,,
TO,2016,PUBBDGPSIOldAE______STDNGA_16,0,,
TO,2016,PUBBDGPSIOldSC______STDNGA_16,0,,
TO,2016,PUBBDGPSIOldSHFUR___HIGNGA_16,0,,
TO,2016,PUBBDGPSIOldSHFUR___STDNGA_16,0,,
TO,2016,PUBBDGPSIOldWH______STDNGA_16,0,,
TO,2016,PUBBDGSBDNewAE______STDNGA_16,0,,
TO,2016,PUBBDGSBDNewSC______STDNGA_16,0,,
TO,2016,PUBBDGSBDNewSHFUR___HIGNGA_16,0,,
TO,2016,PUBBDGSBDNewSHFUR___STDNGA_16,0,,
TO,2016,PUBBDGSBDNewWH______STDNGA_16,0,,
TO,2016,PUBBDGSBDOldAE______STDNGA_16,0,,
TO,2016,PUBBDGSBDOldSC______STDNGA_16,0,,
TO,2016,PUBBDGSBDOldSHFUR___HIGNGA_16,0,,
TO,2016,PUBBDGSBDOldSHFUR___STDNGA_16,0,,
TO,2016,PUBBDGSBDOldWH______STDNGA_16,0,,
TO,2016,PUBBDGHSPNewSH_________DHE_16,0,,
TO,2016,PUBBDGHSPOldSH_________DHE_16,0,,
TO,2016,PUBBDGMUNNewSH_________DHE_16,0,,
TO,2016,PUBBDGMUNOldSH_________DHE_16,0,,
TO,2016,PUBBDGPSINewSH_________DHE_16,0,,
TO,2016,PUBBDGPSIOldSH_________DHE_16,0,,
TO,2016,PUBBDGSBDNewSH_________DHE_16,0,,
TO,2016,PUBBDGSBDOldSH_________DHE_16,0,,
TO,2016,PUBBDGHSPNewAE______STDELC_16,0,,
TO,2016,PUBBDGHSPNewAM______STDELC_16,0,,
TO,2016,PUBBDGHSPNewLIFLC___STDELC_16,0,,
TO,2016,PUBBDGHSPNewLIFLU___STDELC_16,0,,
TO,2016,PUBBDGHSPNewLIHAL___STDELC_16,0,,
TO,2016,PUBBDGHSPNewLIINC___STDELC_16,0,,
TO,2016,PUBBDGHSPNewLILED___STDELC_16,0,,
TO,2016,PUBBDGHSPNewSC______STDELC_16,0,,
TO,2016,PUBBDGHSPNewSHFUR___STDELC_16,0,,
TO,2016,PUBBDGHSPNewSHHEP___STDELC_16,0,,
TO,2016,PUBBDGHSPNewSHPLT___STDELC_16,0,,
TO,2016,PUBBDGHSPNewWH______STDELC_16,0,,
TO,2016,PUBBDGHSPOldAE______STDELC_16,0,,
TO,2016,PUBBDGHSPOldAM______STDELC_16,0,,
TO,2016,PUBBDGHSPOldLIFLC___STDELC_16,0,,
TO,2016,PUBBDGHSPOldLIFLU___STDELC_16,0,,
TO,2016,PUBBDGHSPOldLIHAL___STDELC_16,0,,
TO,2016,PUBBDGHSPOldLIINC___STDELC_16,0,,
TO,2016,PUBBDGHSPOldLILED___STDELC_16,0,,
TO,2016,PUBBDGHSPOldSC______STDELC_16,0,,
TO,2016,PUBBDGHSPOldSHFUR___STDELC_16,0,,
TO,2016,PUBBDGHSPOldSHHEP___STDELC_16,0,,
