regions,periods,input_comm,tech,ti_split,ti_split_notes
TO,2016,PUBBDGELC,PUBBDGPSINewWHSTHBCKSTDELC_23,0.588235294,PublicBuildingPost-Secondary InstitutionNewWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2017,PUBBDGELC,PUBBDGPSINewWHSTHBCKSTDELC_23,0.588235294,PublicBuildingPost-Secondary InstitutionNewWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2018,PUBBDGELC,PUBBDGPSINewWHSTHBCKSTDELC_23,0.588235294,PublicBuildingPost-Secondary InstitutionNewWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2019,PUBBDGELC,PUBBDGPSINewWHSTHBCKSTDELC_23,0.588235294,PublicBuildingPost-Secondary InstitutionNewWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2020,PUBBDGELC,PUBBDGPSINewWHSTHBCKSTDELC_23,0.588235294,PublicBuildingPost-Secondary InstitutionNewWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2021,PUBBDGELC,PUBBDGPSINewWHSTHBCKSTDELC_23,0.588235294,PublicBuildingPost-Secondary InstitutionNewWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2022,PUBBDGELC,PUBBDGPSINewWHSTHBCKSTDELC_23,0.588235294,PublicBuildingPost-Secondary InstitutionNewWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2023,PUBBDGELC,PUBBDGPSINewWHSTHBCKSTDELC_23,0.588235294,PublicBuildingPost-Secondary InstitutionNewWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2024,PUBBDGELC,PUBBDGPSINewWHSTHBCKSTDELC_23,0.588235294,PublicBuildingPost-Secondary InstitutionNewWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2025,PUBBDGELC,PUBBDGPSINewWHSTHBCKSTDELC_23,0.588235294,PublicBuildingPost-Secondary InstitutionNewWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2026,PUBBDGELC,PUBBDGPSINewWHSTHBCKSTDELC_23,0.588235294,PublicBuildingPost-Secondary InstitutionNewWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2027,PUBBDGELC,PUBBDGPSINewWHSTHBCKSTDELC_23,0.588235294,PublicBuildingPost-Secondary InstitutionNewWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2028,PUBBDGELC,PUBBDGPSINewWHSTHBCKSTDELC_23,0.588235294,PublicBuildingPost-Secondary InstitutionNewWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
TO,2029,PUBBDGELC,PUBBDGPSINewWHSTHBCKSTDELC_23,0.588235294,PublicBuildingPost-Secondary InstitutionNewWater HeatingSolar ThermalBackupStandard EfficiencyElectricity2023
