tech,flag,sector,tech_desc,tech_category
PUBBDGPSINewAM______STDELC_23,p,PUBBDG,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023,
PUBBDGPSINewAE______STDBMA_23,p,PUBBDG,PublicBuildingPost-Secondary InstitutionNewAuxiliary EquipmentStandard EfficiencyBiomass2023,
PUBBDGPSINewAE______STDELC_23,p,PUBBDG,PublicBuildingPost-Secondary InstitutionNewAuxiliary EquipmentStandard EfficiencyElectricity2023,
PUBBDGPSINewAE______STDNGA_23,p,PUBBDG,PublicBuildingPost-Secondary InstitutionNewAuxiliary EquipmentStandard EfficiencyNatural Gas2023,
PUBBDGPSINewAE______STDPRO_23,p,PUBBDG,PublicBuildingPost-Secondary InstitutionNewAuxiliary EquipmentStandard EfficiencyPropane2023,
PUBBDGPSINewLILED___HIGELC_23,p,PUBBDG,PublicBuildingPost-Secondary InstitutionNewLightingLight Emitting DiodeHigh EfficiencyElectricity2023,
PUBBDGPSINewLIFLC___HIGELC_23,p,PUBBDG,PublicBuildingPost-Secondary InstitutionNewLightingFluocompactHigh EfficiencyElectricity2023,
PUBBDGPSINewLIFLC___STDELC_23,p,PUBBDG,PublicBuildingPost-Secondary InstitutionNewLightingFluocompactStandard EfficiencyElectricity2023,
PUBBDGPSINewLIFLUT5HIGELC_23,p,PUBBDG,PublicBuildingPost-Secondary InstitutionNewLightingFluorescenteT5High EfficiencyElectricity2023,
PUBBDGPSINewLIFLUT8HIGELC_23,p,PUBBDG,PublicBuildingPost-Secondary InstitutionNewLightingFluorescenteT8High EfficiencyElectricity2023,
PUBBDGPSINewLIFLUT5STDELC_23,p,PUBBDG,PublicBuildingPost-Secondary InstitutionNewLightingFluorescenteT5Standard EfficiencyElectricity2023,
PUBBDGPSINewLIFLUT8STDELC_23,p,PUBBDG,PublicBuildingPost-Secondary InstitutionNewLightingFluorescenteT8Standard EfficiencyElectricity2023,
PUBBDGPSINewLIHAL100WSTDELC_23,p,PUBBDG,PublicBuildingPost-Secondary InstitutionNewLightingHalogen100WStandard EfficiencyElectricity2023,
PUBBDGPSINewLIINC100WSTDELC_23,p,PUBBDG,PublicBuildingPost-Secondary InstitutionNewLightingIncandescent100WStandard EfficiencyElectricity2023,
PUBBDGPSINewLILED___ESRELC_23,p,PUBBDG,PublicBuildingPost-Secondary InstitutionNewLightingLight Emitting DiodeEnergy StarElectricity2023,
PUBBDGPSINewLILED___STDELC_23,p,PUBBDG,PublicBuildingPost-Secondary InstitutionNewLightingLight Emitting DiodeStandard EfficiencyElectricity2023,
PUBBDGPSINewSCCE___HIGELC_23,p,PUBBDG,PublicBuildingPost-Secondary InstitutionNewSpace CoolingCentralHigh EfficiencyElectricity2023,
