regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,EUEPUBBDGHSPOldLI,PUBBDGHSPOldLI,2015,ADEMPUBBDGHSPOldLI,0.005022750685005978,PublicBuildingHospitalOldLightingHospital
TO,EUEPUBBDGMUNOldLI,PUBBDGMUNOldLI,2015,ADEMPUBBDGMUNOldLI,0.009062991945032267,PublicBuildingMunicipalityOldLightingMunicipality
TO,EUEPUBBDGPSIOldLI,PUBBDGPSIOldLI,2015,ADEMPUBBDGPSIOldLI,0.007283056770245881,PublicBuildingPost-Secondary InstitutionOldLightingPost-Secondary Institution
TO,EUEPUBBDGSBDOldLI,PUBBDGSBDOldLI,2015,ADEMPUBBDGSBDOldLI,0.013222041094849288,PublicBuildingSchool boardOldLightingSchool board
TO,EUEPUBBDGHSPOldSC,PUBBDGHSPOldSC,2015,ADEMPUBBDGHSPOldSC,0.001531905439246365,PublicBuildingHospitalOldSpace CoolingHospital
TO,EUEPUBBDGMUNOldSC,PUBBDGMUNOldSC,2015,ADEMPUBBDGMUNOldSC,0.002428812554802184,PublicBuildingMunicipalityOldSpace CoolingMunicipality
TO,EUEPUBBDGPSIOldSC,PUBBDGPSIOldSC,2015,ADEMPUBBDGPSIOldSC,0.002420639425600359,PublicBuildingPost-Secondary InstitutionOldSpace CoolingPost-Secondary Institution
TO,EUEPUBBDGSBDOldSC,PUBBDGSBDOldSC,2015,ADEMPUBBDGSBDOldSC,0.0037853532972136304,PublicBuildingSchool boardOldSpace CoolingSchool board
TO,EUEPUBBDGHSPOldAM,PUBBDGHSPOldAM,2015,ADEMPUBBDGHSPOldAM,0.015523144681760803,PublicBuildingHospitalOldAuxiliary MotorsHospital
TO,EUEPUBBDGMUNOldAM,PUBBDGMUNOldAM,2015,ADEMPUBBDGMUNOldAM,0.023237742338812203,PublicBuildingMunicipalityOldAuxiliary MotorsMunicipality
TO,EUEPUBBDGPSIOldAM,PUBBDGPSIOldAM,2015,ADEMPUBBDGPSIOldAM,0.021883527169698234,PublicBuildingPost-Secondary InstitutionOldAuxiliary MotorsPost-Secondary Institution
TO,EUEPUBBDGSBDOldAM,PUBBDGSBDOldAM,2015,ADEMPUBBDGSBDOldAM,0.039728496518122366,PublicBuildingSchool boardOldAuxiliary MotorsSchool board
TO,EUEPUBBDGHSPOldAE,PUBBDGHSPOldAE,2015,ADEMPUBBDGHSPOldAE,0.0027203601357105272,PublicBuildingHospitalOldAuxiliary EquipmentHospital
TO,EUEPUBBDGMUNOldAE,PUBBDGMUNOldAE,2015,ADEMPUBBDGMUNOldAE,0.007428672431152616,PublicBuildingMunicipalityOldAuxiliary EquipmentMunicipality
TO,EUEPUBBDGPSIOldAE,PUBBDGPSIOldAE,2015,ADEMPUBBDGPSIOldAE,0.004655465189589529,PublicBuildingPost-Secondary InstitutionOldAuxiliary EquipmentPost-Secondary Institution
TO,EUEPUBBDGSBDOldAE,PUBBDGSBDOldAE,2015,ADEMPUBBDGSBDOldAE,0.010166214597229968,PublicBuildingSchool boardOldAuxiliary EquipmentSchool board
TO,EUEPUBBDGHSPOldSH,PUBBDGHSPOldSH,2015,ADEMPUBBDGHSPOldSH,0.0010430597514675401,PublicBuildingHospitalOldSpace HeatingHospital
TO,EUEPUBBDGMUNOldSH,PUBBDGMUNOldSH,2015,ADEMPUBBDGMUNOldSH,0.0015774777926793285,PublicBuildingMunicipalityOldSpace HeatingMunicipality
TO,EUEPUBBDGPSIOldSH,PUBBDGPSIOldSH,2015,ADEMPUBBDGPSIOldSH,0.0012350838006018215,PublicBuildingPost-Secondary InstitutionOldSpace HeatingPost-Secondary Institution
TO,EUEPUBBDGSBDOldSH,PUBBDGSBDOldSH,2015,ADEMPUBBDGSBDOldSH,0.002327989963929624,PublicBuildingSchool boardOldSpace HeatingSchool board
TO,EUEPUBBDGHSPOldWH,PUBBDGHSPOldWH,2015,ADEMPUBBDGHSPOldWH,0.005306868882396018,PublicBuildingHospitalOldWater HeatingHospital
TO,EUEPUBBDGMUNOldWH,PUBBDGMUNOldWH,2015,ADEMPUBBDGMUNOldWH,0.011816753275895485,PublicBuildingMunicipalityOldWater HeatingMunicipality
TO,EUEPUBBDGPSIOldWH,PUBBDGPSIOldWH,2015,ADEMPUBBDGPSIOldWH,0.0096666350549775,PublicBuildingPost-Secondary InstitutionOldWater HeatingPost-Secondary Institution
TO,EUEPUBBDGSBDOldWH,PUBBDGSBDOldWH,2015,ADEMPUBBDGSBDOldWH,0.01797702705502007,PublicBuildingSchool boardOldWater HeatingSchool board
TO,EUEPUBBDGHSPNewLI,PUBBDGHSPNewLI,2015,ADEMPUBBDGHSPNewLI,0.005022750685005978,PublicBuildingHospitalNewLightingHospital
TO,EUEPUBBDGMUNNewLI,PUBBDGMUNNewLI,2015,ADEMPUBBDGMUNNewLI,0.009062991945032267,PublicBuildingMunicipalityNewLightingMunicipality
TO,EUEPUBBDGPSINewLI,PUBBDGPSINewLI,2015,ADEMPUBBDGPSINewLI,0.007283056770245881,PublicBuildingPost-Secondary InstitutionNewLightingPost-Secondary Institution
TO,EUEPUBBDGSBDNewLI,PUBBDGSBDNewLI,2015,ADEMPUBBDGSBDNewLI,0.013222041094849288,PublicBuildingSchool boardNewLightingSchool board
TO,EUEPUBBDGHSPNewSC,PUBBDGHSPNewSC,2015,ADEMPUBBDGHSPNewSC,0.001531905439246365,PublicBuildingHospitalNewSpace CoolingHospital
TO,EUEPUBBDGMUNNewSC,PUBBDGMUNNewSC,2015,ADEMPUBBDGMUNNewSC,0.002428812554802184,PublicBuildingMunicipalityNewSpace CoolingMunicipality
TO,EUEPUBBDGPSINewSC,PUBBDGPSINewSC,2015,ADEMPUBBDGPSINewSC,0.002420639425600359,PublicBuildingPost-Secondary InstitutionNewSpace CoolingPost-Secondary Institution
TO,EUEPUBBDGSBDNewSC,PUBBDGSBDNewSC,2015,ADEMPUBBDGSBDNewSC,0.0037853532972136304,PublicBuildingSchool boardNewSpace CoolingSchool board
TO,EUEPUBBDGHSPNewAM,PUBBDGHSPNewAM,2015,ADEMPUBBDGHSPNewAM,0.015523144681760803,PublicBuildingHospitalNewAuxiliary MotorsHospital
TO,EUEPUBBDGMUNNewAM,PUBBDGMUNNewAM,2015,ADEMPUBBDGMUNNewAM,0.023237742338812203,PublicBuildingMunicipalityNewAuxiliary MotorsMunicipality
