regions,season_name,time_of_day_name,tech,cf_tech,cf_tech_notes
TO,W,D,FRETRAROATRULGTCONVGAS_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalGasoline
TO,W,D,FRETRAROATRULGTCONVPRO_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalPropane
TO,W,D,FRETRAROATRULGTCONVDSL_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel
TO,W,D,FRETRAROATRUMETCONVGAS_EX,0.017155576019927322,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalGasoline
TO,W,D,FRETRAROATRUMETCONVDSL_EX,0.017155576019927322,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalDiesel
TO,W,D,FRETRAROATRUHETCONVDSL_EX,0.11713140702021627,Freight TransportationTransportationRoadTruckHeavy TrucksConventionnalDiesel
TO,W,D,FRETRAAIR_________ATF_EX,0.002594437525944375,Freight TransportationTransportationAirAviation Turbo Fuel
TO,W,D,FRETRAAIR_________AGA_EX,0.002594437525944375,Freight TransportationTransportationAirAviation Gasoline
TO,W,D,FRETRARAI_________DSL_EX,0.2828077774659144,Freight TransportationTransportationRailDiesel
TO,W,D,FRETRAMAR_________ALL_EX,3.80517503805175e-06,Freight TransportationTransportationMarineAll
TO,W,N,FRETRAROATRULGTCONVGAS_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalGasoline
TO,W,N,FRETRAROATRULGTCONVPRO_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalPropane
TO,W,N,FRETRAROATRULGTCONVDSL_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel
TO,W,N,FRETRAROATRUMETCONVGAS_EX,0.017155576019927322,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalGasoline
TO,W,N,FRETRAROATRUMETCONVDSL_EX,0.017155576019927322,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalDiesel
TO,W,N,FRETRAROATRUHETCONVDSL_EX,0.11713140702021627,Freight TransportationTransportationRoadTruckHeavy TrucksConventionnalDiesel
TO,W,N,FRETRAAIR_________ATF_EX,0.002594437525944375,Freight TransportationTransportationAirAviation Turbo Fuel
TO,W,N,FRETRAAIR_________AGA_EX,0.002594437525944375,Freight TransportationTransportationAirAviation Gasoline
TO,W,N,FRETRARAI_________DSL_EX,0.2828077774659144,Freight TransportationTransportationRailDiesel
TO,W,N,FRETRAMAR_________ALL_EX,3.80517503805175e-06,Freight TransportationTransportationMarineAll
TO,W,P1,FRETRAROATRULGTCONVGAS_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalGasoline
TO,W,P1,FRETRAROATRULGTCONVPRO_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalPropane
TO,W,P1,FRETRAROATRULGTCONVDSL_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel
TO,W,P1,FRETRAROATRUMETCONVGAS_EX,0.017155576019927322,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalGasoline
TO,W,P1,FRETRAROATRUMETCONVDSL_EX,0.017155576019927322,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalDiesel
TO,W,P1,FRETRAROATRUHETCONVDSL_EX,0.11713140702021627,Freight TransportationTransportationRoadTruckHeavy TrucksConventionnalDiesel
TO,W,P1,FRETRAAIR_________ATF_EX,0.002594437525944375,Freight TransportationTransportationAirAviation Turbo Fuel
TO,W,P1,FRETRAAIR_________AGA_EX,0.002594437525944375,Freight TransportationTransportationAirAviation Gasoline
TO,W,P1,FRETRARAI_________DSL_EX,0.2828077774659144,Freight TransportationTransportationRailDiesel
TO,W,P1,FRETRAMAR_________ALL_EX,3.80517503805175e-06,Freight TransportationTransportationMarineAll
TO,W,P2,FRETRAROATRULGTCONVGAS_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalGasoline
TO,W,P2,FRETRAROATRULGTCONVPRO_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalPropane
TO,W,P2,FRETRAROATRULGTCONVDSL_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel
TO,W,P2,FRETRAROATRUMETCONVGAS_EX,0.017155576019927322,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalGasoline
TO,W,P2,FRETRAROATRUMETCONVDSL_EX,0.017155576019927322,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalDiesel
TO,W,P2,FRETRAROATRUHETCONVDSL_EX,0.11713140702021627,Freight TransportationTransportationRoadTruckHeavy TrucksConventionnalDiesel
TO,W,P2,FRETRAAIR_________ATF_EX,0.002594437525944375,Freight TransportationTransportationAirAviation Turbo Fuel
TO,W,P2,FRETRAAIR_________AGA_EX,0.002594437525944375,Freight TransportationTransportationAirAviation Gasoline
TO,W,P2,FRETRARAI_________DSL_EX,0.2828077774659144,Freight TransportationTransportationRailDiesel
TO,W,P2,FRETRAMAR_________ALL_EX,3.80517503805175e-06,Freight TransportationTransportationMarineAll
TO,S,D,FRETRAROATRULGTCONVGAS_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalGasoline
TO,S,D,FRETRAROATRULGTCONVPRO_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalPropane
TO,S,D,FRETRAROATRULGTCONVDSL_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel
TO,S,D,FRETRAROATRUMETCONVGAS_EX,0.017155576019927322,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalGasoline
