regions,tech,c2a,c2a_notes
TO,FRETRAROATRULGTCONVGAS_EX,788.4,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalGasoline
TO,FRETRAROATRULGTCONVPRO_EX,788.4,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalPropane
TO,FRETRAROATRULGTCONVDSL_EX,788.4,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel
TO,FRETRAROATRUMETCONVGAS_EX,788.4,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalGasoline
TO,FRETRAROATRUMETCONVDSL_EX,788.4,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalDiesel
TO,FRETRAROATRUHETCONVDSL_EX,788.4,Freight TransportationTransportationRoadTruckHeavy TrucksConventionnalDiesel
TO,FRETRAAIR_________ATF_EX,7708.8,Freight TransportationTransportationAirAviation Turbo Fuel
TO,FRETRAAIR_________AGA_EX,7708.8,Freight TransportationTransportationAirAviation Gasoline
TO,FRETRARAI_________DSL_EX,876.0,Freight TransportationTransportationRailDiesel
TO,FRETRAMAR_________ALL_EX,262.8,Freight TransportationTransportationMarineAll
