regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,FRETRAGAS,FRETRAROATRULGTCONVGAS_EX,2015,VKTFRETRAROATRULGT,0.133192851,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalGasoline
TO,FRETRAETH,FRETRAROATRULGTCONVGAS_EX,2015,VKTFRETRAROATRULGT,0.133192851,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalGasoline
TO,FRETRACETH,FRETRAROATRULGTCONVGAS_EX,2015,VKTFRETRAROATRULGT,0.133192851,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalGasoline
TO,FRETRAPRO,FRETRAROATRULGTCONVPRO_EX,2015,VKTFRETRAROATRULGT,0.133192851,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalPropane
TO,FRETRADSL,FRETRAROATRULGTCONVDSL_EX,2015,VKTFRETRAROATRULGT,0.133192851,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel
TO,FRETRABDSL,FRETRAROATRULGTCONVDSL_EX,2015,VKTFRETRAROATRULGT,0.133192851,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel
TO,FRETRAFTDSL,FRETRAROATRULGTCONVDSL_EX,2015,VKTFRETRAROATRULGT,0.133192851,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel
TO,FRETRAGAS,FRETRAROATRUMETCONVGAS_EX,2015,VKTFRETRAROATRUMET,0.090365559,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalGasoline
TO,FRETRAETH,FRETRAROATRUMETCONVGAS_EX,2015,VKTFRETRAROATRUMET,0.090365559,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalGasoline
TO,FRETRACETH,FRETRAROATRUMETCONVGAS_EX,2015,VKTFRETRAROATRUMET,0.090365559,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalGasoline
TO,FRETRADSL,FRETRAROATRUMETCONVDSL_EX,2015,VKTFRETRAROATRUMET,0.090365559,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalDiesel
TO,FRETRABDSL,FRETRAROATRUMETCONVDSL_EX,2015,VKTFRETRAROATRUMET,0.090365559,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalDiesel
TO,FRETRAFTDSL,FRETRAROATRUMETCONVDSL_EX,2015,VKTFRETRAROATRUMET,0.090365559,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalDiesel
TO,FRETRADSL,FRETRAROATRUHETCONVDSL_EX,2015,VKTFRETRAROATRUHET,0.063266252,Freight TransportationTransportationRoadTruckHeavy TrucksConventionnalDiesel
