regions,tech,life,life_notes
TO,FRETRAROATRULGTCONVGAS_EX,20,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalGasoline
TO,FRETRAROATRULGTCONVPRO_EX,20,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalPropane
TO,FRETRAROATRULGTCONVDSL_EX,20,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel
TO,FRETRAROATRUMETCONVGAS_EX,20,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalGasoline
TO,FRETRAROATRUMETCONVDSL_EX,20,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalDiesel
TO,FRETRAROATRUHETCONVDSL_EX,20,Freight TransportationTransportationRoadTruckHeavy TrucksConventionnalDiesel
TO,FRETRAAIR_________ATF_EX,25,Freight TransportationTransportationAirAviation Turbo Fuel
TO,FRETRAAIR_________AGA_EX,25,Freight TransportationTransportationAirAviation Gasoline
TO,FRETRARAI_________DSL_EX,50,Freight TransportationTransportationRailDiesel
TO,FRETRAMAR_________ALL_EX,200,Freight TransportationTransportationMarineAll
