regions,tech,c2a,c2a_notes
TO,FRETRAROATRULGTCONVDSL____23,788.4,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTHYBDSL____23,788.4,Freight TransportationTransportationRoadTruckPassenger Light TrucksHybridDiesel2023
TO,FRETRAROATRULGTBEVBELCF____23,788.4,Freight TransportationTransportationRoadTruckPassenger Light TrucksBattery Electric VehicleBattery Electricity Freight2023
TO,FRETRAROATRULGTCONVGAS____23,788.4,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,FRETRAROATRULGTHYBGAS____23,788.4,Freight TransportationTransportationRoadTruckPassenger Light TrucksHybridGasoline2023
TO,FRETRAROATRULGTPHEVGASBELCF_23,788.4,Freight TransportationTransportationRoadTruckPassenger Light TrucksPlug Hybrid VehicleGasolineBattery Electricity Freight2023
TO,FRETRAROATRULGTCELLHH2____23,788.4,Freight TransportationTransportationRoadTruckPassenger Light TrucksFuel Cell VehicleHydrogen2023
TO,FRETRAROATRULGTCONVNGA____23,788.4,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalNatural Gas2023
TO,FRETRAROATRULGTCONVPRO____23,788.4,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalPropane2023
TO,FRETRAROATRULGTCONVRDSL____23,788.4,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalRenewable Diesel2023
TO,FRETRAROATRULGTHYBRDSL____23,788.4,Freight TransportationTransportationRoadTruckPassenger Light TrucksHybridRenewable Diesel2023
TO,FRETRAROATRULGTCONVGAS____16,788.4,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalGasoline2016
TO,FRETRAROATRULGTCONVPRO____16,788.4,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalPropane2016
TO,FRETRAROATRULGTCONVDSL____16,788.4,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2016
TO,FRETRAROATRUMETCONVDSL____23,788.4,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalDiesel2023
TO,FRETRAROATRUMETHYBDSL____23,788.4,Freight TransportationTransportationRoadTruckMedium TrucksHybridDiesel2023
TO,FRETRAROATRUMETPHEVDSLBELCF_23,788.4,Freight TransportationTransportationRoadTruckMedium TrucksPlug Hybrid VehicleDieselBattery Electricity Freight2023
TO,FRETRAROATRUMETBEVBELCF____23,788.4,Freight TransportationTransportationRoadTruckMedium TrucksBattery Electric VehicleBattery Electricity Freight2023
TO,FRETRAROATRUMETCONVGAS____23,788.4,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalGasoline2023
TO,FRETRAROATRUMETCELLHH2____23,788.4,Freight TransportationTransportationRoadTruckMedium TrucksFuel Cell VehicleHydrogen2023
TO,FRETRAROATRUMETCONVNGA____23,788.4,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalNatural Gas2023
TO,FRETRAROATRUMETCONVPRO____23,788.4,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalPropane2023
TO,FRETRAROATRUMETCONVRDSL____23,788.4,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalRenewable Diesel2023
