regions,tech,vintage,cost_invest,cost_invest_units,cost_invest_notes
TO,FRETRAROATRULGTCONVDSL____23,2023,63561.11122,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2024,63945.0897,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2025,64329.06818,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2026,64806.98135,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2027,65284.89451,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2028,65762.80768,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2029,66240.72085,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2030,66718.63401,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2031,66862.86754,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2032,67007.10106,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2033,67151.33459,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2034,67295.56811,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2035,67439.80163,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2036,67567.27314,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2037,67694.74465,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2038,67822.21616,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2039,67949.68767,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2040,68077.15918,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2041,68204.63069,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2042,68332.1022,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2043,68459.5737,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2044,68587.04521,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2045,68714.51672,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2046,68841.98823,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2047,68969.45974,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2048,69096.93124,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2049,69224.40275,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTCONVDSL____23,2050,69351.87426,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,FRETRAROATRULGTHYBDSL____23,2023,76397.45081,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksHybridDiesel2023
TO,FRETRAROATRULGTHYBDSL____23,2024,76444.57131,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksHybridDiesel2023
TO,FRETRAROATRULGTHYBDSL____23,2025,76491.6918,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksHybridDiesel2023
