regions,periods,tech,maxcap,maxcap_units,maxcap_notes
TO,2016,FRETRAROATRULGTCONVGAS____16,0,,
TO,2016,FRETRAROATRULGTCONVPRO____16,0,,
TO,2016,FRETRAROATRULGTCONVDSL____16,0,,
TO,2016,FRETRAROATRUMETCONVGAS____16,0,,
TO,2016,FRETRAROATRUMETCONVDSL____16,0,,
TO,2016,FRETRAROATRUHETCONVDSL____16,0,,
TO,2016,FRETRAAIR_________ATF____16,0,,
TO,2016,FRETRAAIR_________AGA____16,0,,
TO,2016,FRETRARAI_________DSL____16,0,,
TO,2017,FRETRAROATRULGTCONVGAS____16,0.792814592,,
TO,2017,FRETRAROATRULGTCONVPRO____16,0.06005452,,
TO,2017,FRETRAROATRULGTCONVDSL____16,0.293464918,,
TO,2017,FRETRAROATRUMETCONVGAS____16,0.025557253,,
TO,2017,FRETRAROATRUMETCONVDSL____16,0.155045142,,
TO,2017,FRETRAROATRUHETCONVDSL____16,0.023791278,,
TO,2017,FRETRAAIR_________ATF____16,0.006953295,,
TO,2017,FRETRAAIR_________AGA____16,0.002314712,,
TO,2017,FRETRARAI_________DSL____16,0.001850815,,
TO,2018,FRETRAROATRULGTCONVGAS____16,1.584202626,,
TO,2018,FRETRAROATRULGTCONVPRO____16,0.10769324,,
TO,2018,FRETRAROATRULGTCONVDSL____16,0.585411492,,
TO,2018,FRETRAROATRUMETCONVGAS____16,0.041148717,,
TO,2018,FRETRAROATRUMETCONVDSL____16,0.314656656,,
TO,2018,FRETRAROATRUHETCONVDSL____16,0.039862314,,
TO,2018,FRETRAAIR_________ATF____16,0.011507893,,
TO,2018,FRETRAAIR_________AGA____16,0.003352939,,
TO,2018,FRETRARAI_________DSL____16,0.002648799,,
TO,2019,FRETRAROATRULGTCONVGAS____16,2.377875347,,
TO,2019,FRETRAROATRULGTCONVPRO____16,0.172811011,,
TO,2019,FRETRAROATRULGTCONVDSL____16,0.870889864,,
TO,2019,FRETRAROATRUMETCONVGAS____16,0.065764942,,
TO,2019,FRETRAROATRUMETCONVDSL____16,0.465526553,,
TO,2019,FRETRAROATRUHETCONVDSL____16,0.062515114,,
TO,2019,FRETRAAIR_________ATF____16,0.017759571,,
TO,2019,FRETRAAIR_________AGA____16,0.004324211,,
TO,2019,FRETRARAI_________DSL____16,0.003429087,,
TO,2020,FRETRAROATRULGTCONVGAS____16,43.15266064,,
TO,2020,FRETRAROATRULGTCONVPRO____16,2.797183651,,
TO,2020,FRETRAROATRULGTCONVDSL____16,15.67762525,,
TO,2020,FRETRAROATRUMETCONVGAS____16,0.425987991,,
TO,2020,FRETRAROATRUMETCONVDSL____16,8.105561597,,
TO,2020,FRETRAROATRUHETCONVDSL____16,0.666271163,,
TO,2020,FRETRAAIR_________ATF____16,0.027913259,,
TO,2020,FRETRAAIR_________AGA____16,0.005226936,,
TO,2020,FRETRARAI_________DSL____16,0.004185423,,
TO,2021,FRETRAROATRULGTCONVGAS____16,43.94604214,,
TO,2021,FRETRAROATRULGTCONVPRO____16,2.843026736,,
TO,2021,FRETRAROATRULGTCONVDSL____16,15.96936386,,
TO,2021,FRETRAROATRUMETCONVGAS____16,0.436141568,,
TO,2021,FRETRAROATRUMETCONVDSL____16,8.254252655,,
TO,2021,FRETRAROATRUHETCONVDSL____16,0.6796938,,
TO,2021,FRETRAAIR_________ATF____16,0.031727846,,
TO,2021,FRETRAAIR_________AGA____16,0.006124189,,
TO,2021,FRETRARAI_________DSL____16,0.004915496,,
TO,2022,FRETRAROATRULGTCONVGAS____16,44.50454245,,
TO,2022,FRETRAROATRULGTCONVPRO____16,2.872482531,,
TO,2022,FRETRAROATRULGTCONVDSL____16,16.17464245,,
TO,2022,FRETRAROATRUMETCONVGAS____16,0.443836096,,
TO,2022,FRETRAROATRUMETCONVDSL____16,8.350059018,,
TO,2022,FRETRAROATRUHETCONVDSL____16,0.685944483,,
TO,2022,FRETRAAIR_________ATF____16,0.032668768,,
TO,2022,FRETRAAIR_________AGA____16,0.006945449,,
TO,2022,FRETRARAI_________DSL____16,0.005615427,,
