tech,flag,sector,tech_desc,tech_category
FRETRAROATRULGTCONVDSL____23,p,FRETRA,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023,
FRETRAROATRULGTHYBDSL____23,p,FRETRA,Freight TransportationTransportationRoadTruckPassenger Light TrucksHybridDiesel2023,
FRETRAROATRULGTBEVBELCF____23,p,FRETRA,Freight TransportationTransportationRoadTruckPassenger Light TrucksBattery Electric VehicleBattery Electricity Freight2023,
FRETRAROATRULGTCONVGAS____23,p,FRETRA,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalGasoline2023,
FRETRAROATRULGTHYBGAS____23,p,FRETRA,Freight TransportationTransportationRoadTruckPassenger Light TrucksHybridGasoline2023,
FRETRAROATRULGTCELLHH2____23,p,FRETRA,Freight TransportationTransportationRoadTruckPassenger Light TrucksFuel Cell VehicleHydrogen2023,
FRETRAROATRULGTCONVPRO____23,p,FRETRA,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalPropane2023,
FRETRAROATRULGTCONVGAS____16,p,FRETRA,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalGasoline2016,
FRETRAROATRULGTCONVPRO____16,p,FRETRA,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalPropane2016,
FRETRAROATRULGTCONVDSL____16,p,FRETRA,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2016,
FRETRAROATRUMETCONVDSL____23,p,FRETRA,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalDiesel2023,
FRETRAROATRUMETHYBDSL____23,p,FRETRA,Freight TransportationTransportationRoadTruckMedium TrucksHybridDiesel2023,
FRETRAROATRUMETBEVBELCF____23,p,FRETRA,Freight TransportationTransportationRoadTruckMedium TrucksBattery Electric VehicleBattery Electricity Freight2023,
FRETRAROATRUMETCONVGAS____23,p,FRETRA,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalGasoline2023,
FRETRAROATRUMETCELLHH2____23,p,FRETRA,Freight TransportationTransportationRoadTruckMedium TrucksFuel Cell VehicleHydrogen2023,
FRETRAROATRUMETCONVPRO____23,p,FRETRA,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalPropane2023,
FRETRAROATRUMETCONVGAS____16,p,FRETRA,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalGasoline2016,
FRETRAROATRUMETCONVDSL____16,p,FRETRA,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalDiesel2016,
FRETRAROATRUHETCONVDSL____23,p,FRETRA,Freight TransportationTransportationRoadTruckHeavy TrucksConventionnalDiesel2023,
FRETRAROATRUHETHYBDSL____23,p,FRETRA,Freight TransportationTransportationRoadTruckHeavy TrucksHybridDiesel2023,
FRETRAROATRUHETBEVBELCF____25,p,FRETRA,Freight TransportationTransportationRoadTruckHeavy TrucksBattery Electric VehicleBattery Electricity Freight2025,
FRETRAROATRUHETCATEELC____25,p,FRETRA,Freight TransportationTransportationRoadTruckHeavy TrucksCatenaryElectricity2025,
FRETRAROATRUHETCELLHH2____25,p,FRETRA,Freight TransportationTransportationRoadTruckHeavy TrucksFuel Cell VehicleHydrogen2025,
FRETRAROATRUHETCONVDSL____16,p,FRETRA,Freight TransportationTransportationRoadTruckHeavy TrucksConventionnalDiesel2016,
FRETRAAIR_________AGA____23,p,FRETRA,Freight TransportationTransportationAirAviation Gasoline2023,
FRETRAAIR_________ATF____23,p,FRETRA,Freight TransportationTransportationAirAviation Turbo Fuel2023,
FRETRAAIR_________ATF____16,p,FRETRA,Freight TransportationTransportationAirAviation Turbo Fuel2016,
FRETRAAIR_________AGA____16,p,FRETRA,Freight TransportationTransportationAirAviation Gasoline2016,
FRETRARAI_________DSL____23,p,FRETRA,Freight TransportationTransportationRailDiesel2023,
FRETRARAI_________ELC____25,p,FRETRA,Freight TransportationTransportationRailElectricity2025,
FRETRARAI_________DSL____16,p,FRETRA,Freight TransportationTransportationRailDiesel2016,
FRETRAROATRULGTPHEVGASBELCF_23,p,FRETRA,Freight TransportationTransportationRoadTruckPassenger Light TrucksPlug Hybrid VehicleGasolineBattery Electricity Freight2023,
FRETRAROATRULGTCONVNGA____23,p,FRETRA,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalNatural Gas2023,
FRETRAROATRULGTCONVRDSL____23,p,FRETRA,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalRenewable Diesel2023,
FRETRAROATRULGTHYBRDSL____23,p,FRETRA,Freight TransportationTransportationRoadTruckPassenger Light TrucksHybridRenewable Diesel2023,
FRETRAROATRUMETPHEVDSLBELCF_23,p,FRETRA,Freight TransportationTransportationRoadTruckMedium TrucksPlug Hybrid VehicleDieselBattery Electricity Freight2023,
FRETRAROATRUMETCONVNGA____23,p,FRETRA,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalNatural Gas2023,
FRETRAROATRUMETCONVRDSL____23,p,FRETRA,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalRenewable Diesel2023,
FRETRAROATRUMETHYBRDSL____23,p,FRETRA,Freight TransportationTransportationRoadTruckMedium TrucksHybridRenewable Diesel2023,
FRETRAROATRUHETCATEDSLELC_25,p,FRETRA,Freight TransportationTransportationRoadTruckHeavy TrucksCatenaryDieselElectricity2025,
FRETRAROATRUHETPHEVDSLBELCF_23,p,FRETRA,Freight TransportationTransportationRoadTruckHeavy TrucksPlug Hybrid VehicleDieselBattery Electricity Freight2023,
FRETRAROATRUHETCATENGAELC_25,p,FRETRA,Freight TransportationTransportationRoadTruckHeavy TrucksCatenaryNatural GasElectricity2025,
FRETRAROATRUHETCONVNGA____23,p,FRETRA,Freight TransportationTransportationRoadTruckHeavy TrucksConventionnalNatural Gas2023,
FRETRAROATRUHETPHEVNGABELCF_23,p,FRETRA,Freight TransportationTransportationRoadTruckHeavy TrucksPlug Hybrid VehicleNatural GasBattery Electricity Freight2023,
FRETRAROATRUHETCONVRDSL____23,p,FRETRA,Freight TransportationTransportationRoadTruckHeavy TrucksConventionnalRenewable Diesel2023,
FRETRAROATRUHETHYBRDSL____23,p,FRETRA,Freight TransportationTransportationRoadTruckHeavy TrucksHybridRenewable Diesel2023,
FRETRARAI_________RDSL____23,p,FRETRA,Freight TransportationTransportationRailRenewable Diesel2023,
FRETRAROATRUMETPHEVRDSLBELCF_23,p,FRETRA,Freight TransportationTransportationRoadTruckMedium TrucksPlug Hybrid VehicleRenewable DieselBattery Electricity Freight2023,
FRETRAROATRUHETCATERDSLELC_25,p,FRETRA,Freight TransportationTransportationRoadTruckHeavy TrucksCatenaryRenewable DieselElectricity2025,
FRETRAROATRUHETPHEVRDSLBELCF_23,p,FRETRA,Freight TransportationTransportationRoadTruckHeavy TrucksPlug Hybrid VehicleRenewable DieselBattery Electricity Freight2023,
