regions,tech,c2a,c2a_notes
TO,PASTRARAIREG___GOR___DSL_EX,560.64,PassengerTransportationRailRegionalGO railDiesel
TO,PASTRARAIREG___UPX___DSL_EX,560.64,PassengerTransportationRailRegionalUp ExpressDiesel
TO,PASTRARAISUB___TSU___ELC_EX,350.40000000000003,PassengerTransportationRailSubwaySubwayElectricity
TO,PASTRARAITRM___TST___ELC_EX,350.40000000000003,PassengerTransportationRailTramwayStreetcarElectricity
TO,PASTRAROABUSIUBGOBCONVDSL_EX,350.40000000000003,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel
TO,PASTRAROABUSURBTBUCONVDSL_EX,157.68,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel
TO,PASTRAROABUSURBWTBCONVDSL_EX,157.68,PassengerTransportationRoadInter-city BusesUrban Bus TTC Wheel trans paraConventionnalDiesel
TO,PASTRAROABUSIUBMWAYCONVDSL_EX,350.40000000000003,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusConventionnalDiesel
TO,PASTRAROABUSIUBVIVACONVDSL_EX,350.40000000000003,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusConventionnalDiesel
TO,PASTRAROABUSIUBDURTCONVDSL_EX,350.40000000000003,PassengerTransportationRoadInter-city BusesInter Urban BusDurham RTConventionnalDiesel
TO,PASTRAROABUSSCB___CONVNGA_EX,157.68,PassengerTransportationRoadInter-city BusesSchool BusConventionnalNatural Gas
TO,PASTRAROABUSSCB___CONVGAS_EX,157.68,PassengerTransportationRoadInter-city BusesSchool BusConventionnalGasoline
TO,PASTRAROABUSSCB___CONVDSL_EX,157.68,PassengerTransportationRoadInter-city BusesSchool BusConventionnalDiesel
TO,PASTRAROACAR___RSHCONVNGA_EX,350.40000000000003,PassengerTransportationRoadCarsPaid RidershareConventionnalNatural Gas
TO,PASTRAROACAR___RSHCONVGAS_EX,350.40000000000003,PassengerTransportationRoadCarsPaid RidershareConventionnalGasoline
TO,PASTRAROACAR___RSHCONVDSL_EX,350.40000000000003,PassengerTransportationRoadCarsPaid RidershareConventionnalDiesel
TO,PASTRAROACAR___RSHCONVPRO_EX,350.40000000000003,PassengerTransportationRoadCarsPaid RidershareConventionnalPropane
TO,PASTRAROACAR___TAXCONVNGA_EX,350.40000000000003,PassengerTransportationRoadCarsTaxi passengerConventionnalNatural Gas
TO,PASTRAROACAR___TAXCONVGAS_EX,350.40000000000003,PassengerTransportationRoadCarsTaxi passengerConventionnalGasoline
TO,PASTRAROACAR___TAXCONVDSL_EX,350.40000000000003,PassengerTransportationRoadCarsTaxi passengerConventionnalDiesel
TO,PASTRAROACAR___TAXCONVPRO_EX,350.40000000000003,PassengerTransportationRoadCarsTaxi passengerConventionnalPropane
TO,PASTRAROACAR___ADRCONVNGA_EX,350.40000000000003,PassengerTransportationRoadCarsAuto driverConventionnalNatural Gas
TO,PASTRAROACAR___ADRCONVGAS_EX,350.40000000000003,PassengerTransportationRoadCarsAuto driverConventionnalGasoline
TO,PASTRAROACAR___ADRCONVDSL_EX,350.40000000000003,PassengerTransportationRoadCarsAuto driverConventionnalDiesel
TO,PASTRAROACAR___ADRCONVPRO_EX,350.40000000000003,PassengerTransportationRoadCarsAuto driverConventionnalPropane
TO,PASTRAROACAR___APGCONVNGA_EX,350.40000000000003,PassengerTransportationRoadCarsAuto passengerConventionnalNatural Gas
TO,PASTRAROACAR___APGCONVGAS_EX,350.40000000000003,PassengerTransportationRoadCarsAuto passengerConventionnalGasoline
TO,PASTRAROACAR___APGCONVDSL_EX,350.40000000000003,PassengerTransportationRoadCarsAuto passengerConventionnalDiesel
