regions,tech,life,life_notes
TO,PASTRARAIREG___GOR___DSL_EX,50,PassengerTransportationRailRegionalGO railDiesel
TO,PASTRARAIREG___UPX___DSL_EX,50,PassengerTransportationRailRegionalUp ExpressDiesel
TO,PASTRARAISUB___TSU___ELC_EX,30,PassengerTransportationRailSubwaySubwayElectricity
TO,PASTRARAITRM___TST___ELC_EX,30,PassengerTransportationRailTramwayStreetcarElectricity
TO,PASTRAROABUSIUBGOBCONVDSL_EX,20,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel
TO,PASTRAROABUSURBTBUCONVDSL_EX,20,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel
TO,PASTRAROABUSURBWTBCONVDSL_EX,20,PassengerTransportationRoadInter-city BusesUrban Bus TTC Wheel trans paraConventionnalDiesel
TO,PASTRAROABUSIUBMWAYCONVDSL_EX,20,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusConventionnalDiesel
TO,PASTRAROABUSIUBVIVACONVDSL_EX,20,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusConventionnalDiesel
TO,PASTRAROABUSIUBDURTCONVDSL_EX,20,PassengerTransportationRoadInter-city BusesInter Urban BusDurham RTConventionnalDiesel
TO,PASTRAROABUSSCB___CONVNGA_EX,20,PassengerTransportationRoadInter-city BusesSchool BusConventionnalNatural Gas
TO,PASTRAROABUSSCB___CONVGAS_EX,20,PassengerTransportationRoadInter-city BusesSchool BusConventionnalGasoline
TO,PASTRAROABUSSCB___CONVDSL_EX,20,PassengerTransportationRoadInter-city BusesSchool BusConventionnalDiesel
TO,PASTRAROACAR___RSHCONVNGA_EX,20,PassengerTransportationRoadCarsPaid RidershareConventionnalNatural Gas
TO,PASTRAROACAR___RSHCONVGAS_EX,20,PassengerTransportationRoadCarsPaid RidershareConventionnalGasoline
TO,PASTRAROACAR___RSHCONVDSL_EX,20,PassengerTransportationRoadCarsPaid RidershareConventionnalDiesel
TO,PASTRAROACAR___RSHCONVPRO_EX,20,PassengerTransportationRoadCarsPaid RidershareConventionnalPropane
TO,PASTRAROACAR___TAXCONVNGA_EX,20,PassengerTransportationRoadCarsTaxi passengerConventionnalNatural Gas
TO,PASTRAROACAR___TAXCONVGAS_EX,20,PassengerTransportationRoadCarsTaxi passengerConventionnalGasoline
TO,PASTRAROACAR___TAXCONVDSL_EX,20,PassengerTransportationRoadCarsTaxi passengerConventionnalDiesel
TO,PASTRAROACAR___TAXCONVPRO_EX,20,PassengerTransportationRoadCarsTaxi passengerConventionnalPropane
TO,PASTRAROACAR___ADRCONVNGA_EX,20,PassengerTransportationRoadCarsAuto driverConventionnalNatural Gas
TO,PASTRAROACAR___ADRCONVGAS_EX,20,PassengerTransportationRoadCarsAuto driverConventionnalGasoline
TO,PASTRAROACAR___ADRCONVDSL_EX,20,PassengerTransportationRoadCarsAuto driverConventionnalDiesel
TO,PASTRAROACAR___ADRCONVPRO_EX,20,PassengerTransportationRoadCarsAuto driverConventionnalPropane
TO,PASTRAROACAR___APGCONVNGA_EX,20,PassengerTransportationRoadCarsAuto passengerConventionnalNatural Gas
TO,PASTRAROACAR___APGCONVGAS_EX,20,PassengerTransportationRoadCarsAuto passengerConventionnalGasoline
TO,PASTRAROACAR___APGCONVDSL_EX,20,PassengerTransportationRoadCarsAuto passengerConventionnalDiesel
TO,PASTRAROACAR___APGCONVPRO_EX,20,PassengerTransportationRoadCarsAuto passengerConventionnalPropane
TO,PASTRAROATRULGTRSHCONVNGA_EX,20,PassengerTransportationRoadTruckPassenger Light TrucksPaid RidershareConventionnalNatural Gas
TO,PASTRAROATRULGTRSHCONVGAS_EX,20,PassengerTransportationRoadTruckPassenger Light TrucksPaid RidershareConventionnalGasoline
TO,PASTRAROATRULGTRSHCONVDSL_EX,20,PassengerTransportationRoadTruckPassenger Light TrucksPaid RidershareConventionnalDiesel
TO,PASTRAROATRULGTRSHCONVPRO_EX,20,PassengerTransportationRoadTruckPassenger Light TrucksPaid RidershareConventionnalPropane
TO,PASTRAROATRULGTTAXCONVNGA_EX,20,PassengerTransportationRoadTruckPassenger Light TrucksTaxi passengerConventionnalNatural Gas
TO,PASTRAROATRULGTTAXCONVGAS_EX,20,PassengerTransportationRoadTruckPassenger Light TrucksTaxi passengerConventionnalGasoline
TO,PASTRAROATRULGTTAXCONVDSL_EX,20,PassengerTransportationRoadTruckPassenger Light TrucksTaxi passengerConventionnalDiesel
