regions,periods,input_comm,tech,ti_split,ti_split_notes
TO,2016,PASTRADSL,PASTRARAIREG___GOR___DSL_EX,1.0,
TO,2016,PASTRADSL,PASTRARAIREG___UPX___DSL_EX,1.0,
TO,2016,PASTRAELC,PASTRARAISUB___TSU___ELC_EX,0.7195772468265701,
TO,2016,PASTRANGA,PASTRARAISUB___TSU___ELC_EX,0.2804227531734299,
TO,2016,PASTRAELC,PASTRARAITRM___TST___ELC_EX,0.7195772468265701,
TO,2016,PASTRANGA,PASTRARAITRM___TST___ELC_EX,0.2804227531734299,
TO,2016,PASTRADSL,PASTRAROABUSIUBGOBCONVDSL_EX,1.0,
TO,2016,PASTRADSL,PASTRAROABUSURBTBUCONVDSL_EX,1.0,
TO,2016,PASTRADSL,PASTRAROABUSURBWTBCONVDSL_EX,1.0,
TO,2016,PASTRADSL,PASTRAROABUSIUBMWAYCONVDSL_EX,1.0,
TO,2016,PASTRADSL,PASTRAROABUSIUBVIVACONVDSL_EX,1.0,
TO,2016,PASTRADSL,PASTRAROABUSIUBDURTCONVDSL_EX,1.0,
TO,2016,PASTRANGA,PASTRAROABUSSCB___CONVNGA_EX,1.0,
TO,2016,PASTRAGAS,PASTRAROABUSSCB___CONVGAS_EX,1.0,
TO,2016,PASTRADSL,PASTRAROABUSSCB___CONVDSL_EX,1.0,
TO,2016,PASTRANGA,PASTRAROACAR___RSHCONVNGA_EX,1.0,
TO,2016,PASTRAGAS,PASTRAROACAR___RSHCONVGAS_EX,0.9461278145582585,
TO,2016,PASTRAETH,PASTRAROACAR___RSHCONVGAS_EX,0.05387218544174155,
TO,2016,PASTRADSL,PASTRAROACAR___RSHCONVDSL_EX,1.0,
TO,2016,PASTRAPRO,PASTRAROACAR___RSHCONVPRO_EX,1.0,
TO,2016,PASTRANGA,PASTRAROACAR___TAXCONVNGA_EX,1.0,
TO,2016,PASTRAGAS,PASTRAROACAR___TAXCONVGAS_EX,0.9461278145582585,
TO,2016,PASTRAETH,PASTRAROACAR___TAXCONVGAS_EX,0.05387218544174155,
TO,2016,PASTRADSL,PASTRAROACAR___TAXCONVDSL_EX,1.0,
TO,2016,PASTRAPRO,PASTRAROACAR___TAXCONVPRO_EX,1.0,
TO,2016,PASTRANGA,PASTRAROACAR___ADRCONVNGA_EX,1.0,
TO,2016,PASTRAGAS,PASTRAROACAR___ADRCONVGAS_EX,0.9461278145582585,
TO,2016,PASTRAETH,PASTRAROACAR___ADRCONVGAS_EX,0.05387218544174155,
TO,2016,PASTRADSL,PASTRAROACAR___ADRCONVDSL_EX,1.0,
TO,2016,PASTRAPRO,PASTRAROACAR___ADRCONVPRO_EX,1.0,
TO,2016,PASTRANGA,PASTRAROACAR___APGCONVNGA_EX,1.0,
TO,2016,PASTRAGAS,PASTRAROACAR___APGCONVGAS_EX,0.9461278145582585,
TO,2016,PASTRAETH,PASTRAROACAR___APGCONVGAS_EX,0.05387218544174155,
TO,2016,PASTRADSL,PASTRAROACAR___APGCONVDSL_EX,1.0,
TO,2016,PASTRAPRO,PASTRAROACAR___APGCONVPRO_EX,1.0,
TO,2016,PASTRANGA,PASTRAROATRULGTRSHCONVNGA_EX,1.0,
TO,2016,PASTRAGAS,PASTRAROATRULGTRSHCONVGAS_EX,1.0,
TO,2016,PASTRADSL,PASTRAROATRULGTRSHCONVDSL_EX,1.0,
TO,2016,PASTRAPRO,PASTRAROATRULGTRSHCONVPRO_EX,1.0,
TO,2016,PASTRANGA,PASTRAROATRULGTTAXCONVNGA_EX,1.0,
TO,2016,PASTRAGAS,PASTRAROATRULGTTAXCONVGAS_EX,1.0,
TO,2016,PASTRADSL,PASTRAROATRULGTTAXCONVDSL_EX,1.0,
TO,2016,PASTRAPRO,PASTRAROATRULGTTAXCONVPRO_EX,1.0,
TO,2016,PASTRANGA,PASTRAROATRULGTADRCONVNGA_EX,1.0,
TO,2016,PASTRAGAS,PASTRAROATRULGTADRCONVGAS_EX,1.0,
TO,2016,PASTRADSL,PASTRAROATRULGTADRCONVDSL_EX,1.0,
TO,2016,PASTRAPRO,PASTRAROATRULGTADRCONVPRO_EX,1.0,
TO,2016,PASTRANGA,PASTRAROATRULGTAPGCONVNGA_EX,1.0,
TO,2016,PASTRAGAS,PASTRAROATRULGTAPGCONVGAS_EX,1.0,
TO,2016,PASTRADSL,PASTRAROATRULGTAPGCONVDSL_EX,1.0,
TO,2016,PASTRAPRO,PASTRAROATRULGTAPGCONVPRO_EX,1.0,
TO,2016,PASTRAGAS,PASTRAROAMOR______CONVGAS_EX,1.0,
TO,2016,PASTRAETHOS,PASTRAROAWAL__________EX,1.0,
TO,2016,PASTRABELC,PASTRAROABIK_________BELC_EX,1.0,
TO,2016,PASTRAETHOS,PASTRAROABIK__________EX,1.0,
TO,2017,PASTRADSL,PASTRARAIREG___GOR___DSL_EX,1.0,
TO,2017,PASTRADSL,PASTRARAIREG___UPX___DSL_EX,1.0,
TO,2017,PASTRAELC,PASTRARAISUB___TSU___ELC_EX,0.7195772468265701,
TO,2017,PASTRANGA,PASTRARAISUB___TSU___ELC_EX,0.2804227531734299,
TO,2017,PASTRAELC,PASTRARAITRM___TST___ELC_EX,0.7195772468265701,
TO,2017,PASTRANGA,PASTRARAITRM___TST___ELC_EX,0.2804227531734299,
TO,2017,PASTRADSL,PASTRAROABUSIUBGOBCONVDSL_EX,0.971836196753392,
TO,2017,PASTRABDSL,PASTRAROABUSIUBGOBCONVDSL_EX,0.00563276064932152,
TO,2017,PASTRADSL,PASTRAROABUSURBTBUCONVDSL_EX,0.971836196753393,
TO,2017,PASTRABDSL,PASTRAROABUSURBTBUCONVDSL_EX,0.00563276064932153,
TO,2017,PASTRADSL,PASTRAROABUSURBWTBCONVDSL_EX,0.971836196753393,
TO,2017,PASTRABDSL,PASTRAROABUSURBWTBCONVDSL_EX,0.00563276064932153,
TO,2017,PASTRADSL,PASTRAROABUSIUBMWAYCONVDSL_EX,0.971836196753392,
TO,2017,PASTRABDSL,PASTRAROABUSIUBMWAYCONVDSL_EX,0.00563276064932152,
TO,2017,PASTRADSL,PASTRAROABUSIUBVIVACONVDSL_EX,0.971836196753392,
TO,2017,PASTRABDSL,PASTRAROABUSIUBVIVACONVDSL_EX,0.00563276064932152,
TO,2017,PASTRADSL,PASTRAROABUSIUBDURTCONVDSL_EX,0.971836196753392,
TO,2017,PASTRABDSL,PASTRAROABUSIUBDURTCONVDSL_EX,0.00563276064932152,
TO,2017,PASTRANGA,PASTRAROABUSSCB___CONVNGA_EX,1.0,
TO,2017,PASTRAGAS,PASTRAROABUSSCB___CONVGAS_EX,0.944263129514981,
TO,2017,PASTRAETH,PASTRAROABUSSCB___CONVGAS_EX,0.055736870485019,
TO,2017,PASTRADSL,PASTRAROABUSSCB___CONVDSL_EX,0.971836196753392,
TO,2017,PASTRABDSL,PASTRAROABUSSCB___CONVDSL_EX,0.00563276064932152,
TO,2017,PASTRANGA,PASTRAROACAR___RSHCONVNGA_EX,1.0,
TO,2017,PASTRAGAS,PASTRAROACAR___RSHCONVGAS_EX,0.944263129514981,
TO,2017,PASTRAETH,PASTRAROACAR___RSHCONVGAS_EX,0.055736870485019,
TO,2017,PASTRADSL,PASTRAROACAR___RSHCONVDSL_EX,0.971836196753392,
TO,2017,PASTRABDSL,PASTRAROACAR___RSHCONVDSL_EX,0.00563276064932152,
TO,2017,PASTRAPRO,PASTRAROACAR___RSHCONVPRO_EX,1.0,
TO,2017,PASTRANGA,PASTRAROACAR___TAXCONVNGA_EX,1.0,
TO,2017,PASTRAGAS,PASTRAROACAR___TAXCONVGAS_EX,0.944263129514981,
TO,2017,PASTRAETH,PASTRAROACAR___TAXCONVGAS_EX,0.055736870485019,
TO,2017,PASTRADSL,PASTRAROACAR___TAXCONVDSL_EX,0.971836196753392,
TO,2017,PASTRABDSL,PASTRAROACAR___TAXCONVDSL_EX,0.00563276064932152,
TO,2017,PASTRAPRO,PASTRAROACAR___TAXCONVPRO_EX,1.0,
TO,2017,PASTRANGA,PASTRAROACAR___ADRCONVNGA_EX,1.0,
TO,2017,PASTRAGAS,PASTRAROACAR___ADRCONVGAS_EX,0.944263129514981,
TO,2017,PASTRAETH,PASTRAROACAR___ADRCONVGAS_EX,0.055736870485019,
TO,2017,PASTRADSL,PASTRAROACAR___ADRCONVDSL_EX,0.971836196753392,
TO,2017,PASTRABDSL,PASTRAROACAR___ADRCONVDSL_EX,0.00563276064932152,
TO,2017,PASTRAPRO,PASTRAROACAR___ADRCONVPRO_EX,1.0,
TO,2017,PASTRANGA,PASTRAROACAR___APGCONVNGA_EX,1.0,
TO,2017,PASTRAGAS,PASTRAROACAR___APGCONVGAS_EX,0.944263129514981,
TO,2017,PASTRAETH,PASTRAROACAR___APGCONVGAS_EX,0.055736870485019,
TO,2017,PASTRADSL,PASTRAROACAR___APGCONVDSL_EX,0.971836196753392,
TO,2017,PASTRABDSL,PASTRAROACAR___APGCONVDSL_EX,0.00563276064932152,
TO,2017,PASTRAPRO,PASTRAROACAR___APGCONVPRO_EX,1.0,
TO,2017,PASTRANGA,PASTRAROATRULGTRSHCONVNGA_EX,1.0,
TO,2017,PASTRAGAS,PASTRAROATRULGTRSHCONVGAS_EX,0.944263129514981,
TO,2017,PASTRAETH,PASTRAROATRULGTRSHCONVGAS_EX,0.055736870485019,
TO,2017,PASTRADSL,PASTRAROATRULGTRSHCONVDSL_EX,0.971836196753392,
TO,2017,PASTRABDSL,PASTRAROATRULGTRSHCONVDSL_EX,0.00563276064932152,
TO,2017,PASTRAPRO,PASTRAROATRULGTRSHCONVPRO_EX,1.0,
TO,2017,PASTRANGA,PASTRAROATRULGTTAXCONVNGA_EX,1.0,
TO,2017,PASTRAGAS,PASTRAROATRULGTTAXCONVGAS_EX,0.944263129514981,
TO,2017,PASTRAETH,PASTRAROATRULGTTAXCONVGAS_EX,0.055736870485019,
TO,2017,PASTRADSL,PASTRAROATRULGTTAXCONVDSL_EX,0.971836196753392,
TO,2017,PASTRABDSL,PASTRAROATRULGTTAXCONVDSL_EX,0.00563276064932152,
TO,2017,PASTRAPRO,PASTRAROATRULGTTAXCONVPRO_EX,1.0,
TO,2017,PASTRANGA,PASTRAROATRULGTADRCONVNGA_EX,1.0,
TO,2017,PASTRAGAS,PASTRAROATRULGTADRCONVGAS_EX,0.944263129514981,
TO,2017,PASTRAETH,PASTRAROATRULGTADRCONVGAS_EX,0.055736870485019,
TO,2017,PASTRADSL,PASTRAROATRULGTADRCONVDSL_EX,0.971836196753392,
TO,2017,PASTRABDSL,PASTRAROATRULGTADRCONVDSL_EX,0.00563276064932152,
TO,2017,PASTRAPRO,PASTRAROATRULGTADRCONVPRO_EX,1.0,
TO,2017,PASTRANGA,PASTRAROATRULGTAPGCONVNGA_EX,1.0,
TO,2017,PASTRAGAS,PASTRAROATRULGTAPGCONVGAS_EX,0.944263129514981,
TO,2017,PASTRAETH,PASTRAROATRULGTAPGCONVGAS_EX,0.055736870485019,
TO,2017,PASTRADSL,PASTRAROATRULGTAPGCONVDSL_EX,0.971836196753392,
TO,2017,PASTRABDSL,PASTRAROATRULGTAPGCONVDSL_EX,0.00563276064932152,
TO,2017,PASTRAPRO,PASTRAROATRULGTAPGCONVPRO_EX,1.0,
TO,2017,PASTRAGAS,PASTRAROAMOR______CONVGAS_EX,0.944263129514981,
TO,2017,PASTRAETH,PASTRAROAMOR______CONVGAS_EX,0.055736870485019,
TO,2017,PASTRAETHOS,PASTRAROAWAL__________EX,1.0,
TO,2017,PASTRABELC,PASTRAROABIK_________BELC_EX,1.0,
TO,2017,PASTRAETHOS,PASTRAROABIK__________EX,1.0,
TO,2018,PASTRADSL,PASTRARAIREG___GOR___DSL_EX,1.0,
TO,2018,PASTRADSL,PASTRARAIREG___UPX___DSL_EX,1.0,
