regions,season_name,time_of_day_name,tech,cf_tech,cf_tech_notes
TO,W,D,PASTRAROABUSIUBGOBCATEDSLELC_25,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,W,N,PASTRAROABUSIUBGOBCATEDSLELC_25,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,W,P1,PASTRAROABUSIUBGOBCATEDSLELC_25,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,W,P2,PASTRAROABUSIUBGOBCATEDSLELC_25,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,F,D,PASTRAROABUSIUBGOBCATEDSLELC_25,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,F,N,PASTRAROABUSIUBGOBCATEDSLELC_25,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,F,P1,PASTRAROABUSIUBGOBCATEDSLELC_25,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,F,P2,PASTRAROABUSIUBGOBCATEDSLELC_25,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,S,D,PASTRAROABUSIUBGOBCATEDSLELC_25,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,S,N,PASTRAROABUSIUBGOBCATEDSLELC_25,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,S,P1,PASTRAROABUSIUBGOBCATEDSLELC_25,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,S,P2,PASTRAROABUSIUBGOBCATEDSLELC_25,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,R,D,PASTRAROABUSIUBGOBCATEDSLELC_25,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,R,N,PASTRAROABUSIUBGOBCATEDSLELC_25,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,R,P1,PASTRAROABUSIUBGOBCATEDSLELC_25,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,R,P2,PASTRAROABUSIUBGOBCATEDSLELC_25,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,W,D,PASTRAROABUSIUBGOBCONVDSL____23,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,W,N,PASTRAROABUSIUBGOBCONVDSL____23,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,W,P1,PASTRAROABUSIUBGOBCONVDSL____23,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,W,P2,PASTRAROABUSIUBGOBCONVDSL____23,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,F,D,PASTRAROABUSIUBGOBCONVDSL____23,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,F,N,PASTRAROABUSIUBGOBCONVDSL____23,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,F,P1,PASTRAROABUSIUBGOBCONVDSL____23,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,F,P2,PASTRAROABUSIUBGOBCONVDSL____23,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,S,D,PASTRAROABUSIUBGOBCONVDSL____23,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,S,N,PASTRAROABUSIUBGOBCONVDSL____23,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,S,P1,PASTRAROABUSIUBGOBCONVDSL____23,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,S,P2,PASTRAROABUSIUBGOBCONVDSL____23,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,R,D,PASTRAROABUSIUBGOBCONVDSL____23,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,R,N,PASTRAROABUSIUBGOBCONVDSL____23,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,R,P1,PASTRAROABUSIUBGOBCONVDSL____23,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,R,P2,PASTRAROABUSIUBGOBCONVDSL____23,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,W,D,PASTRAROABUSIUBGOBHYBDSL____23,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,W,N,PASTRAROABUSIUBGOBHYBDSL____23,0.04635469426369862,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
