regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2025,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2026,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2027,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2028,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2029,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2030,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2031,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2032,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2033,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2034,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2035,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2036,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2037,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2038,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2039,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2040,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2041,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2042,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2043,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2044,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2045,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2046,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2047,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2048,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2049,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCATEDSLELC_25,2050,VKTPASTRAROABUSIUBGOB,0.264373807,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRADSL,PASTRAROABUSIUBGOBCONVDSL____23,2023,VKTPASTRAROABUSIUBGOB,0.078974737,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRADSL,PASTRAROABUSIUBGOBCONVDSL____23,2024,VKTPASTRAROABUSIUBGOB,0.079097921,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRADSL,PASTRAROABUSIUBGOBCONVDSL____23,2025,VKTPASTRAROABUSIUBGOB,0.079221105,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRADSL,PASTRAROABUSIUBGOBCONVDSL____23,2026,VKTPASTRAROABUSIUBGOB,0.078567035,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRADSL,PASTRAROABUSIUBGOBCONVDSL____23,2027,VKTPASTRAROABUSIUBGOB,0.077912965,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRADSL,PASTRAROABUSIUBGOBCONVDSL____23,2028,VKTPASTRAROABUSIUBGOB,0.077258895,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRADSL,PASTRAROABUSIUBGOBCONVDSL____23,2029,VKTPASTRAROABUSIUBGOB,0.076604825,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRADSL,PASTRAROABUSIUBGOBCONVDSL____23,2030,VKTPASTRAROABUSIUBGOB,0.075950755,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRADSL,PASTRAROABUSIUBGOBCONVDSL____23,2031,VKTPASTRAROABUSIUBGOB,0.077060134,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRADSL,PASTRAROABUSIUBGOBCONVDSL____23,2032,VKTPASTRAROABUSIUBGOB,0.078169513,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRADSL,PASTRAROABUSIUBGOBCONVDSL____23,2033,VKTPASTRAROABUSIUBGOB,0.079278891,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRADSL,PASTRAROABUSIUBGOBCONVDSL____23,2034,VKTPASTRAROABUSIUBGOB,0.08038827,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
