regions,tech,life,life_notes
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCONVDSL____23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBPHEVDSLELC_23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusPlug Hybrid VehicleDieselElectricity2023
TO,PASTRAROABUSIUBGOBBEVBELC____25,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusBattery Electric VehicleBattery Electric Vehicle2025
TO,PASTRAROABUSIUBGOBCATEELC____25,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryElectricity2025
TO,PASTRAROABUSIUBGOBCONVGAS____23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalGasoline2023
TO,PASTRAROABUSIUBGOBCELLHH2____23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusFuel Cell VehicleHydrogen2023
TO,PASTRAROABUSIUBGOBCATENGAELC_25,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryNatural GasElectricity2025
TO,PASTRAROABUSIUBGOBCONVNGA____23,15.0,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalNatural Gas2023
TO,PASTRAROABUSIUBGOBPHEVNGAELC_23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusPlug Hybrid VehicleNatural GasElectricity2023
TO,PASTRAROABUSIUBGOBCATERDSLELC_25,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryRenewable DieselElectricity2025
TO,PASTRAROABUSIUBGOBCONVRDSL____23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalRenewable Diesel2023
TO,PASTRAROABUSIUBGOBHYBRDSL____23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridRenewable Diesel2023
TO,PASTRAROABUSIUBGOBPHEVRDSLELC_23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusPlug Hybrid VehicleRenewable DieselElectricity2023
TO,PASTRAROABUSIUBGOBCONVDSL____16,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2016
TO,PASTRAROABUSIUBGOBCONVGAS____16,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalGasoline2016
TO,PASTRAROABUSURBTBUCONVDSL____23,15.0,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,PASTRAROABUSURBTBUBEVBELC____23,15.0,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusBattery Electric VehicleBattery Electric Vehicle2023
TO,PASTRAROABUSURBTBUCONVGAS____23,15.0,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalGasoline2023
TO,PASTRAROABUSURBTBUCELLHH2____23,15.0,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusFuel Cell VehicleHydrogen2023
TO,PASTRAROABUSURBTBUCONVNGA____23,15.0,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalNatural Gas2023
TO,PASTRAROABUSURBTBUCONVRDSL____23,15.0,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalRenewable Diesel2023
TO,PASTRAROABUSURBTBUCONVDSL____16,15.0,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2016
TO,PASTRAROABUSURBTBUCONVGAS____16,15.0,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalGasoline2016
TO,PASTRAROABUSURBTBUCONVNGA____16,20.0,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalNatural Gas2016
TO,PASTRAROABUSURBWTBCONVDSL____23,15.0,PassengerTransportationRoadInter-city BusesUrban Bus TTC Wheel trans paraConventionnalDiesel2023
TO,PASTRAROABUSURBWTBBEVBELC____23,15.0,PassengerTransportationRoadInter-city BusesUrban Bus TTC Wheel trans paraBattery Electric VehicleBattery Electric Vehicle2023
TO,PASTRAROABUSURBWTBCONVGAS____23,15.0,PassengerTransportationRoadInter-city BusesUrban Bus TTC Wheel trans paraConventionnalGasoline2023
TO,PASTRAROABUSURBWTBCELLHH2____23,15.0,PassengerTransportationRoadInter-city BusesUrban Bus TTC Wheel trans paraFuel Cell VehicleHydrogen2023
TO,PASTRAROABUSURBWTBCONVNGA____23,15.0,PassengerTransportationRoadInter-city BusesUrban Bus TTC Wheel trans paraConventionnalNatural Gas2023
TO,PASTRAROABUSURBWTBCONVRDSL____23,15.0,PassengerTransportationRoadInter-city BusesUrban Bus TTC Wheel trans paraConventionnalRenewable Diesel2023
TO,PASTRAROABUSURBWTBCONVDSL____16,15.0,PassengerTransportationRoadInter-city BusesUrban Bus TTC Wheel trans paraConventionnalDiesel2016
TO,PASTRAROABUSURBWTBCONVGAS____16,15.0,PassengerTransportationRoadInter-city BusesUrban Bus TTC Wheel trans paraConventionnalGasoline2016
TO,PASTRAROABUSURBWTBCONVNGA____16,20.0,PassengerTransportationRoadInter-city BusesUrban Bus TTC Wheel trans paraConventionnalNatural Gas2016
TO,PASTRAROABUSIUBMWAYCATEDSLELC_25,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBMWAYCONVDSL____23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusConventionnalDiesel2023
TO,PASTRAROABUSIUBMWAYHYBDSL____23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusHybridDiesel2023
TO,PASTRAROABUSIUBMWAYPHEVDSLELC_23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusPlug Hybrid VehicleDieselElectricity2023
TO,PASTRAROABUSIUBMWAYBEVBELC____25,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusBattery Electric VehicleBattery Electric Vehicle2025
TO,PASTRAROABUSIUBMWAYCATEELC____25,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusCatenaryElectricity2025
TO,PASTRAROABUSIUBMWAYCONVGAS____23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusConventionnalGasoline2023
TO,PASTRAROABUSIUBMWAYCELLHH2____23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusFuel Cell VehicleHydrogen2023
TO,PASTRAROABUSIUBMWAYCATENGAELC_25,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusCatenaryNatural GasElectricity2025
TO,PASTRAROABUSIUBMWAYCONVNGA____23,15.0,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusConventionnalNatural Gas2023
TO,PASTRAROABUSIUBMWAYPHEVNGAELC_23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusPlug Hybrid VehicleNatural GasElectricity2023
TO,PASTRAROABUSIUBMWAYCATERDSLELC_25,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusCatenaryRenewable DieselElectricity2025
TO,PASTRAROABUSIUBMWAYCONVRDSL____23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusConventionnalRenewable Diesel2023
TO,PASTRAROABUSIUBMWAYHYBRDSL____23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusHybridRenewable Diesel2023
TO,PASTRAROABUSIUBMWAYPHEVRDSLELC_23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusPlug Hybrid VehicleRenewable DieselElectricity2023
TO,PASTRAROABUSIUBMWAYCONVDSL____16,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusConventionnalDiesel2016
TO,PASTRAROABUSIUBMWAYCONVGAS____16,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusConventionnalGasoline2016
TO,PASTRAROABUSIUBVIVACATEDSLELC_25,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBVIVACONVDSL____23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusConventionnalDiesel2023
TO,PASTRAROABUSIUBVIVAHYBDSL____23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusHybridDiesel2023
TO,PASTRAROABUSIUBVIVAPHEVDSLELC_23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusPlug Hybrid VehicleDieselElectricity2023
TO,PASTRAROABUSIUBVIVABEVBELC____25,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusBattery Electric VehicleBattery Electric Vehicle2025
TO,PASTRAROABUSIUBVIVACATEELC____25,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusCatenaryElectricity2025
TO,PASTRAROABUSIUBVIVACONVGAS____23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusConventionnalGasoline2023
TO,PASTRAROABUSIUBVIVACELLHH2____23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusFuel Cell VehicleHydrogen2023
TO,PASTRAROABUSIUBVIVACATENGAELC_25,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusCatenaryNatural GasElectricity2025
TO,PASTRAROABUSIUBVIVACONVNGA____23,15.0,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusConventionnalNatural Gas2023
TO,PASTRAROABUSIUBVIVAPHEVNGAELC_23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusPlug Hybrid VehicleNatural GasElectricity2023
TO,PASTRAROABUSIUBVIVACATERDSLELC_25,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusCatenaryRenewable DieselElectricity2025
TO,PASTRAROABUSIUBVIVACONVRDSL____23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusConventionnalRenewable Diesel2023
TO,PASTRAROABUSIUBVIVAHYBRDSL____23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusHybridRenewable Diesel2023
TO,PASTRAROABUSIUBVIVAPHEVRDSLELC_23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusPlug Hybrid VehicleRenewable DieselElectricity2023
TO,PASTRAROABUSIUBVIVACONVDSL____16,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusConventionnalDiesel2016
TO,PASTRAROABUSIUBVIVACONVGAS____16,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusConventionnalGasoline2016
TO,PASTRAROABUSIUBDURTCATEDSLELC_25,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusDurham RTCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBDURTCONVDSL____23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusDurham RTConventionnalDiesel2023
TO,PASTRAROABUSIUBDURTHYBDSL____23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusDurham RTHybridDiesel2023
TO,PASTRAROABUSIUBDURTPHEVDSLELC_23,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusDurham RTPlug Hybrid VehicleDieselElectricity2023
TO,PASTRAROABUSIUBDURTBEVBELC____25,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusDurham RTBattery Electric VehicleBattery Electric Vehicle2025
TO,PASTRAROABUSIUBDURTCATEELC____25,10.0,PassengerTransportationRoadInter-city BusesInter Urban BusDurham RTCatenaryElectricity2025
