regions,periods,tech,maxcap,maxcap_units,maxcap_notes
TO,2016,PASTRARAIREG___GOR___DSL____16,0.000172761,,
TO,2016,PASTRARAIREG___GOR___ELC____16,2.72699E-05,,
TO,2016,PASTRARAIREG___UPX___DSL____16,9.97875E-05,,
TO,2016,PASTRARAIREG___UPX___ELC____16,2.2272E-05,,
TO,2016,PASTRARAISUB___TSU___DSL____16,3.72709E-05,,
TO,2016,PASTRARAISUB___TSU___ELC____16,0.000222083,,
TO,2016,PASTRARAITRM___TST___DSL____16,4.2469E-05,,
TO,2016,PASTRARAITRM___TST___ELC____16,0.000186327,,
TO,2016,PASTRAROABUSIUBDURTCONVDSL____16,7.10937E-05,,
TO,2016,PASTRAROABUSIUBGOBCONVDSL____16,8.05688E-05,,
TO,2016,PASTRAROABUSIUBMWAYCONVDSL____16,0.000119448,,
TO,2016,PASTRAROABUSIUBVIVACONVDSL____16,6.45157E-05,,
TO,2016,PASTRAROABUSSCB___CONVDSL____16,6.77598E-05,,
TO,2016,PASTRAROABUSURBTBUCONVDSL____16,0.00016166,,
TO,2016,PASTRAROABUSURBWTBCONVDSL____16,9.65944E-05,,
TO,2016,PASTRAROACAR___ADRCONVDSL____16,0.00016884,,
TO,2016,PASTRAROACAR___APGCONVDSL____16,0.000156888,,
TO,2016,PASTRAROACAR___RSHCONVDSL____16,7.35882E-05,,
TO,2016,PASTRAROACAR___TAXCONVDSL____16,8.76229E-05,,
TO,2016,PASTRAROATRULGTADRCONVDSL____16,0.000257006,,
TO,2016,PASTRAROATRULGTAPGCONVDSL____16,0.000209194,,
TO,2016,PASTRAROATRULGTRSHCONVDSL____16,0.000134836,,
TO,2016,PASTRAROATRULGTTAXCONVDSL____16,8.87833E-05,,
TO,2016,PASTRAROABUSSCB___CONVNGA____16,0.000119543,,
TO,2016,PASTRAROABUSURBTBUCONVNGA____16,2.73211E-05,,
TO,2016,PASTRAROABUSURBWTBCONVNGA____16,2.13826E-05,,
TO,2016,PASTRAROACAR___ADRCONVNGA____16,0.000157897,,
TO,2016,PASTRAROACAR___APGCONVNGA____16,7.98343E-05,,
TO,2016,PASTRAROACAR___RSHCONVNGA____16,7.57339E-05,,
TO,2016,PASTRAROACAR___TAXCONVNGA____16,1.18545E-05,,
TO,2016,PASTRAROATRULGTADRCONVNGA____16,4.38679E-05,,
TO,2016,PASTRAROATRULGTAPGCONVNGA____16,1.19361E-05,,
TO,2016,PASTRAROATRULGTRSHCONVNGA____16,1.10936E-05,,
TO,2016,PASTRAROATRULGTTAXCONVNGA____16,2.82398E-05,,
TO,2016,PASTRAROABUSIUBDURTCONVGAS____16,1.49662E-05,,
TO,2016,PASTRAROABUSIUBGOBCONVGAS____16,0.000117784,,
TO,2016,PASTRAROABUSIUBMWAYCONVGAS____16,1.5355E-05,,
TO,2016,PASTRAROABUSIUBVIVACONVGAS____16,7.83134E-05,,
TO,2016,PASTRAROABUSSCB___CONVGAS____16,0.000118716,,
TO,2016,PASTRAROABUSURBTBUCONVGAS____16,5.1802E-05,,
TO,2016,PASTRAROABUSURBWTBCONVGAS____16,3.62148E-05,,
TO,2016,PASTRAROACAR___ADRCONVGAS____16,0.000311132,,
TO,2016,PASTRAROACAR___APGCONVGAS____16,0.000312161,,
TO,2016,PASTRAROACAR___RSHCONVGAS____16,0.000295925,,
TO,2016,PASTRAROACAR___TAXCONVGAS____16,0.000304884,,
TO,2016,PASTRAROAMOR______CONVGAS____16,0.000298821,,
TO,2016,PASTRAROATRULGTADRCONVGAS____16,0.000310534,,
TO,2016,PASTRAROATRULGTAPGCONVGAS____16,0.000310143,,
TO,2016,PASTRAROATRULGTRSHCONVGAS____16,0.000293393,,
TO,2016,PASTRAROATRULGTTAXCONVGAS____16,0.000284621,,
TO,2016,PASTRAROACAR___ADRCONVPRO____16,0.000114207,,
TO,2016,PASTRAROACAR___APGCONVPRO____16,6.03304E-05,,
TO,2016,PASTRAROACAR___RSHCONVPRO____16,5.18092E-05,,
TO,2016,PASTRAROACAR___TAXCONVPRO____16,6.37766E-05,,
TO,2016,PASTRAROATRULGTADRCONVPRO____16,0.000110079,,
TO,2016,PASTRAROATRULGTAPGCONVPRO____16,5.85507E-05,,
TO,2016,PASTRAROATRULGTRSHCONVPRO____16,0,,
TO,2016,PASTRAROATRULGTTAXCONVPRO____16,1.81899E-05,,
TO,2017,PASTRARAIREG___GOR___DSL____16,0.000490494,,
TO,2017,PASTRARAIREG___GOR___ELC____16,5.39699E-05,,
TO,2017,PASTRARAIREG___UPX___DSL____16,0.000232746,,
TO,2017,PASTRARAIREG___UPX___ELC____16,4.37341E-05,,
TO,2017,PASTRARAISUB___TSU___DSL____16,7.48655E-05,,
TO,2017,PASTRARAISUB___TSU___ELC____16,0.000646655,,
TO,2017,PASTRARAITRM___TST___DSL____16,8.5708E-05,,
TO,2017,PASTRARAITRM___TST___ELC____16,0.000480336,,
TO,2017,PASTRAROABUSIUBDURTCONVDSL____16,0.000207184,,
TO,2017,PASTRAROABUSIUBGOBCONVDSL____16,0.000296741,,
TO,2017,PASTRAROABUSIUBMWAYCONVDSL____16,0.001950005,,
TO,2017,PASTRAROABUSIUBVIVACONVDSL____16,0.000164184,,
TO,2017,PASTRAROABUSSCB___CONVDSL____16,0.0001735,,
TO,2017,PASTRAROABUSURBTBUCONVDSL____16,0.01110613,,
TO,2017,PASTRAROABUSURBWTBCONVDSL____16,0.000463256,,
TO,2017,PASTRAROACAR___ADRCONVDSL____16,0.033568432,,
TO,2017,PASTRAROACAR___APGCONVDSL____16,0.00671888,,
TO,2017,PASTRAROACAR___RSHCONVDSL____16,0.000192294,,
TO,2017,PASTRAROACAR___TAXCONVDSL____16,0.000282113,,
TO,2017,PASTRAROATRULGTADRCONVDSL____16,0.026883576,,
TO,2017,PASTRAROATRULGTAPGCONVDSL____16,0.004436436,,
TO,2017,PASTRAROATRULGTRSHCONVDSL____16,0.000451919,,
TO,2017,PASTRAROATRULGTTAXCONVDSL____16,0.000208108,,
TO,2017,PASTRAROABUSSCB___CONVNGA____16,0.000781048,,
TO,2017,PASTRAROABUSURBTBUCONVNGA____16,5.7676E-05,,
TO,2017,PASTRAROABUSURBWTBCONVNGA____16,4.35001E-05,,
TO,2017,PASTRAROACAR___ADRCONVNGA____16,0.003416451,,
TO,2017,PASTRAROACAR___APGCONVNGA____16,0.000206348,,
TO,2017,PASTRAROACAR___RSHCONVNGA____16,0.000200061,,
TO,2017,PASTRAROACAR___TAXCONVNGA____16,2.33808E-05,,
TO,2017,PASTRAROATRULGTADRCONVNGA____16,9.45896E-05,,
TO,2017,PASTRAROATRULGTAPGCONVNGA____16,2.35535E-05,,
TO,2017,PASTRAROATRULGTRSHCONVNGA____16,2.18497E-05,,
TO,2017,PASTRAROATRULGTTAXCONVNGA____16,5.99529E-05,,
TO,2017,PASTRAROABUSIUBDURTCONVGAS____16,2.91511E-05,,
TO,2017,PASTRAROABUSIUBGOBCONVGAS____16,0.000383351,,
TO,2017,PASTRAROABUSIUBMWAYCONVGAS____16,2.99613E-05,,
TO,2017,PASTRAROABUSIUBVIVACONVGAS____16,0.000191724,,
TO,2017,PASTRAROABUSSCB___CONVGAS____16,0.000305224,,
TO,2017,PASTRAROABUSURBTBUCONVGAS____16,0.000112639,,
TO,2017,PASTRAROABUSURBWTBCONVGAS____16,7.40883E-05,,
TO,2017,PASTRAROACAR___ADRCONVGAS____16,2.502561174,,
TO,2017,PASTRAROACAR___APGCONVGAS____16,0.281800014,,
TO,2017,PASTRAROACAR___RSHCONVGAS____16,0.020141304,,
TO,2017,PASTRAROACAR___TAXCONVGAS____16,0.033566168,,
TO,2017,PASTRAROAMOR______CONVGAS____16,0.050234942,,
TO,2017,PASTRAROATRULGTADRCONVGAS____16,2.508854219,,
TO,2017,PASTRAROATRULGTAPGCONVGAS____16,0.279135692,,
TO,2017,PASTRAROATRULGTRSHCONVGAS____16,0.019823499,,
TO,2017,PASTRAROATRULGTTAXCONVGAS____16,0.013216176,,
TO,2017,PASTRAROACAR___ADRCONVPRO____16,0.027523356,,
TO,2017,PASTRAROACAR___APGCONVPRO____16,0.000166578,,
TO,2017,PASTRAROACAR___RSHCONVPRO____16,0.00013825,,
TO,2017,PASTRAROACAR___TAXCONVPRO____16,0.000224139,,
TO,2017,PASTRAROATRULGTADRCONVPRO____16,0.009057299,,
TO,2017,PASTRAROATRULGTAPGCONVPRO____16,0.000162878,,
TO,2017,PASTRAROATRULGTRSHCONVPRO____16,1.43989E-05,,
TO,2017,PASTRAROATRULGTTAXCONVPRO____16,3.85674E-05,,
TO,2018,PASTRARAIREG___GOR___DSL____16,0.000656913,,
TO,2018,PASTRARAIREG___GOR___ELC____16,7.98889E-05,,
TO,2018,PASTRARAIREG___UPX___DSL____16,0.000434173,,
TO,2018,PASTRARAIREG___UPX___ELC____16,6.42681E-05,,
TO,2018,PASTRARAISUB___TSU___DSL____16,0.000111136,,
TO,2018,PASTRARAISUB___TSU___ELC____16,0.001414709,,
TO,2018,PASTRARAITRM___TST___DSL____16,0.00012948,,
TO,2018,PASTRARAITRM___TST___ELC____16,0.001056972,,
TO,2018,PASTRAROABUSIUBDURTCONVDSL____16,0.000401627,,
TO,2018,PASTRAROABUSIUBGOBCONVDSL____16,0.00061178,,
TO,2018,PASTRAROABUSIUBMWAYCONVDSL____16,0.006228432,,
TO,2018,PASTRAROABUSIUBVIVACONVDSL____16,0.000312658,,
TO,2018,PASTRAROABUSSCB___CONVDSL____16,0.000320436,,
TO,2018,PASTRAROABUSURBTBUCONVDSL____16,0.023226863,,
TO,2018,PASTRAROABUSURBWTBCONVDSL____16,0.001086164,,
TO,2018,PASTRAROACAR___ADRCONVDSL____16,0.073818822,,
TO,2018,PASTRAROACAR___APGCONVDSL____16,0.007669885,,
TO,2018,PASTRAROACAR___RSHCONVDSL____16,0.000331513,,
TO,2018,PASTRAROACAR___TAXCONVDSL____16,0.000466122,,
TO,2018,PASTRAROATRULGTADRCONVDSL____16,0.057054508,,
TO,2018,PASTRAROATRULGTAPGCONVDSL____16,0.006358116,,
TO,2018,PASTRAROATRULGTRSHCONVDSL____16,0.00076265,,
TO,2018,PASTRAROATRULGTTAXCONVDSL____16,0.000412042,,
TO,2018,PASTRAROABUSSCB___CONVNGA____16,0.001610874,,
TO,2018,PASTRAROABUSURBTBUCONVNGA____16,8.61191E-05,,
TO,2018,PASTRAROABUSURBWTBCONVNGA____16,6.45412E-05,,
TO,2018,PASTRAROACAR___ADRCONVNGA____16,0.006396963,,
TO,2018,PASTRAROACAR___APGCONVNGA____16,0.00133636,,
TO,2018,PASTRAROACAR___RSHCONVNGA____16,0.000341732,,
TO,2018,PASTRAROACAR___TAXCONVNGA____16,3.41421E-05,,
TO,2018,PASTRAROATRULGTADRCONVNGA____16,0.00014185,,
TO,2018,PASTRAROATRULGTAPGCONVNGA____16,3.42275E-05,,
TO,2018,PASTRAROATRULGTRSHCONVNGA____16,3.19152E-05,,
TO,2018,PASTRAROATRULGTTAXCONVNGA____16,9.68912E-05,,
TO,2018,PASTRAROABUSIUBDURTCONVGAS____16,4.21123E-05,,
TO,2018,PASTRAROABUSIUBGOBCONVGAS____16,0.000721821,,
TO,2018,PASTRAROABUSIUBMWAYCONVGAS____16,4.31965E-05,,
TO,2018,PASTRAROABUSIUBVIVACONVGAS____16,0.000342334,,
TO,2018,PASTRAROABUSSCB___CONVGAS____16,0.000561795,,
TO,2018,PASTRAROABUSURBTBUCONVGAS____16,0.000168105,,
TO,2018,PASTRAROABUSURBWTBCONVGAS____16,0.000109462,,
TO,2018,PASTRAROACAR___ADRCONVGAS____16,4.991679581,,
TO,2018,PASTRAROACAR___APGCONVGAS____16,0.556885634,,
TO,2018,PASTRAROACAR___RSHCONVGAS____16,0.040272679,,
TO,2018,PASTRAROACAR___TAXCONVGAS____16,0.067109709,,
TO,2018,PASTRAROAMOR______CONVGAS____16,0.085607878,,
TO,2018,PASTRAROATRULGTADRCONVGAS____16,5.004479954,,
TO,2018,PASTRAROATRULGTAPGCONVGAS____16,0.561203676,,
TO,2018,PASTRAROATRULGTRSHCONVGAS____16,0.039630806,,
TO,2018,PASTRAROATRULGTTAXCONVGAS____16,0.021026475,,
TO,2018,PASTRAROACAR___ADRCONVPRO____16,0.051067156,,
TO,2018,PASTRAROACAR___APGCONVPRO____16,0.006399077,,
TO,2018,PASTRAROACAR___RSHCONVPRO____16,0.000239579,,
TO,2018,PASTRAROACAR___TAXCONVPRO____16,0.000366116,,
TO,2018,PASTRAROATRULGTADRCONVPRO____16,0.019029513,,
TO,2018,PASTRAROATRULGTAPGCONVPRO____16,0.000257197,,
TO,2018,PASTRAROATRULGTRSHCONVPRO____16,2.10584E-05,,
TO,2018,PASTRAROATRULGTTAXCONVPRO____16,6.21766E-05,,
TO,2019,PASTRARAIREG___GOR___DSL____16,0.000939973,,
TO,2019,PASTRARAIREG___GOR___ELC____16,0.0001052,,
TO,2019,PASTRARAIREG___UPX___DSL____16,0.000458798,,
TO,2019,PASTRARAIREG___UPX___ELC____16,8.40465E-05,,
TO,2019,PASTRARAISUB___TSU___DSL____16,0.000147632,,
TO,2019,PASTRARAISUB___TSU___ELC____16,0.001920237,,
TO,2019,PASTRARAITRM___TST___DSL____16,0.000174158,,
TO,2019,PASTRARAITRM___TST___ELC____16,0.001453796,,
TO,2019,PASTRAROABUSIUBDURTCONVDSL____16,0.000614861,,
TO,2019,PASTRAROABUSIUBGOBCONVDSL____16,0.000992646,,
TO,2019,PASTRAROABUSIUBMWAYCONVDSL____16,0.006369475,,
TO,2019,PASTRAROABUSIUBVIVACONVDSL____16,0.000486177,,
TO,2019,PASTRAROABUSSCB___CONVDSL____16,0.000581057,,
TO,2019,PASTRAROABUSURBTBUCONVDSL____16,0.036132891,,
TO,2019,PASTRAROABUSURBWTBCONVDSL____16,0.002626441,,
TO,2019,PASTRAROACAR___ADRCONVDSL____16,0.107376656,,
TO,2019,PASTRAROACAR___APGCONVDSL____16,0.013452951,,
TO,2019,PASTRAROACAR___RSHCONVDSL____16,0.000712058,,
TO,2019,PASTRAROACAR___TAXCONVDSL____16,0.001191864,,
TO,2019,PASTRAROATRULGTADRCONVDSL____16,0.082416084,,
TO,2019,PASTRAROATRULGTAPGCONVDSL____16,0.009525301,,
TO,2019,PASTRAROATRULGTRSHCONVDSL____16,0.001742728,,
TO,2019,PASTRAROATRULGTTAXCONVDSL____16,0.000606305,,
TO,2019,PASTRAROABUSSCB___CONVNGA____16,0.002468451,,
TO,2019,PASTRAROABUSURBTBUCONVNGA____16,0.000118838,,
TO,2019,PASTRAROABUSURBWTBCONVNGA____16,8.46009E-05,,
TO,2019,PASTRAROACAR___ADRCONVNGA____16,0.007021643,,
TO,2019,PASTRAROACAR___APGCONVNGA____16,0.003279627,,
TO,2019,PASTRAROACAR___RSHCONVNGA____16,0.000729209,,
TO,2019,PASTRAROACAR___TAXCONVNGA____16,4.43544E-05,,
TO,2019,PASTRAROATRULGTADRCONVNGA____16,0.000198738,,
TO,2019,PASTRAROATRULGTAPGCONVNGA____16,4.44767E-05,,
TO,2019,PASTRAROATRULGTRSHCONVNGA____16,4.14403E-05,,
TO,2019,PASTRAROATRULGTTAXCONVNGA____16,0.00013109,,
TO,2019,PASTRAROABUSIUBDURTCONVGAS____16,5.40001E-05,,
TO,2019,PASTRAROABUSIUBGOBCONVGAS____16,0.001076462,,
TO,2019,PASTRAROABUSIUBMWAYCONVGAS____16,5.55962E-05,,
TO,2019,PASTRAROABUSIUBVIVACONVGAS____16,0.000511906,,
TO,2019,PASTRAROABUSSCB___CONVGAS____16,0.001006173,,
TO,2019,PASTRAROABUSURBTBUCONVGAS____16,0.000236222,,
TO,2019,PASTRAROABUSURBWTBCONVGAS____16,0.000142507,,
TO,2019,PASTRAROACAR___ADRCONVGAS____16,7.568032496,,
TO,2019,PASTRAROACAR___APGCONVGAS____16,0.845392573,,
TO,2019,PASTRAROACAR___RSHCONVGAS____16,0.06041318,,
TO,2019,PASTRAROACAR___TAXCONVGAS____16,0.100669285,,
TO,2019,PASTRAROAMOR______CONVGAS____16,0.133954965,,
TO,2019,PASTRAROATRULGTADRCONVGAS____16,7.585948017,,
TO,2019,PASTRAROATRULGTAPGCONVGAS____16,0.851713695,,
TO,2019,PASTRAROATRULGTRSHCONVGAS____16,0.059450591,,
TO,2019,PASTRAROATRULGTTAXCONVGAS____16,0.033041228,,
TO,2019,PASTRAROACAR___ADRCONVPRO____16,0.076603968,,
TO,2019,PASTRAROACAR___APGCONVPRO____16,0.007863871,,
TO,2019,PASTRAROACAR___RSHCONVPRO____16,0.000540917,,
TO,2019,PASTRAROACAR___TAXCONVPRO____16,0.001107478,,
TO,2019,PASTRAROATRULGTADRCONVPRO____16,0.025380163,,
TO,2019,PASTRAROATRULGTAPGCONVPRO____16,0.001641361,,
TO,2019,PASTRAROATRULGTRSHCONVPRO____16,2.73797E-05,,
TO,2019,PASTRAROATRULGTTAXCONVPRO____16,8.42918E-05,,
TO,2020,PASTRARAIREG___GOR___DSL____16,0.003429836,,
TO,2020,PASTRARAIREG___GOR___ELC____16,0.000129469,,
TO,2020,PASTRARAIREG___UPX___DSL____16,0.000482158,,
TO,2020,PASTRARAIREG___UPX___ELC____16,0.000102739,,
TO,2020,PASTRARAISUB___TSU___DSL____16,0.000183631,,
TO,2020,PASTRARAISUB___TSU___ELC____16,0.064267688,,
TO,2020,PASTRARAITRM___TST___DSL____16,0.00021915,,
TO,2020,PASTRARAITRM___TST___ELC____16,0.00947724,,
TO,2020,PASTRAROABUSIUBDURTCONVDSL____16,0.006220489,,
TO,2020,PASTRAROABUSIUBGOBCONVDSL____16,0.049764179,,
TO,2020,PASTRAROABUSIUBMWAYCONVDSL____16,0.051032465,,
TO,2020,PASTRAROABUSIUBVIVACONVDSL____16,0.006231469,,
TO,2020,PASTRAROABUSSCB___CONVDSL____16,0.162681953,,
TO,2020,PASTRAROABUSURBTBUCONVDSL____16,0.941304744,,
TO,2020,PASTRAROABUSURBWTBCONVDSL____16,0.175363987,,
TO,2020,PASTRAROACAR___ADRCONVDSL____16,1.596838009,,
TO,2020,PASTRAROACAR___APGCONVDSL____16,0.201300728,,
TO,2020,PASTRAROACAR___RSHCONVDSL____16,0.013431257,,
TO,2020,PASTRAROACAR___TAXCONVDSL____16,0.020129867,,
TO,2020,PASTRAROATRULGTADRCONVDSL____16,1.210487836,,
TO,2020,PASTRAROATRULGTAPGCONVDSL____16,0.152223336,,
TO,2020,PASTRAROATRULGTRSHCONVDSL____16,0.012676958,,
TO,2020,PASTRAROATRULGTTAXCONVDSL____16,0.006344094,,
TO,2020,PASTRAROABUSSCB___CONVNGA____16,0.006180346,,
TO,2020,PASTRAROABUSURBTBUCONVNGA____16,0.000157511,,
TO,2020,PASTRAROABUSURBWTBCONVNGA____16,0.000104952,,
TO,2020,PASTRAROACAR___ADRCONVNGA____16,0.083011466,,
TO,2020,PASTRAROACAR___APGCONVNGA____16,0.012764569,,
TO,2020,PASTRAROACAR___RSHCONVNGA____16,0.002779109,,
TO,2020,PASTRAROACAR___TAXCONVNGA____16,5.3761E-05,,
TO,2020,PASTRAROATRULGTADRCONVNGA____16,0.000271564,,
TO,2020,PASTRAROATRULGTAPGCONVNGA____16,5.38527E-05,,
