regions,periods,input_comm,tech,ti_split,ti_split_notes
TO,2016,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2017,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2018,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2019,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2020,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2021,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2022,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2023,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2024,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2025,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2026,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2027,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2028,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2029,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2030,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2031,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2032,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2033,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2034,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2035,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2036,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2037,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2038,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2039,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2040,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2041,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2042,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2043,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,2044,PASTRAELC,PASTRAROABUSIUBGOBCATEDSLELC_25,0.6,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
