tech,flag,sector,tech_desc,tech_category
PASTRAROABUSIUBGOBCATEDSLELC_25,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025,
PASTRAROABUSIUBGOBCONVDSL____23,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023,
PASTRAROABUSIUBGOBHYBDSL____23,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023,
PASTRAROABUSIUBGOBPHEVDSLELC_23,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusPlug Hybrid VehicleDieselElectricity2023,
PASTRAROABUSIUBGOBBEVBELC____25,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusBattery Electric VehicleBattery Electric Vehicle2025,
PASTRAROABUSIUBGOBCATEELC____25,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryElectricity2025,
PASTRAROABUSIUBGOBCONVGAS____23,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalGasoline2023,
PASTRAROABUSIUBGOBCELLHH2____23,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusFuel Cell VehicleHydrogen2023,
PASTRAROABUSIUBGOBCONVDSL____16,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2016,
PASTRAROABUSIUBGOBCONVGAS____16,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalGasoline2016,
PASTRAROABUSURBTBUCONVDSL____23,p,PASTRA,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023,
PASTRAROABUSURBTBUBEVBELC____23,p,PASTRA,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusBattery Electric VehicleBattery Electric Vehicle2023,
PASTRAROABUSURBTBUCONVGAS____23,p,PASTRA,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalGasoline2023,
PASTRAROABUSURBTBUCELLHH2____23,p,PASTRA,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusFuel Cell VehicleHydrogen2023,
PASTRAROABUSURBTBUCONVDSL____16,p,PASTRA,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2016,
PASTRAROABUSURBTBUCONVGAS____16,p,PASTRA,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalGasoline2016,
PASTRAROABUSURBWTBCONVDSL____23,p,PASTRA,PassengerTransportationRoadInter-city BusesUrban Bus TTC Wheel trans paraConventionnalDiesel2023,
PASTRAROABUSURBWTBBEVBELC____23,p,PASTRA,PassengerTransportationRoadInter-city BusesUrban Bus TTC Wheel trans paraBattery Electric VehicleBattery Electric Vehicle2023,
PASTRAROABUSURBWTBCONVGAS____23,p,PASTRA,PassengerTransportationRoadInter-city BusesUrban Bus TTC Wheel trans paraConventionnalGasoline2023,
PASTRAROABUSURBWTBCELLHH2____23,p,PASTRA,PassengerTransportationRoadInter-city BusesUrban Bus TTC Wheel trans paraFuel Cell VehicleHydrogen2023,
PASTRAROABUSURBWTBCONVDSL____16,p,PASTRA,PassengerTransportationRoadInter-city BusesUrban Bus TTC Wheel trans paraConventionnalDiesel2016,
PASTRAROABUSURBWTBCONVGAS____16,p,PASTRA,PassengerTransportationRoadInter-city BusesUrban Bus TTC Wheel trans paraConventionnalGasoline2016,
PASTRAROABUSIUBMWAYCATEDSLELC_25,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusCatenaryDieselElectricity2025,
PASTRAROABUSIUBMWAYCONVDSL____23,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusConventionnalDiesel2023,
PASTRAROABUSIUBMWAYHYBDSL____23,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusHybridDiesel2023,
PASTRAROABUSIUBMWAYPHEVDSLELC_23,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusPlug Hybrid VehicleDieselElectricity2023,
PASTRAROABUSIUBMWAYBEVBELC____25,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusBattery Electric VehicleBattery Electric Vehicle2025,
PASTRAROABUSIUBMWAYCATEELC____25,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusCatenaryElectricity2025,
PASTRAROABUSIUBMWAYCONVGAS____23,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusConventionnalGasoline2023,
PASTRAROABUSIUBMWAYCELLHH2____23,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusFuel Cell VehicleHydrogen2023,
PASTRAROABUSIUBMWAYCONVDSL____16,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusConventionnalDiesel2016,
PASTRAROABUSIUBMWAYCONVGAS____16,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusMiway BusConventionnalGasoline2016,
PASTRAROABUSIUBVIVACATEDSLELC_25,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusCatenaryDieselElectricity2025,
PASTRAROABUSIUBVIVACONVDSL____23,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusConventionnalDiesel2023,
PASTRAROABUSIUBVIVAHYBDSL____23,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusHybridDiesel2023,
PASTRAROABUSIUBVIVAPHEVDSLELC_23,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusPlug Hybrid VehicleDieselElectricity2023,
PASTRAROABUSIUBVIVABEVBELC____25,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusBattery Electric VehicleBattery Electric Vehicle2025,
PASTRAROABUSIUBVIVACATEELC____25,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusCatenaryElectricity2025,
PASTRAROABUSIUBVIVACONVGAS____23,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusConventionnalGasoline2023,
PASTRAROABUSIUBVIVACELLHH2____23,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusFuel Cell VehicleHydrogen2023,
PASTRAROABUSIUBVIVACONVDSL____16,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusConventionnalDiesel2016,
PASTRAROABUSIUBVIVACONVGAS____16,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusViva BusConventionnalGasoline2016,
PASTRAROABUSIUBDURTCATEDSLELC_25,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusDurham RTCatenaryDieselElectricity2025,
PASTRAROABUSIUBDURTCONVDSL____23,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusDurham RTConventionnalDiesel2023,
PASTRAROABUSIUBDURTHYBDSL____23,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusDurham RTHybridDiesel2023,
PASTRAROABUSIUBDURTPHEVDSLELC_23,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusDurham RTPlug Hybrid VehicleDieselElectricity2023,
PASTRAROABUSIUBDURTBEVBELC____25,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusDurham RTBattery Electric VehicleBattery Electric Vehicle2025,
PASTRAROABUSIUBDURTCATEELC____25,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusDurham RTCatenaryElectricity2025,
PASTRAROABUSIUBDURTCONVGAS____23,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusDurham RTConventionnalGasoline2023,
PASTRAROABUSIUBDURTCELLHH2____23,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusDurham RTFuel Cell VehicleHydrogen2023,
PASTRAROABUSIUBDURTCONVDSL____16,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusDurham RTConventionnalDiesel2016,
PASTRAROABUSIUBDURTCONVGAS____16,p,PASTRA,PassengerTransportationRoadInter-city BusesInter Urban BusDurham RTConventionnalGasoline2016,
PASTRAROABUSSCB___CONVDSL____23,p,PASTRA,PassengerTransportationRoadInter-city BusesSchool BusConventionnalDiesel2023,
PASTRAROABUSSCB___HYBDSL____23,p,PASTRA,PassengerTransportationRoadInter-city BusesSchool BusHybridDiesel2023,
PASTRAROABUSSCB___MHYBDSL____23,p,PASTRA,PassengerTransportationRoadInter-city BusesSchool BusHybridDiesel2023,
PASTRAROABUSSCB___PHEVDSLELC_23,p,PASTRA,PassengerTransportationRoadInter-city BusesSchool BusPlug Hybrid VehicleDieselElectricity2023,
PASTRAROABUSSCB___BEVBELC____23,p,PASTRA,PassengerTransportationRoadInter-city BusesSchool BusBattery Electric VehicleBattery Electric Vehicle2023,
PASTRAROABUSSCB___CONVGAS____23,p,PASTRA,PassengerTransportationRoadInter-city BusesSchool BusConventionnalGasoline2023,
PASTRAROABUSSCB___CELLHH2____23,p,PASTRA,PassengerTransportationRoadInter-city BusesSchool BusFuel Cell VehicleHydrogen2023,
PASTRAROABUSSCB___CONVDSL____16,p,PASTRA,PassengerTransportationRoadInter-city BusesSchool BusConventionnalDiesel2016,
