regions,tech,c2a,c2a_notes
TO,PASTRAINHW,1,
TO,PASTRAINHS,1,
TO,PASTRAINHO,1,
TO,PASTRAINNH,1,
TO,PASTRAEXIHW,1,
TO,PASTRAEXIHS,1,
TO,PASTRAEXIHO,1,
TO,PASTRAEXINH,1,
TO,PASTRAEXOHW,1,
TO,PASTRAEXOHS,1,
TO,PASTRAEXOHO,1,
TO,PASTRAEXONH,1,
TO,PASTRAINHWRAIREG,1,
TO,PASTRAINHWRAISUB,1,
TO,PASTRAINHWRAITRM,1,
TO,PASTRAINHWROABUS,1,
TO,PASTRAINHWROACAR,1,
TO,PASTRAINHWROATRU,1,
TO,PASTRAINHWROAMOR,1,
TO,PASTRAINHWROAWAL,1,
TO,PASTRAINHWROABIK,1,
TO,PASTRAINHSRAIREG,1,
TO,PASTRAINHSRAISUB,1,
TO,PASTRAINHSRAITRM,1,
TO,PASTRAINHSROABUS,1,
TO,PASTRAINHSROACAR,1,
TO,PASTRAINHSROATRU,1,
TO,PASTRAINHSROAMOR,1,
TO,PASTRAINHSROAWAL,1,
TO,PASTRAINHSROABIK,1,
TO,PASTRAINHORAIREG,1,
TO,PASTRAINHORAISUB,1,
TO,PASTRAINHORAITRM,1,
TO,PASTRAINHOROABUS,1,
TO,PASTRAINHOROACAR,1,
TO,PASTRAINHOROATRU,1,
TO,PASTRAINHOROAMOR,1,
TO,PASTRAINHOROAWAL,1,
TO,PASTRAINHOROABIK,1,
TO,PASTRAINNHRAIREG,1,
TO,PASTRAINNHRAISUB,1,
TO,PASTRAINNHRAITRM,1,
TO,PASTRAINNHROABUS,1,
TO,PASTRAINNHROACAR,1,
TO,PASTRAINNHROATRU,1,
TO,PASTRAINNHROAMOR,1,
TO,PASTRAINNHROAWAL,1,
TO,PASTRAINNHROABIK,1,
TO,PASTRAEXIHWRAIREG,1,
TO,PASTRAEXIHWRAISUB,1,
TO,PASTRAEXIHWRAITRM,1,
TO,PASTRAEXIHWROABUS,1,
TO,PASTRAEXIHWROACAR,1,
TO,PASTRAEXIHWROATRU,1,
TO,PASTRAEXIHWROAMOR,1,
TO,PASTRAEXIHWROAWAL,1,
TO,PASTRAEXIHWROABIK,1,
TO,PASTRAEXIHSRAIREG,1,
TO,PASTRAEXIHSRAISUB,1,
TO,PASTRAEXIHSRAITRM,1,
TO,PASTRAEXIHSROABUS,1,
TO,PASTRAEXIHSROACAR,1,
TO,PASTRAEXIHSROATRU,1,
TO,PASTRAEXIHSROAMOR,1,
TO,PASTRAEXIHSROAWAL,1,
TO,PASTRAEXIHSROABIK,1,
TO,PASTRAEXIHORAIREG,1,
TO,PASTRAEXIHORAISUB,1,
TO,PASTRAEXIHORAITRM,1,
TO,PASTRAEXIHOROABUS,1,
TO,PASTRAEXIHOROACAR,1,
TO,PASTRAEXIHOROATRU,1,
TO,PASTRAEXIHOROAMOR,1,
TO,PASTRAEXIHOROAWAL,1,
TO,PASTRAEXIHOROABIK,1,
TO,PASTRAEXINHRAIREG,1,
TO,PASTRAEXINHRAISUB,1,
TO,PASTRAEXINHRAITRM,1,
TO,PASTRAEXINHROABUS,1,
TO,PASTRAEXINHROACAR,1,
TO,PASTRAEXINHROATRU,1,
