regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,ADEMPASTRAINHWRAIREG,PASTRAINHW,2015,ADEMPASTRAINHW,1.0,PassengerTransportationIn BoundaryHome Work
TO,ADEMPASTRAINHWRAISUB,PASTRAINHW,2015,ADEMPASTRAINHW,1.0,PassengerTransportationIn BoundaryHome Work
TO,ADEMPASTRAINHWRAITRM,PASTRAINHW,2015,ADEMPASTRAINHW,1.0,PassengerTransportationIn BoundaryHome Work
TO,ADEMPASTRAINHWROABUS,PASTRAINHW,2015,ADEMPASTRAINHW,1.0,PassengerTransportationIn BoundaryHome Work
TO,ADEMPASTRAINHWROACAR,PASTRAINHW,2015,ADEMPASTRAINHW,1.0,PassengerTransportationIn BoundaryHome Work
TO,ADEMPASTRAINHWROATRU,PASTRAINHW,2015,ADEMPASTRAINHW,1.0,PassengerTransportationIn BoundaryHome Work
TO,ADEMPASTRAINHWROAMOR,PASTRAINHW,2015,ADEMPASTRAINHW,1.0,PassengerTransportationIn BoundaryHome Work
TO,ADEMPASTRAINHWROAWAL,PASTRAINHW,2015,ADEMPASTRAINHW,1.0,PassengerTransportationIn BoundaryHome Work
TO,ADEMPASTRAINHWROABIK,PASTRAINHW,2015,ADEMPASTRAINHW,1.0,PassengerTransportationIn BoundaryHome Work
TO,ADEMPASTRAINHSRAIREG,PASTRAINHS,2015,ADEMPASTRAINHS,1.0,PassengerTransportationIn BoundaryHome School
TO,ADEMPASTRAINHSRAISUB,PASTRAINHS,2015,ADEMPASTRAINHS,1.0,PassengerTransportationIn BoundaryHome School
TO,ADEMPASTRAINHSRAITRM,PASTRAINHS,2015,ADEMPASTRAINHS,1.0,PassengerTransportationIn BoundaryHome School
TO,ADEMPASTRAINHSROABUS,PASTRAINHS,2015,ADEMPASTRAINHS,1.0,PassengerTransportationIn BoundaryHome School
TO,ADEMPASTRAINHSROACAR,PASTRAINHS,2015,ADEMPASTRAINHS,1.0,PassengerTransportationIn BoundaryHome School
TO,ADEMPASTRAINHSROATRU,PASTRAINHS,2015,ADEMPASTRAINHS,1.0,PassengerTransportationIn BoundaryHome School
TO,ADEMPASTRAINHSROAMOR,PASTRAINHS,2015,ADEMPASTRAINHS,1.0,PassengerTransportationIn BoundaryHome School
TO,ADEMPASTRAINHSROAWAL,PASTRAINHS,2015,ADEMPASTRAINHS,1.0,PassengerTransportationIn BoundaryHome School
TO,ADEMPASTRAINHSROABIK,PASTRAINHS,2015,ADEMPASTRAINHS,1.0,PassengerTransportationIn BoundaryHome School
TO,ADEMPASTRAINHORAIREG,PASTRAINHO,2015,ADEMPASTRAINHO,1.0,PassengerTransportationIn BoundaryHome Other
TO,ADEMPASTRAINHORAISUB,PASTRAINHO,2015,ADEMPASTRAINHO,1.0,PassengerTransportationIn BoundaryHome Other
TO,ADEMPASTRAINHORAITRM,PASTRAINHO,2015,ADEMPASTRAINHO,1.0,PassengerTransportationIn BoundaryHome Other
TO,ADEMPASTRAINHOROABUS,PASTRAINHO,2015,ADEMPASTRAINHO,1.0,PassengerTransportationIn BoundaryHome Other
TO,ADEMPASTRAINHOROACAR,PASTRAINHO,2015,ADEMPASTRAINHO,1.0,PassengerTransportationIn BoundaryHome Other
TO,ADEMPASTRAINHOROATRU,PASTRAINHO,2015,ADEMPASTRAINHO,1.0,PassengerTransportationIn BoundaryHome Other
TO,ADEMPASTRAINHOROAMOR,PASTRAINHO,2015,ADEMPASTRAINHO,1.0,PassengerTransportationIn BoundaryHome Other
TO,ADEMPASTRAINHOROAWAL,PASTRAINHO,2015,ADEMPASTRAINHO,1.0,PassengerTransportationIn BoundaryHome Other
TO,ADEMPASTRAINHOROABIK,PASTRAINHO,2015,ADEMPASTRAINHO,1.0,PassengerTransportationIn BoundaryHome Other
TO,ADEMPASTRAINNHRAIREG,PASTRAINNH,2015,ADEMPASTRAINNH,1.0,PassengerTransportationIn BoundaryNon Home based
TO,ADEMPASTRAINNHRAISUB,PASTRAINNH,2015,ADEMPASTRAINNH,1.0,PassengerTransportationIn BoundaryNon Home based
TO,ADEMPASTRAINNHRAITRM,PASTRAINNH,2015,ADEMPASTRAINNH,1.0,PassengerTransportationIn BoundaryNon Home based
