regions,tech,life,life_notes
TO,PASTRAINHW,200,
TO,PASTRAINHS,200,
TO,PASTRAINHO,200,
TO,PASTRAINNH,200,
TO,PASTRAEXIHW,200,
TO,PASTRAEXIHS,200,
TO,PASTRAEXIHO,200,
TO,PASTRAEXINH,200,
TO,PASTRAEXOHW,200,
TO,PASTRAEXOHS,200,
TO,PASTRAEXOHO,200,
TO,PASTRAEXONH,200,
TO,PASTRAINHWRAIREG,200,
TO,PASTRAINHWRAISUB,200,
TO,PASTRAINHWRAITRM,200,
TO,PASTRAINHWROABUS,200,
TO,PASTRAINHWROACAR,200,
TO,PASTRAINHWROATRU,200,
TO,PASTRAINHWROAMOR,200,
TO,PASTRAINHWROAWAL,200,
TO,PASTRAINHWROABIK,200,
TO,PASTRAINHSRAIREG,200,
TO,PASTRAINHSRAISUB,200,
TO,PASTRAINHSRAITRM,200,
TO,PASTRAINHSROABUS,200,
TO,PASTRAINHSROACAR,200,
TO,PASTRAINHSROATRU,200,
TO,PASTRAINHSROAMOR,200,
TO,PASTRAINHSROAWAL,200,
TO,PASTRAINHSROABIK,200,
TO,PASTRAINHORAIREG,200,
TO,PASTRAINHORAISUB,200,
TO,PASTRAINHORAITRM,200,
TO,PASTRAINHOROABUS,200,
TO,PASTRAINHOROACAR,200,
TO,PASTRAINHOROATRU,200,
TO,PASTRAINHOROAMOR,200,
TO,PASTRAINHOROAWAL,200,
TO,PASTRAINHOROABIK,200,
TO,PASTRAINNHRAIREG,200,
TO,PASTRAINNHRAISUB,200,
TO,PASTRAINNHRAITRM,200,
TO,PASTRAINNHROABUS,200,
TO,PASTRAINNHROACAR,200,
TO,PASTRAINNHROATRU,200,
TO,PASTRAINNHROAMOR,200,
TO,PASTRAINNHROAWAL,200,
TO,PASTRAINNHROABIK,200,
TO,PASTRAEXIHWRAIREG,200,
TO,PASTRAEXIHWRAISUB,200,
TO,PASTRAEXIHWRAITRM,200,
TO,PASTRAEXIHWROABUS,200,
TO,PASTRAEXIHWROACAR,200,
TO,PASTRAEXIHWROATRU,200,
TO,PASTRAEXIHWROAMOR,200,
TO,PASTRAEXIHWROAWAL,200,
TO,PASTRAEXIHWROABIK,200,
TO,PASTRAEXIHSRAIREG,200,
TO,PASTRAEXIHSRAISUB,200,
TO,PASTRAEXIHSRAITRM,200,
TO,PASTRAEXIHSROABUS,200,
TO,PASTRAEXIHSROACAR,200,
TO,PASTRAEXIHSROATRU,200,
TO,PASTRAEXIHSROAMOR,200,
TO,PASTRAEXIHSROAWAL,200,
TO,PASTRAEXIHSROABIK,200,
TO,PASTRAEXIHORAIREG,200,
TO,PASTRAEXIHORAISUB,200,
