comm_name,flag,comm_desc
ADEMPASTRAINHW,d,Aggregated DemandPassengerTransportationIn BoundaryHome Work
ADEMPASTRAEXIHW,d,Aggregated DemandPassengerTransportationExternal INHome Work
ADEMPASTRAEXOHW,d,Aggregated DemandPassengerTransportationExternal OUTHome Work
ADEMPASTRAINHS,d,Aggregated DemandPassengerTransportationIn BoundaryHome School
ADEMPASTRAEXIHS,d,Aggregated DemandPassengerTransportationExternal INHome School
ADEMPASTRAEXOHS,d,Aggregated DemandPassengerTransportationExternal OUTHome School
ADEMPASTRAINHO,d,Aggregated DemandPassengerTransportationIn BoundaryHome Other
ADEMPASTRAEXIHO,d,Aggregated DemandPassengerTransportationExternal INHome Other
ADEMPASTRAEXOHO,d,Aggregated DemandPassengerTransportationExternal OUTHome Other
ADEMPASTRAINNH,d,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
ADEMPASTRAEXINH,d,Aggregated DemandPassengerTransportationExternal INNon Home based
ADEMPASTRAEXONH,d,Aggregated DemandPassengerTransportationExternal OUTNon Home based
ADEMPASTRAINHWRAIREG,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRailRegional
ADEMPASTRAINHWRAISUB,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRailSubway
ADEMPASTRAINHWRAITRM,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRailTramway
ADEMPASTRAINHWROABUS,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadInter-city Buses
ADEMPASTRAINHWROACAR,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadCars
ADEMPASTRAINHWROATRU,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadTruck
ADEMPASTRAINHWROAMOR,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadMotorcycles
ADEMPASTRAINHWROAWAL,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadWalk
ADEMPASTRAINHWROABIK,p,Aggregated DemandPassengerTransportationIn BoundaryHome WorkRoadBicycle
ADEMPASTRAINHSRAIREG,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRailRegional
ADEMPASTRAINHSRAISUB,p,Aggregated DemandPassengerTransportationIn BoundaryHome SchoolRailSubway
