regions,season_name,time_of_day_name,tech,cf_tech,cf_tech_notes
TO,W,D,LDITRADOMAIR_________AGA_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Gasoline
TO,W,D,LDITRADOMAIR_________ATF_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,W,D,LDITRADOMRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationDomesticRailDiesel
TO,W,D,LDITRAINTAIR_________AGA_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Gasoline
TO,W,D,LDITRAINTAIR_________ATF_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,W,D,LDITRAINTRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationInternationalRailDiesel
TO,W,N,LDITRADOMAIR_________AGA_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Gasoline
TO,W,N,LDITRADOMAIR_________ATF_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,W,N,LDITRADOMRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationDomesticRailDiesel
TO,W,N,LDITRAINTAIR_________AGA_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Gasoline
TO,W,N,LDITRAINTAIR_________ATF_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,W,N,LDITRAINTRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationInternationalRailDiesel
TO,W,P1,LDITRADOMAIR_________AGA_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Gasoline
TO,W,P1,LDITRADOMAIR_________ATF_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,W,P1,LDITRADOMRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationDomesticRailDiesel
TO,W,P1,LDITRAINTAIR_________AGA_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Gasoline
TO,W,P1,LDITRAINTAIR_________ATF_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,W,P1,LDITRAINTRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationInternationalRailDiesel
TO,W,P2,LDITRADOMAIR_________AGA_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Gasoline
TO,W,P2,LDITRADOMAIR_________ATF_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,W,P2,LDITRADOMRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationDomesticRailDiesel
TO,W,P2,LDITRAINTAIR_________AGA_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Gasoline
TO,W,P2,LDITRAINTAIR_________ATF_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,W,P2,LDITRAINTRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationInternationalRailDiesel
TO,S,D,LDITRADOMAIR_________AGA_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Gasoline
TO,S,D,LDITRADOMAIR_________ATF_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,S,D,LDITRADOMRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationDomesticRailDiesel
TO,S,D,LDITRAINTAIR_________AGA_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Gasoline
TO,S,D,LDITRAINTAIR_________ATF_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,S,D,LDITRAINTRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationInternationalRailDiesel
TO,S,N,LDITRADOMAIR_________AGA_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Gasoline
TO,S,N,LDITRADOMAIR_________ATF_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,S,N,LDITRADOMRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationDomesticRailDiesel
TO,S,N,LDITRAINTAIR_________AGA_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Gasoline
TO,S,N,LDITRAINTAIR_________ATF_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,S,N,LDITRAINTRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationInternationalRailDiesel
TO,S,P1,LDITRADOMAIR_________AGA_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Gasoline
TO,S,P1,LDITRADOMAIR_________ATF_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,S,P1,LDITRADOMRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationDomesticRailDiesel
TO,S,P1,LDITRAINTAIR_________AGA_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Gasoline
TO,S,P1,LDITRAINTAIR_________ATF_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,S,P1,LDITRAINTRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationInternationalRailDiesel
TO,S,P2,LDITRADOMAIR_________AGA_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Gasoline
TO,S,P2,LDITRADOMAIR_________ATF_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,S,P2,LDITRADOMRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationDomesticRailDiesel
TO,S,P2,LDITRAINTAIR_________AGA_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Gasoline
TO,S,P2,LDITRAINTAIR_________ATF_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,S,P2,LDITRAINTRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationInternationalRailDiesel
TO,R,D,LDITRADOMAIR_________AGA_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Gasoline
TO,R,D,LDITRADOMAIR_________ATF_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,R,D,LDITRADOMRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationDomesticRailDiesel
TO,R,D,LDITRAINTAIR_________AGA_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Gasoline
TO,R,D,LDITRAINTAIR_________ATF_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,R,D,LDITRAINTRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationInternationalRailDiesel
TO,R,N,LDITRADOMAIR_________AGA_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Gasoline
TO,R,N,LDITRADOMAIR_________ATF_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,R,N,LDITRADOMRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationDomesticRailDiesel
TO,R,N,LDITRAINTAIR_________AGA_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Gasoline
TO,R,N,LDITRAINTAIR_________ATF_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,R,N,LDITRAINTRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationInternationalRailDiesel
TO,R,P1,LDITRADOMAIR_________AGA_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Gasoline
TO,R,P1,LDITRADOMAIR_________ATF_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,R,P1,LDITRADOMRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationDomesticRailDiesel
TO,R,P1,LDITRAINTAIR_________AGA_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Gasoline
TO,R,P1,LDITRAINTAIR_________ATF_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,R,P1,LDITRAINTRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationInternationalRailDiesel
TO,R,P2,LDITRADOMAIR_________AGA_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Gasoline
TO,R,P2,LDITRADOMAIR_________ATF_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,R,P2,LDITRADOMRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationDomesticRailDiesel
TO,R,P2,LDITRAINTAIR_________AGA_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Gasoline
TO,R,P2,LDITRAINTAIR_________ATF_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,R,P2,LDITRAINTRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationInternationalRailDiesel
TO,F,D,LDITRADOMAIR_________AGA_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Gasoline
TO,F,D,LDITRADOMAIR_________ATF_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,F,D,LDITRADOMRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationDomesticRailDiesel
TO,F,D,LDITRAINTAIR_________AGA_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Gasoline
TO,F,D,LDITRAINTAIR_________ATF_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,F,D,LDITRAINTRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationInternationalRailDiesel
TO,F,N,LDITRADOMAIR_________AGA_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Gasoline
TO,F,N,LDITRADOMAIR_________ATF_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,F,N,LDITRADOMRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationDomesticRailDiesel
TO,F,N,LDITRAINTAIR_________AGA_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Gasoline
TO,F,N,LDITRAINTAIR_________ATF_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,F,N,LDITRAINTRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationInternationalRailDiesel
TO,F,P1,LDITRADOMAIR_________AGA_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Gasoline
TO,F,P1,LDITRADOMAIR_________ATF_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,F,P1,LDITRADOMRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationDomesticRailDiesel
TO,F,P1,LDITRAINTAIR_________AGA_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Gasoline
TO,F,P1,LDITRAINTAIR_________ATF_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,F,P1,LDITRAINTRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationInternationalRailDiesel
TO,F,P2,LDITRADOMAIR_________AGA_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Gasoline
TO,F,P2,LDITRADOMAIR_________ATF_EX,0.002594437525944375,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,F,P2,LDITRADOMRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationDomesticRailDiesel
TO,F,P2,LDITRAINTAIR_________AGA_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Gasoline
TO,F,P2,LDITRAINTAIR_________ATF_EX,0.003243046907430469,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,F,P2,LDITRAINTRAI_________DSL_EX,0.09699037622086454,Long DistanceTransportationInternationalRailDiesel
