regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,LDITRAAGA,LDITRADOMAIR_________AGA_EX,2015,VKTLDITRADOMAIR______,0.019640773297497933,Long DistanceTransportationDomesticAirAviation Gasoline
TO,LDITRAATF,LDITRADOMAIR_________ATF_EX,2015,VKTLDITRADOMAIR______,0.019640773297497933,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,LDITRABJE,LDITRADOMAIR_________ATF_EX,2015,VKTLDITRADOMAIR______,0.019640773297497933,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,LDITRASJE,LDITRADOMAIR_________ATF_EX,2015,VKTLDITRADOMAIR______,0.019640773297497933,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,LDITRADSL,LDITRADOMRAI_________DSL_EX,2015,VKTLDITRADOMRAI______,0.006157815767042161,Long DistanceTransportationDomesticRailDiesel
TO,LDITRABDSL,LDITRADOMRAI_________DSL_EX,2015,VKTLDITRADOMRAI______,0.006157815767042161,Long DistanceTransportationDomesticRailDiesel
TO,LDITRARDSL,LDITRADOMRAI_________DSL_EX,2015,VKTLDITRADOMRAI______,0.006157815767042161,Long DistanceTransportationDomesticRailDiesel
TO,LDITRAAGA,LDITRAINTAIR_________AGA_EX,2015,VKTLDITRAINTAIR______,0.019640773297497933,Long DistanceTransportationInternationalAirAviation Gasoline
TO,LDITRAATF,LDITRAINTAIR_________ATF_EX,2015,VKTLDITRAINTAIR______,0.019640773297497933,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,LDITRASJE,LDITRAINTAIR_________ATF_EX,2015,VKTLDITRAINTAIR______,0.019640773297497933,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,LDITRABJE,LDITRAINTAIR_________ATF_EX,2015,VKTLDITRAINTAIR______,0.019640773297497933,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,LDITRADSL,LDITRAINTRAI_________DSL_EX,2015,VKTLDITRAINTRAI______,0.006157815767042161,Long DistanceTransportationInternationalRailDiesel
TO,LDITRABDSL,LDITRAINTRAI_________DSL_EX,2015,VKTLDITRAINTRAI______,0.006157815767042161,Long DistanceTransportationInternationalRailDiesel
TO,LDITRARDSL,LDITRAINTRAI_________DSL_EX,2015,VKTLDITRAINTRAI______,0.006157815767042161,Long DistanceTransportationInternationalRailDiesel
TO,LDITRAAGA,LDITRADOMAIR_________AGA_EX,2010,VKTLDITRADOMAIR______,0.019640773297497933,Long DistanceTransportationDomesticAirAviation Gasoline
TO,LDITRAATF,LDITRADOMAIR_________ATF_EX,2010,VKTLDITRADOMAIR______,0.019640773297497933,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,LDITRABJE,LDITRADOMAIR_________ATF_EX,2010,VKTLDITRADOMAIR______,0.019640773297497933,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,LDITRASJE,LDITRADOMAIR_________ATF_EX,2010,VKTLDITRADOMAIR______,0.019640773297497933,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,LDITRADSL,LDITRADOMRAI_________DSL_EX,2010,VKTLDITRADOMRAI______,0.006157815767042161,Long DistanceTransportationDomesticRailDiesel
TO,LDITRABDSL,LDITRADOMRAI_________DSL_EX,2010,VKTLDITRADOMRAI______,0.006157815767042161,Long DistanceTransportationDomesticRailDiesel
TO,LDITRARDSL,LDITRADOMRAI_________DSL_EX,2010,VKTLDITRADOMRAI______,0.006157815767042161,Long DistanceTransportationDomesticRailDiesel
TO,LDITRAAGA,LDITRAINTAIR_________AGA_EX,2010,VKTLDITRAINTAIR______,0.019640773297497933,Long DistanceTransportationInternationalAirAviation Gasoline
TO,LDITRAATF,LDITRAINTAIR_________ATF_EX,2010,VKTLDITRAINTAIR______,0.019640773297497933,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,LDITRASJE,LDITRAINTAIR_________ATF_EX,2010,VKTLDITRAINTAIR______,0.019640773297497933,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,LDITRABJE,LDITRAINTAIR_________ATF_EX,2010,VKTLDITRAINTAIR______,0.019640773297497933,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,LDITRADSL,LDITRAINTRAI_________DSL_EX,2010,VKTLDITRAINTRAI______,0.006157815767042161,Long DistanceTransportationInternationalRailDiesel
TO,LDITRABDSL,LDITRAINTRAI_________DSL_EX,2010,VKTLDITRAINTRAI______,0.006157815767042161,Long DistanceTransportationInternationalRailDiesel
TO,LDITRARDSL,LDITRAINTRAI_________DSL_EX,2010,VKTLDITRAINTRAI______,0.006157815767042161,Long DistanceTransportationInternationalRailDiesel
TO,LDITRAAGA,LDITRADOMAIR_________AGA_EX,2005,VKTLDITRADOMAIR______,0.019640773297497933,Long DistanceTransportationDomesticAirAviation Gasoline
TO,LDITRAATF,LDITRADOMAIR_________ATF_EX,2005,VKTLDITRADOMAIR______,0.019640773297497933,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,LDITRABJE,LDITRADOMAIR_________ATF_EX,2005,VKTLDITRADOMAIR______,0.019640773297497933,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,LDITRASJE,LDITRADOMAIR_________ATF_EX,2005,VKTLDITRADOMAIR______,0.019640773297497933,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,LDITRADSL,LDITRADOMRAI_________DSL_EX,2005,VKTLDITRADOMRAI______,0.006157815767042161,Long DistanceTransportationDomesticRailDiesel
TO,LDITRABDSL,LDITRADOMRAI_________DSL_EX,2005,VKTLDITRADOMRAI______,0.006157815767042161,Long DistanceTransportationDomesticRailDiesel
TO,LDITRARDSL,LDITRADOMRAI_________DSL_EX,2005,VKTLDITRADOMRAI______,0.006157815767042161,Long DistanceTransportationDomesticRailDiesel
TO,LDITRAAGA,LDITRAINTAIR_________AGA_EX,2005,VKTLDITRAINTAIR______,0.019640773297497933,Long DistanceTransportationInternationalAirAviation Gasoline
TO,LDITRAATF,LDITRAINTAIR_________ATF_EX,2005,VKTLDITRAINTAIR______,0.019640773297497933,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,LDITRASJE,LDITRAINTAIR_________ATF_EX,2005,VKTLDITRAINTAIR______,0.019640773297497933,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,LDITRABJE,LDITRAINTAIR_________ATF_EX,2005,VKTLDITRAINTAIR______,0.019640773297497933,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,LDITRADSL,LDITRAINTRAI_________DSL_EX,2005,VKTLDITRAINTRAI______,0.006157815767042161,Long DistanceTransportationInternationalRailDiesel
TO,LDITRABDSL,LDITRAINTRAI_________DSL_EX,2005,VKTLDITRAINTRAI______,0.006157815767042161,Long DistanceTransportationInternationalRailDiesel
TO,LDITRARDSL,LDITRAINTRAI_________DSL_EX,2005,VKTLDITRAINTRAI______,0.006157815767042161,Long DistanceTransportationInternationalRailDiesel
TO,LDITRAAGA,LDITRADOMAIR_________AGA_EX,2000,VKTLDITRADOMAIR______,0.019640773297497933,Long DistanceTransportationDomesticAirAviation Gasoline
TO,LDITRAATF,LDITRADOMAIR_________ATF_EX,2000,VKTLDITRADOMAIR______,0.019640773297497933,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,LDITRABJE,LDITRADOMAIR_________ATF_EX,2000,VKTLDITRADOMAIR______,0.019640773297497933,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,LDITRASJE,LDITRADOMAIR_________ATF_EX,2000,VKTLDITRADOMAIR______,0.019640773297497933,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,LDITRADSL,LDITRADOMRAI_________DSL_EX,2000,VKTLDITRADOMRAI______,0.006157815767042161,Long DistanceTransportationDomesticRailDiesel
TO,LDITRABDSL,LDITRADOMRAI_________DSL_EX,2000,VKTLDITRADOMRAI______,0.006157815767042161,Long DistanceTransportationDomesticRailDiesel
TO,LDITRARDSL,LDITRADOMRAI_________DSL_EX,2000,VKTLDITRADOMRAI______,0.006157815767042161,Long DistanceTransportationDomesticRailDiesel
TO,LDITRAAGA,LDITRAINTAIR_________AGA_EX,2000,VKTLDITRAINTAIR______,0.019640773297497933,Long DistanceTransportationInternationalAirAviation Gasoline
TO,LDITRAATF,LDITRAINTAIR_________ATF_EX,2000,VKTLDITRAINTAIR______,0.019640773297497933,Long DistanceTransportationInternationalAirAviation Turbo Fuel
